^SAMPLE = GSM267438
!Sample_title = AGS Cell Line(32K_B)
!Sample_geo_accession = GSM267438
!Sample_status = Public on Dec 29 2008
!Sample_submission_date = Feb 22 2008
!Sample_last_update_date = Dec 29 2008
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = AGS Cell Line(32K_B)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Gastric Cell Line (AGS)
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Qiagen Blood and Cell Culture DNA extraction kit.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = 2 Âµg of cell line and reference genomic DNA (unrelated pooled male lymophocyte DNA from healthy donors) were labeled with Cy3-dCTP or Cy5-dCTP respectively (Amersham Biosciences) using the Bioprime Labelling system (Invitrogen)
!Sample_source_name_ch2 = reference genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = unrelated pooled male lymophocyte DNA from healthy donors
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = Qiagen Blood and Cell Culture DNA extraction kit.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = 2 Âµg of cell line and reference genomic DNA (unrelated pooled male lymophocyte DNA from healthy donors) were labeled with Cy3-dCTP or Cy5-dCTP respectively (Amersham Biosciences) using the Bioprime Labelling system (Invitrogen)
!Sample_hyb_protocol = Hybridizations were performed using a MAUI hybridization station, and hybridized onto microarrays containing 32,000 DOP-PCR amplified BAC clones covering the human genome (Childrenâs Hospital Oakland Research Institute, BACPAC resources)
!Sample_scan_protocol = GeneChips were scanned using the GenePix 4000B scanner (Axon Instruments).
!Sample_description = AGS Cell Line(32K_B)
!Sample_description = aCGH profiling for Gastric Cell Lines
!Sample_data_processing = The data were analyzed Genedata software for normalization and expression estimation
!Sample_platform_id = GPL6521
!Sample_contact_name = Wu,,Yonghui
!Sample_contact_email = yonghui@omniarray.com
!Sample_contact_institute = National Cancer Center of Singapore
!Sample_contact_address = 11 Hospital Drive
!Sample_contact_city = Singapore
!Sample_contact_zip/postal_code = 169610
!Sample_contact_country = Singapore
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM267nnn/GSM267438/suppl/GSM267438.gpr.gz
!Sample_series_id = GSE10611
!Sample_data_row_count = 15621
#ID_REF = NCCS(National Cancer Center Singapore) ID, spot identifier
#VALUE = normalized ratio (Cell line Signal / Reference Sample Signal)
#SN = Signal /noise
#RE = Reletive Error
!sample_table_begin
ID_REF	VALUE	SN	RE
104	0.94816345	4.660377	0.06596472
204	1.0936278	1.6696428	0.119368434
304	1.0605243	1.5391304	0.16541016
404	1.2598687	3.4786325	0.11467022
504			
604	1.09516	1.1898735	0.42566136
704	1.3793579	3.9419644	0.07061294
804	1.1511171	1.6401868	0.15927121
904	1.160101	1.5607476	0.206884
1004	0.93544286	1.3411216	0.16987017
1104	0.82289135	3.6772726	0.072191164
1204			
1304	1.052147	1.6175116	0.23422365
1404	0.93918455	2.5896227	0.1670303
1504	0.96371317	3.6972477	0.07028295
1604			
1704	1.0080421	2.042056	0.1929079
1804	0.8490736	1.5	0.41095507
1904	1.0201036	5.4571424	0.0871271
2004	0.8142963	3.3942306	0.12723297
!sample_table_end
