^SAMPLE = GSM267444
!Sample_title = SNU-16 Cell Line(32K_B)
!Sample_geo_accession = GSM267444
!Sample_status = Public on Dec 29 2008
!Sample_submission_date = Feb 22 2008
!Sample_last_update_date = Dec 29 2008
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = SNU-16 Cell Line(32K_B)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Gastric Cell Line (SNU-16)
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Qiagen Blood and Cell Culture DNA extraction kit.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = 2 Âµg of cell line and reference genomic DNA (unrelated pooled male lymophocyte DNA from healthy donors) were labeled with Cy3-dCTP or Cy5-dCTP respectively (Amersham Biosciences) using the Bioprime Labelling system (Invitrogen)
!Sample_source_name_ch2 = reference genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = unrelated pooled male lymophocyte DNA from healthy donors
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = Qiagen Blood and Cell Culture DNA extraction kit.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = 2 Âµg of cell line and reference genomic DNA (unrelated pooled male lymophocyte DNA from healthy donors) were labeled with Cy3-dCTP or Cy5-dCTP respectively (Amersham Biosciences) using the Bioprime Labelling system (Invitrogen)
!Sample_hyb_protocol = Hybridizations were performed using a MAUI hybridization station, and hybridized onto microarrays containing 32,000 DOP-PCR amplified BAC clones covering the human genome (Childrenâs Hospital Oakland Research Institute, BACPAC resources)
!Sample_scan_protocol = GeneChips were scanned using the GenePix 4000B scanner (Axon Instruments).
!Sample_description = SNU-16 Cell Line(32K_B)
!Sample_description = aCGH profiling for Gastric Cell Lines
!Sample_data_processing = The data were analyzed Genedata software for normalization and expression estimation
!Sample_platform_id = GPL6521
!Sample_contact_name = Wu,,Yonghui
!Sample_contact_email = yonghui@omniarray.com
!Sample_contact_institute = National Cancer Center of Singapore
!Sample_contact_address = 11 Hospital Drive
!Sample_contact_city = Singapore
!Sample_contact_zip/postal_code = 169610
!Sample_contact_country = Singapore
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM267nnn/GSM267444/suppl/GSM267444.gpr.gz
!Sample_series_id = GSE10611
!Sample_data_row_count = 15621
#ID_REF = NCCS(National Cancer Center Singapore) ID, spot identifier
#VALUE = normalized ratio (Cell line Signal / Reference Sample Signal)
#SN = Signal /noise
#RE = Reletive Error
!sample_table_begin
ID_REF	VALUE	SN	RE
2957904	1.1323167	3.049505	0.15211879
2958304			
2958704			
2960304	1.7623928	1.8987342	0.15977313
2960704	0.89577717	3.99	0.10232861
2961104	1.0819179	3.7959187	0.08991273
2980804	0.9511621	2.2857144	0.11503947
2981204	0.85109544	2.813187	0.08873954
2981604	0.8697825	2.4293478	0.0852817
2983204	0.8355615	2.3385417	0.06858578
2983604	0.94716746	5.598959	0.070616715
2984004	0.8641256	5.938144	0.094868496
2985604	0.8342884	5.643616	0.09071443
2986004	0.8458544	3.9032261	0.15134136
2986404	0.9255865	5.76087	0.061488923
2988004	0.8139749	3.8631582	0.09282445
2988404	0.97493464	5.0591393	0.09757071
2988804	0.88320583	3.598901	0.11905107
2961604	0.93773025	3.4044945	0.07105308
2962004	0.78518975	3.7637362	0.098946735
!sample_table_end
