^SAMPLE = GSM322176
!Sample_title = GP202_aCGH
!Sample_geo_accession = GSM322176
!Sample_status = Public on Sep 19 2009
!Sample_submission_date = Sep 18 2008
!Sample_last_update_date = Sep 29 2008
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Gastric cancer cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Gastric cancer cell line
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was isolated using TRIzol reagent (Invitrogen) according to the manufacturerâs protocol with some modifications  (http://www.english.vumc.nl/afdelingen/microarrays/). 
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = DNA labeling protocol according to Enzo Life Sciences
!Sample_source_name_ch2 = Pooled DNA from the blood of 18 normal individuals
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Pooled DNA from the blood of 18 normal individuals
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNAzol (Invitrogen) according to manufacturer's protocol
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = DNA labeling protocol according to Enzo Life Sciences
!Sample_hyb_protocol = Hybridization protocol available via www.agilent.com
!Sample_scan_protocol = Slides were scanned using the Agilent microarray scanner, protocol according to Agilent.
!Sample_description = GP202_aCGH
!Sample_description = protocols according to manufacturer (Enzo Life Sciences www.agilent.com)
!Sample_data_processing = For both Cy3 and Cy5 channels, local background was subtracted from the median intensities. The log2 tumour to normal ratio was calculated for each spot and normalized against the median of the ratios of all autosomes
!Sample_platform_id = GPL5477
!Sample_contact_name = Daoud,,Sie
!Sample_contact_email = d.sie@vumc.nl
!Sample_contact_phone = +31 20 4442428
!Sample_contact_laboratory = Microarray Core Facility
!Sample_contact_department = Pathology
!Sample_contact_institute = Vrije Universiteit Medical Center
!Sample_contact_address = De Boelelaan 1117
!Sample_contact_city = Amsterdam
!Sample_contact_zip/postal_code = 1081 HV
!Sample_contact_country = Netherlands
!Sample_supplementary_file = NONE
!Sample_series_id = GSE12928
!Sample_data_row_count = 45214
#ID_REF = 
#gMedianSignal = median signal intesity channel 1
#gBGMedianSignal = background median signal intensity channel 1
#rMedianSignal = median signal intesity channel 2
#rBGMedianSignal = background median signal intensity channel 2
#VALUE = Normalized log2 ratio of the test (Cy3)/ reference (Cy5) sample
!sample_table_begin
ID_REF	gMedianSignal	gBGMedianSignal	rMedianSignal	rBGMedianSignal	VALUE
1	2429	53	2730	92	
2	58	52	102	89	
3	56	51	104	89	
4	56	51	101	89	
5	51	51	97	89	
6	85.5	53	108	88	
7	133	63	115	90	
8	247	70	151	91	
9	318.5	78	199.5	92	
10	891	93.5	644	98	
11	370	100	220	93	
12	576	110	452	94	0.721
13	1083	114	401	95	2.001
14	1801	113.5	1722	96.5	0.395
15	658	104	460	98	0.955
16	788	89.5	717	95.5	0.51
17	706.5	74	821	91	
18	451.5	68.5	408	90	0.609
19	356.5	70	308.5	90	0.732
20	422.5	71.5	659.5	92	-0.352
!sample_table_end
