^SAMPLE = GSM73744
!Sample_title = ZR75-1 vs NF (svi025)
!Sample_geo_accession = GSM73744
!Sample_status = Public on Sep 10 2005
!Sample_submission_date = Sep 09 2005
!Sample_last_update_date = Sep 22 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = NF
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = NF
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy3
!Sample_source_name_ch2 = ZR75-1
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = ZR75-1
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy5
!Sample_description = Simple annotation: Breast, aCGH cell line
!Sample_description = Image: http://smd.stanford.edu/MicroArray/gifs/2000-03/3401.gif
!Sample_data_processing = VALUE is Log (base 2) of the ratio of the mean of Channel 2 (usually 635 nm) to Channel 1 (usually 532 nm)
!Sample_platform_id = GPL2830
!Sample_contact_name = ,,Stanford Microarray Database
!Sample_contact_email = array@genome.stanford.edu
!Sample_contact_phone = 650-498-6012
!Sample_contact_department = Stanford University, School of Medicine
!Sample_contact_institute = Stanford Microarray Database (SMD)
!Sample_contact_address = 300 Pasteur Drive
!Sample_contact_city = Stanford
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94305
!Sample_contact_country = USA
!Sample_contact_web_link = http://genome-www5.stanford.edu/
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3281
!Sample_data_row_count = 9216
#ID_REF = ID_REF
#CH1I_MEAN = Uncorrected Cy3 mean pixel intensity.; Type: integer; Scale: linear_scale; Channel: Cy3 Channel
#CH2I_MEAN = Uncorrected Cy3 mean pixel intensity.; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH1B_MEDIAN = Median intensities of background pixels of Cy3.; Type: integer; Scale: linear_scale; Channel: Cy3 Channel
#CH2B_MEDIAN = Median intensities of background pixels of Cy3.; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH1D_MEAN = The mean feature pixel intensity with the median background subtracted (channel 1).; Type: integer; Scale: linear_scale; Channel: Cy3 Channel
#CH2D_MEAN = The mean feature pixel intensity with the median background subtracted (channel 2).; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH1B_MEAN = Mean intensities of background pixels of Cy3.; Type: integer; Scale: linear_scale; Background
#CH2B_MEAN = Mean intensities of background pixels of Cy5.; Type: integer; Scale: linear_scale; Background
#PERGTBCH1I_1SD = The percentage of feature pixels with intensities more than one standard deviation above the background pixel intensity, at wavelength 532 nm.; Type: integer; Scale: linear_scale
#PERGTBCH2I_1SD = The percentage of feature pixels with intensities more than one standard deviation above the background pixel intensity, at wavelength 635 nm.; Type: integer; Scale: linear_scale
#PIX_RAT2_MEDIAN = Contains median of Ch2PI-CH2B/Ch1PI-CH1B where Ch1PI & Ch2PI represent single pixel intensities.; Type: float; Scale: linear_scale
#TOT_SPIX = Count of the number of pixels in the spot.; Type: integer; Scale: linear_scale
#TOT_BPIX = Number of background pixels.; Type: integer; Scale: linear_scale
#REGR = The regression ratio of every pixel in a 2-feature-diameter circle around the center of the feature.; Type: float; Scale: linear_scale
#CORR = The correlation between channel1 (Cy3) & Channel 2 (Cy5) pixels within the spot, and is a useful quality control parameter. Generally, high values imply better fit & good spot quality.; Type: float; Scale: linear_scale
#TOP = Box top: int(((centerX - radius) - Xoffset) / pixelSize).; Type: integer; Scale: linear_scale
#BOT = Box bottom: int(((centerX + radius) - Xoffset) / pixelSize).; Type: integer; Scale: linear_scale
#LEFT = Box left: int(((centerY - radius) - yoffset) / pixelSize).; Type: integer; Scale: linear_scale
#RIGHT = Box right: int(((centerY + radius) - yoffset) / pixelSize); Type: integer; Scale: linear_scale
#FLAG = User defined spot flag (default 0).; Type: integer; Scale: linear_scale
#CH2IN_MEAN = Normalized value of mean Channel 2 (usually 635 nm) intensity (CH2I_MEAN/Normalization factor).; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH2BN_MEDIAN = Normalized value of median Channel 2 (usually 635 nm) background (CH2B_MEDIAN/Normalization factor).; Type: integer; Scale: linear_scale; Channel: Cy5 channel; Background
#CH2DN_MEAN = Normalized value of mean Channel 2 (usually 635 nm) intensity with normalized background subtracted (CH2IN_MEAN - CH2BN_MEDIAN).; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#RAT2N_MEAN = Type: float; Scale: linear_scale
#RAT1N_MEAN = Ratio of the means of Channel 1 (usually 532 nm) intensity to normalized Channel 2 (usually 635 nm) intensity with median background subtracted (CH1D_MEAN/CH2DN_MEAN). Channel 1/Channel 2 ratio normalized or Green/Red ratio normalized.; Type: float; Scale: linear_scale
#VALUE = same as UNF_VALUE but with flagged values removed
#UNF_VALUE = Log (base 2) of the ratio of the mean of Channel 2 (usually 635 nm) to Channel 1 (usually 532 nm) [log (base 2) (RAT2N_MEAN)].; Type: float; Scale: log_base_2
!sample_table_begin
ID_REF	CH1I_MEAN	CH2I_MEAN	CH1B_MEDIAN	CH2B_MEDIAN	CH1D_MEAN	CH2D_MEAN	CH1B_MEAN	CH2B_MEAN	PERGTBCH1I_1SD	PERGTBCH2I_1SD	PIX_RAT2_MEDIAN	TOT_SPIX	TOT_BPIX	REGR	CORR	TOP	BOT	LEFT	RIGHT	FLAG	CH2IN_MEAN	CH2BN_MEDIAN	CH2DN_MEAN	RAT2N_MEAN	RAT1N_MEAN	VALUE	UNF_VALUE
1	667	513	83	102	584	411	88	115	71	71	.651	137	1307	.624	.843	79	92	67	80	0	705	140	565	.967	1.034	-.049	-.049
2	897	823	84	101	813	722	87	111	67	75	.891	137	1125	.656	.688	79	92	85	98	0	1130	139	992	1.22	.82	.287	.287
3	467	398	85	103	382	295	88	114	66	67	.728	137	1102	.641	.68	79	92	102	115	0	547	141	405	1.061	.943	.085	.085
4	407	308	84	103	323	205	87	115	64	66	.623	137	1073	.56	.602	79	92	120	133	0	423	141	282	.872	1.147	-.198	-.198
5	529	344	86	104	443	240	88	118	74	74	.544	137	1082	.425	.829	79	92	137	150	0	473	143	330	.744	1.344	-.426	-.426
6	421	362	85	104	336	258	89	116	67	70	.759	137	1091	.661	.847	79	92	155	168	0	497	143	354	1.055	.948	.077	.077
7	608	459	83	103	525	356	88	115	72	71	.655	137	1086	.545	.831	79	92	172	185	0	630	141	489	.931	1.074	-.102	-.102
8	630	464	86	102	544	362	89	116	59	64	.723	137	1075	.551	.881	79	92	191	204	0	637	140	497	.914	1.094	-.13	-.13
9	625	496	85	101	540	395	87	113	60	65	.74	137	1069	.634	.898	79	92	207	220	0	681	139	543	1.005	.995	.007	.007
10	676	452	83	101	593	351	85	112	64	61	.677	137	1117	.555	.915	77	90	226	239	0	621	139	482	.813	1.23	-.299	-.299
11	533	461	82	108	451	353	85	118	64	67	.817	137	1116	.683	.898	77	90	242	255	0	633	148	485	1.075	.93	.104	.104
12	460	408	82	111	378	297	86	122	62	65	.848	137	1108	.659	.881	77	90	260	273	0	560	152	408	1.079	.927	.11	.11
13	337	335	81	113	256	222	86	126	52	59	1	137	1088	.71	.859	77	90	277	290	0	460	155	305	1.191	.84	.252	.252
14	284	307	81	110	203	197	83	121	52	54	.904	137	1068	.714	.764	77	90	296	309	0	422	151	271	1.333	.75	.415	.415
15	637	549	82	110	555	439	84	122	60	56	.768	137	1029	.736	.892	77	90	312	325	0	754	151	603	1.086	.92	.12	.12
16	281	250	83	111	198	139	86	124	61	61	.61	137	1054	.506	.701	77	90	329	342	0	343	152	191	.964	1.037	-.052	-.052
17	329	318	83	108	246	210	86	122	62	64	.812	137	1075	.651	.665	77	90	347	360	0	437	148	288	1.173	.853	.23	.23
18	458	332	82	108	376	224	84	121	64	70	.624	137	1140	.481	.832	75	88	366	379	0	456	148	308	.818	1.222	-.289	-.289
19	298	233	81	110	217	123	86	128	56	51	.583	137	1149	.513	.865	75	88	384	397	0	320	151	169	.779	1.284	-.361	-.361
20	354	293	81	108	273	185	85	128	59	58	.683	112	1141	.504	.828	75	87	401	413	0	402	148	254	.931	1.074	-.103	-.103
!sample_table_end
