^SAMPLE = GSM73737
!Sample_title = 116A vs NF (svi039)
!Sample_geo_accession = GSM73737
!Sample_status = Public on Sep 10 2005
!Sample_submission_date = Sep 09 2005
!Sample_last_update_date = Sep 22 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = NF
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = NF
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy3
!Sample_source_name_ch2 = 116A
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = 116A
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy5
!Sample_description = Simple annotation: Breast, aCGH tumor tissue
!Sample_description = Image: http://smd.stanford.edu/MicroArray/gifs/2000-03/3658.gif
!Sample_data_processing = VALUE is Log (base 2) of the ratio of the mean of Channel 2 (usually 635 nm) to Channel 1 (usually 532 nm)
!Sample_platform_id = GPL2830
!Sample_contact_name = ,,Stanford Microarray Database
!Sample_contact_email = array@genome.stanford.edu
!Sample_contact_phone = 650-498-6012
!Sample_contact_department = Stanford University, School of Medicine
!Sample_contact_institute = Stanford Microarray Database (SMD)
!Sample_contact_address = 300 Pasteur Drive
!Sample_contact_city = Stanford
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94305
!Sample_contact_country = USA
!Sample_contact_web_link = http://genome-www5.stanford.edu/
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3281
!Sample_data_row_count = 9216
#ID_REF = ID_REF
#CH1I_MEAN = Uncorrected Cy3 mean pixel intensity.; Type: integer; Scale: linear_scale; Channel: Cy3 Channel
#CH2I_MEAN = Uncorrected Cy3 mean pixel intensity.; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH1B_MEDIAN = Median intensities of background pixels of Cy3.; Type: integer; Scale: linear_scale; Channel: Cy3 Channel
#CH2B_MEDIAN = Median intensities of background pixels of Cy3.; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH1D_MEAN = The mean feature pixel intensity with the median background subtracted (channel 1).; Type: integer; Scale: linear_scale; Channel: Cy3 Channel
#CH2D_MEAN = The mean feature pixel intensity with the median background subtracted (channel 2).; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH1B_MEAN = Mean intensities of background pixels of Cy3.; Type: integer; Scale: linear_scale; Background
#CH2B_MEAN = Mean intensities of background pixels of Cy5.; Type: integer; Scale: linear_scale; Background
#PERGTBCH1I_1SD = The percentage of feature pixels with intensities more than one standard deviation above the background pixel intensity, at wavelength 532 nm.; Type: integer; Scale: linear_scale
#PERGTBCH2I_1SD = The percentage of feature pixels with intensities more than one standard deviation above the background pixel intensity, at wavelength 635 nm.; Type: integer; Scale: linear_scale
#PIX_RAT2_MEDIAN = Contains median of Ch2PI-CH2B/Ch1PI-CH1B where Ch1PI & Ch2PI represent single pixel intensities.; Type: float; Scale: linear_scale
#TOT_SPIX = Count of the number of pixels in the spot.; Type: integer; Scale: linear_scale
#TOT_BPIX = Number of background pixels.; Type: integer; Scale: linear_scale
#REGR = The regression ratio of every pixel in a 2-feature-diameter circle around the center of the feature.; Type: float; Scale: linear_scale
#CORR = The correlation between channel1 (Cy3) & Channel 2 (Cy5) pixels within the spot, and is a useful quality control parameter. Generally, high values imply better fit & good spot quality.; Type: float; Scale: linear_scale
#TOP = Box top: int(((centerX - radius) - Xoffset) / pixelSize).; Type: integer; Scale: linear_scale
#BOT = Box bottom: int(((centerX + radius) - Xoffset) / pixelSize).; Type: integer; Scale: linear_scale
#LEFT = Box left: int(((centerY - radius) - yoffset) / pixelSize).; Type: integer; Scale: linear_scale
#RIGHT = Box right: int(((centerY + radius) - yoffset) / pixelSize); Type: integer; Scale: linear_scale
#FLAG = User defined spot flag (default 0).; Type: integer; Scale: linear_scale
#CH2IN_MEAN = Normalized value of mean Channel 2 (usually 635 nm) intensity (CH2I_MEAN/Normalization factor).; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH2BN_MEDIAN = Normalized value of median Channel 2 (usually 635 nm) background (CH2B_MEDIAN/Normalization factor).; Type: integer; Scale: linear_scale; Channel: Cy5 channel; Background
#CH2DN_MEAN = Normalized value of mean Channel 2 (usually 635 nm) intensity with normalized background subtracted (CH2IN_MEAN - CH2BN_MEDIAN).; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#RAT2N_MEAN = Type: float; Scale: linear_scale
#RAT1N_MEAN = Ratio of the means of Channel 1 (usually 532 nm) intensity to normalized Channel 2 (usually 635 nm) intensity with median background subtracted (CH1D_MEAN/CH2DN_MEAN). Channel 1/Channel 2 ratio normalized or Green/Red ratio normalized.; Type: float; Scale: linear_scale
#VALUE = same as UNF_VALUE but with flagged values removed
#UNF_VALUE = Log (base 2) of the ratio of the mean of Channel 2 (usually 635 nm) to Channel 1 (usually 532 nm) [log (base 2) (RAT2N_MEAN)].; Type: float; Scale: log_base_2
!sample_table_begin
ID_REF	CH1I_MEAN	CH2I_MEAN	CH1B_MEDIAN	CH2B_MEDIAN	CH1D_MEAN	CH2D_MEAN	CH1B_MEAN	CH2B_MEAN	PERGTBCH1I_1SD	PERGTBCH2I_1SD	PIX_RAT2_MEDIAN	TOT_SPIX	TOT_BPIX	REGR	CORR	TOP	BOT	LEFT	RIGHT	FLAG	CH2IN_MEAN	CH2BN_MEDIAN	CH2DN_MEAN	RAT2N_MEAN	RAT1N_MEAN	VALUE	UNF_VALUE
1	435	508	48	68	387	440	53	73	83	83	1.142	156	1196	1.031	.944	139	153	113	127	0	511	68	443	1.144	.874	.194	.194
2	473	607	48	70	425	537	54	76	84	78	1.286	156	1022	1.162	.947	137	151	131	145	0	611	70	540	1.271	.787	.346	.346
3	304	382	49	71	255	311	61	84	74	75	1.209	156	1022	1.123	.948	137	151	148	162	0	384	71	313	1.227	.815	.295	.295
4	369	389	51	73	318	316	115	132	77	78	.996	156	1048	.907	.929	137	151	166	180	0	391	73	318	1	1	-.001	-.001
5	355	366	51	72	304	294	110	127	78	77	.968	156	1047	.917	.947	137	151	185	199	0	368	72	296	.973	1.028	-.04	-.04
6	236	314	48	69	188	245	55	75	67	73	1.266	156	1011	1.141	.943	137	151	203	217	0	316	69	246	1.311	.763	.39	.39
7	434	449	45	67	389	382	49	71	78	78	.979	156	973	.937	.957	137	151	220	234	0	452	67	384	.988	1.012	-.018	-.018
8	285	343	45	67	240	276	47	70	72	75	1.222	156	982	1.014	.93	137	151	236	250	0	345	67	278	1.157	.865	.21	.21
9	242	254	45	68	197	186	47	69	67	69	.966	156	988	.918	.956	137	151	253	267	0	255	68	187	.95	1.053	-.074	-.074
10	297	360	45	67	252	293	48	69	68	66	1.211	156	973	1.046	.952	137	151	271	285	0	362	67	295	1.169	.855	.226	.226
11	302	472	45	67	257	405	51	72	64	67	1.608	156	978	1.474	.963	137	151	288	302	0	475	67	407	1.585	.631	.665	.665
12	299	429	46	67	253	362	52	73	72	73	1.443	156	1014	1.32	.959	137	151	306	320	0	432	67	364	1.439	.695	.525	.525
13	213	267	46	67	167	200	50	70	64	63	1.19	156	1011	1.065	.949	137	151	325	339	0	269	67	201	1.205	.83	.269	.269
14	186	211	46	66	140	145	49	69	60	55	1.035	156	1008	1.011	.933	137	151	341	355	0	212	66	146	1.042	.96	.059	.059
15	267	319	46	64	221	255	49	66	65	62	1.142	156	992	1.037	.948	137	151	360	374	0	321	64	256	1.161	.862	.215	.215
16	161	180	46	65	115	115	48	67	62	62	1.057	156	994	.869	.909	137	151	376	390	0	181	65	116	1.006	.994	.008	.008
17	241	237	49	64	192	173	51	67	69	66	.908	156	1006	.853	.898	137	151	395	409	0	238	64	174	.906	1.103	-.142	-.142
18	331	364	52	67	279	297	67	215	74	72	1.077	156	973	1.04	.952	137	151	414	428	0	366	67	299	1.071	.934	.099	.099
19	244	280	52	68	192	212	68	217	64	62	1.105	156	971	1.06	.959	137	151	430	444	0	282	68	213	1.111	.9	.151	.151
20	212	216	52	67	160	149	67	213	51	48	.945	156	986	.895	.958	137	151	447	461	0	217	67	150	.937	1.068	-.094	-.094
!sample_table_end
