^SAMPLE = GSM73693
!Sample_title = MCF7 vs NF (svi121)
!Sample_geo_accession = GSM73693
!Sample_status = Public on Sep 10 2005
!Sample_submission_date = Sep 09 2005
!Sample_last_update_date = Sep 22 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = NF
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = NF
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy3
!Sample_source_name_ch2 = MCF7
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = MCF7
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy5
!Sample_description = Simple annotation: Breast, aCGH cell line
!Sample_description = Image: http://smd.stanford.edu/MicroArray/gifs/2000-03/3423.gif
!Sample_data_processing = VALUE is Log (base 2) of the ratio of the mean of Channel 2 (usually 635 nm) to Channel 1 (usually 532 nm)
!Sample_platform_id = GPL2830
!Sample_contact_name = ,,Stanford Microarray Database
!Sample_contact_email = array@genome.stanford.edu
!Sample_contact_phone = 650-498-6012
!Sample_contact_department = Stanford University, School of Medicine
!Sample_contact_institute = Stanford Microarray Database (SMD)
!Sample_contact_address = 300 Pasteur Drive
!Sample_contact_city = Stanford
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94305
!Sample_contact_country = USA
!Sample_contact_web_link = http://genome-www5.stanford.edu/
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3281
!Sample_data_row_count = 9216
#ID_REF = ID_REF
#CH1I_MEAN = Uncorrected Cy3 mean pixel intensity.; Type: integer; Scale: linear_scale; Channel: Cy3 Channel
#CH2I_MEAN = Uncorrected Cy3 mean pixel intensity.; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH1B_MEDIAN = Median intensities of background pixels of Cy3.; Type: integer; Scale: linear_scale; Channel: Cy3 Channel
#CH2B_MEDIAN = Median intensities of background pixels of Cy3.; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH1D_MEAN = The mean feature pixel intensity with the median background subtracted (channel 1).; Type: integer; Scale: linear_scale; Channel: Cy3 Channel
#CH2D_MEAN = The mean feature pixel intensity with the median background subtracted (channel 2).; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH1B_MEAN = Mean intensities of background pixels of Cy3.; Type: integer; Scale: linear_scale; Background
#CH2B_MEAN = Mean intensities of background pixels of Cy5.; Type: integer; Scale: linear_scale; Background
#PERGTBCH1I_1SD = The percentage of feature pixels with intensities more than one standard deviation above the background pixel intensity, at wavelength 532 nm.; Type: integer; Scale: linear_scale
#PERGTBCH2I_1SD = The percentage of feature pixels with intensities more than one standard deviation above the background pixel intensity, at wavelength 635 nm.; Type: integer; Scale: linear_scale
#PIX_RAT2_MEDIAN = Contains median of Ch2PI-CH2B/Ch1PI-CH1B where Ch1PI & Ch2PI represent single pixel intensities.; Type: float; Scale: linear_scale
#TOT_SPIX = Count of the number of pixels in the spot.; Type: integer; Scale: linear_scale
#TOT_BPIX = Number of background pixels.; Type: integer; Scale: linear_scale
#REGR = The regression ratio of every pixel in a 2-feature-diameter circle around the center of the feature.; Type: float; Scale: linear_scale
#CORR = The correlation between channel1 (Cy3) & Channel 2 (Cy5) pixels within the spot, and is a useful quality control parameter. Generally, high values imply better fit & good spot quality.; Type: float; Scale: linear_scale
#TOP = Box top: int(((centerX - radius) - Xoffset) / pixelSize).; Type: integer; Scale: linear_scale
#BOT = Box bottom: int(((centerX + radius) - Xoffset) / pixelSize).; Type: integer; Scale: linear_scale
#LEFT = Box left: int(((centerY - radius) - yoffset) / pixelSize).; Type: integer; Scale: linear_scale
#RIGHT = Box right: int(((centerY + radius) - yoffset) / pixelSize); Type: integer; Scale: linear_scale
#FLAG = User defined spot flag (default 0).; Type: integer; Scale: linear_scale
#CH2IN_MEAN = Normalized value of mean Channel 2 (usually 635 nm) intensity (CH2I_MEAN/Normalization factor).; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH2BN_MEDIAN = Normalized value of median Channel 2 (usually 635 nm) background (CH2B_MEDIAN/Normalization factor).; Type: integer; Scale: linear_scale; Channel: Cy5 channel; Background
#CH2DN_MEAN = Normalized value of mean Channel 2 (usually 635 nm) intensity with normalized background subtracted (CH2IN_MEAN - CH2BN_MEDIAN).; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#RAT2N_MEAN = Type: float; Scale: linear_scale
#RAT1N_MEAN = Ratio of the means of Channel 1 (usually 532 nm) intensity to normalized Channel 2 (usually 635 nm) intensity with median background subtracted (CH1D_MEAN/CH2DN_MEAN). Channel 1/Channel 2 ratio normalized or Green/Red ratio normalized.; Type: float; Scale: linear_scale
#VALUE = same as UNF_VALUE but with flagged values removed
#UNF_VALUE = Log (base 2) of the ratio of the mean of Channel 2 (usually 635 nm) to Channel 1 (usually 532 nm) [log (base 2) (RAT2N_MEAN)].; Type: float; Scale: log_base_2
!sample_table_begin
ID_REF	CH1I_MEAN	CH2I_MEAN	CH1B_MEDIAN	CH2B_MEDIAN	CH1D_MEAN	CH2D_MEAN	CH1B_MEAN	CH2B_MEAN	PERGTBCH1I_1SD	PERGTBCH2I_1SD	PIX_RAT2_MEDIAN	TOT_SPIX	TOT_BPIX	REGR	CORR	TOP	BOT	LEFT	RIGHT	FLAG	CH2IN_MEAN	CH2BN_MEDIAN	CH2DN_MEAN	RAT2N_MEAN	RAT1N_MEAN	VALUE	UNF_VALUE
1	173	196	42	51	131	145	46	57	82	82	1.1	208	1133	.958	.863	96	112	51	67	0	144	37	106	.813	1.23	-.299	-.299
2	175	359	41	51	134	308	44	56	58	63	2.105	208	876	1.928	.91	95	111	71	87	0	264	37	226	1.688	.592	.755	.755
3	147	224	39	49	108	175	40	51	82	81	1.6	208	830	1.415	.885	95	111	88	104	0	165	36	129	1.19	.84	.251	.251
4	115	170	39	49	76	121	39	49	58	59	1.534	208	809	1.346	.894	94	110	105	121	0	125	36	89	1.169	.855	.226	.226
5	156	151	41	50	115	101	45	54	78	73	.908	208	810	.794	.899	95	111	122	138	0	111	37	74	.645	1.55	-.633	-.633
6	147	222	40	50	107	172	44	54	66	66	1.59	177	918	1.426	.922	94	109	141	156	0	163	37	126	1.181	.847	.24	.24
7	135	243	39	49	96	194	39	50	58	61	1.92	208	846	1.733	.925	94	110	159	175	0	178	36	142	1.484	.674	.57	.57
8	153	278	39	49	114	229	40	50	50	54	1.905	208	872	1.762	.931	93	109	176	192	0	204	36	168	1.475	.678	.561	.561
9	232	370	38	49	194	321	40	50	71	78	1.587	156	906	1.352	.906	94	108	193	207	0	272	36	236	1.215	.823	.281	.281
10	323	548	40	50	283	498	41	53	71	76	1.674	156	892	1.586	.948	95	109	210	224	0	402	37	366	1.292	.774	.37	.37
11	210	306	40	51	170	255	41	54	65	65	1.531	208	900	1.204	.892	94	110	226	242	0	225	37	187	1.102	.908	.14	.14
12	161	213	41	53	120	160	42	54	71	74	1.274	177	940	1.137	.872	94	109	245	260	0	156	39	118	.979	1.021	-.03	-.03
13	170	254	41	53	129	201	41	55	65	69	1.608	156	943	1.257	.907	94	108	264	278	0	187	39	148	1.144	.874	.195	.195
14	137	198	39	51	98	147	40	52	67	71	1.459	156	945	1.177	.876	93	107	281	295	0	145	37	108	1.102	.908	.14	.14
15	255	430	40	52	215	378	41	53	66	72	1.754	156	989	1.504	.923	92	106	298	312	0	316	38	278	1.291	.774	.369	.369
16	138	143	41	53	97	90	42	54	73	69	.914	156	1004	.783	.862	92	106	316	330	0	105	39	66	.681	1.467	-.553	-.553
17	134	205	42	53	92	152	42	54	73	75	1.6	156	953	1.376	.889	93	107	333	347	0	151	39	112	1.213	.824	.279	.279
18	147	161	41	53	106	108	42	55	63	62	.989	208	933	.866	.892	91	107	351	367	0	118	39	79	.748	1.336	-.418	-.418
19	151	237	41	54	110	183	42	56	77	75	1.629	156	938	1.464	.882	92	106	369	383	0	174	40	134	1.222	.818	.289	.289
20	194	325	41	54	153	271	41	55	64	65	1.791	156	971	1.608	.928	91	105	387	401	0	239	40	199	1.301	.769	.38	.38
!sample_table_end
