^SAMPLE = GSM73759
!Sample_title = 3X vs 2X (svi110)
!Sample_geo_accession = GSM73759
!Sample_status = Public on Sep 10 2005
!Sample_submission_date = Sep 09 2005
!Sample_last_update_date = Sep 22 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = 2X
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = 2X
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy3
!Sample_source_name_ch2 = 3X
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = 3X
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy5
!Sample_description = Simple annotation: X Chromosome, aCGH cell line
!Sample_description = Image: http://smd.stanford.edu/MicroArray/gifs/2000-03/3550.gif
!Sample_data_processing = VALUE is Log (base 2) of the ratio of the mean of Channel 2 (usually 635 nm) to Channel 1 (usually 532 nm)
!Sample_platform_id = GPL2830
!Sample_contact_name = ,,Stanford Microarray Database
!Sample_contact_email = array@genome.stanford.edu
!Sample_contact_phone = 650-498-6012
!Sample_contact_department = Stanford University, School of Medicine
!Sample_contact_institute = Stanford Microarray Database (SMD)
!Sample_contact_address = 300 Pasteur Drive
!Sample_contact_city = Stanford
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94305
!Sample_contact_country = USA
!Sample_contact_web_link = http://genome-www5.stanford.edu/
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3281
!Sample_data_row_count = 9216
#ID_REF = ID_REF
#CH1I_MEAN = Uncorrected Cy3 mean pixel intensity.; Type: integer; Scale: linear_scale; Channel: Cy3 Channel
#CH2I_MEAN = Uncorrected Cy3 mean pixel intensity.; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH1B_MEDIAN = Median intensities of background pixels of Cy3.; Type: integer; Scale: linear_scale; Channel: Cy3 Channel
#CH2B_MEDIAN = Median intensities of background pixels of Cy3.; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH1D_MEAN = The mean feature pixel intensity with the median background subtracted (channel 1).; Type: integer; Scale: linear_scale; Channel: Cy3 Channel
#CH2D_MEAN = The mean feature pixel intensity with the median background subtracted (channel 2).; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH1B_MEAN = Mean intensities of background pixels of Cy3.; Type: integer; Scale: linear_scale; Background
#CH2B_MEAN = Mean intensities of background pixels of Cy5.; Type: integer; Scale: linear_scale; Background
#PERGTBCH1I_1SD = The percentage of feature pixels with intensities more than one standard deviation above the background pixel intensity, at wavelength 532 nm.; Type: integer; Scale: linear_scale
#PERGTBCH2I_1SD = The percentage of feature pixels with intensities more than one standard deviation above the background pixel intensity, at wavelength 635 nm.; Type: integer; Scale: linear_scale
#PIX_RAT2_MEDIAN = Contains median of Ch2PI-CH2B/Ch1PI-CH1B where Ch1PI & Ch2PI represent single pixel intensities.; Type: float; Scale: linear_scale
#TOT_SPIX = Count of the number of pixels in the spot.; Type: integer; Scale: linear_scale
#TOT_BPIX = Number of background pixels.; Type: integer; Scale: linear_scale
#REGR = The regression ratio of every pixel in a 2-feature-diameter circle around the center of the feature.; Type: float; Scale: linear_scale
#CORR = The correlation between channel1 (Cy3) & Channel 2 (Cy5) pixels within the spot, and is a useful quality control parameter. Generally, high values imply better fit & good spot quality.; Type: float; Scale: linear_scale
#TOP = Box top: int(((centerX - radius) - Xoffset) / pixelSize).; Type: integer; Scale: linear_scale
#BOT = Box bottom: int(((centerX + radius) - Xoffset) / pixelSize).; Type: integer; Scale: linear_scale
#LEFT = Box left: int(((centerY - radius) - yoffset) / pixelSize).; Type: integer; Scale: linear_scale
#RIGHT = Box right: int(((centerY + radius) - yoffset) / pixelSize); Type: integer; Scale: linear_scale
#FLAG = User defined spot flag (default 0).; Type: integer; Scale: linear_scale
#CH2IN_MEAN = Normalized value of mean Channel 2 (usually 635 nm) intensity (CH2I_MEAN/Normalization factor).; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH2BN_MEDIAN = Normalized value of median Channel 2 (usually 635 nm) background (CH2B_MEDIAN/Normalization factor).; Type: integer; Scale: linear_scale; Channel: Cy5 channel; Background
#CH2DN_MEAN = Normalized value of mean Channel 2 (usually 635 nm) intensity with normalized background subtracted (CH2IN_MEAN - CH2BN_MEDIAN).; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#RAT2N_MEAN = Type: float; Scale: linear_scale
#RAT1N_MEAN = Ratio of the means of Channel 1 (usually 532 nm) intensity to normalized Channel 2 (usually 635 nm) intensity with median background subtracted (CH1D_MEAN/CH2DN_MEAN). Channel 1/Channel 2 ratio normalized or Green/Red ratio normalized.; Type: float; Scale: linear_scale
#VALUE = same as UNF_VALUE but with flagged values removed
#UNF_VALUE = Log (base 2) of the ratio of the mean of Channel 2 (usually 635 nm) to Channel 1 (usually 532 nm) [log (base 2) (RAT2N_MEAN)].; Type: float; Scale: log_base_2
!sample_table_begin
ID_REF	CH1I_MEAN	CH2I_MEAN	CH1B_MEDIAN	CH2B_MEDIAN	CH1D_MEAN	CH2D_MEAN	CH1B_MEAN	CH2B_MEAN	PERGTBCH1I_1SD	PERGTBCH2I_1SD	PIX_RAT2_MEDIAN	TOT_SPIX	TOT_BPIX	REGR	CORR	TOP	BOT	LEFT	RIGHT	FLAG	CH2IN_MEAN	CH2BN_MEDIAN	CH2DN_MEAN	RAT2N_MEAN	RAT1N_MEAN	VALUE	UNF_VALUE
1	389	674	25	29	364	645	25	29	73	76	1.757	208	1066	1.69	.959	59	75	80	96	0	644	28	616	1.692	.591	.759	.759
2	320	471	26	29	294	442	26	29	60	61	1.455	208	848	1.452	.964	58	74	97	113	0	450	28	422	1.436	.696	.522	.522
3	271	342	26	29	245	313	27	30	87	87	1.267	208	802	1.241	.937	60	76	114	130	0	327	28	299	1.22	.82	.287	.287
4	271	317	26	29	245	288	26	30	68	71	1.188	208	798	1.133	.95	59	75	132	148	0	303	28	275	1.123	.891	.167	.167
5	270	359	26	30	244	329	27	30	71	67	1.341	208	831	1.318	.962	59	75	149	165	0	343	29	314	1.288	.776	.365	.365
6	201	269	26	30	175	239	27	30	68	67	1.389	177	907	1.283	.947	59	74	167	182	0	257	29	228	1.304	.767	.383	.383
7	275	354	27	30	248	324	27	30	70	64	1.26	208	934	1.241	.951	58	74	185	201	0	338	29	309	1.248	.801	.319	.319
8	195	253	27	30	168	223	28	31	50	48	1.256	208	906	1.256	.958	59	75	203	219	0	242	29	213	1.268	.789	.342	.342
9	401	594	26	30	375	564	27	30	80	79	1.462	156	920	1.364	.941	60	74	221	235	0	567	29	539	1.437	.696	.523	.523
10	363	541	26	30	337	511	28	31	73	69	1.455	156	976	1.368	.934	59	73	238	252	0	517	29	488	1.448	.69	.534	.534
11	357	507	27	31	330	476	28	32	76	82	1.429	156	970	1.281	.933	59	73	256	270	0	484	30	455	1.378	.726	.462	.462
12	237	316	27	31	210	285	27	32	73	73	1.344	177	954	1.217	.936	58	73	273	288	0	302	30	272	1.296	.771	.374	.374
13	193	259	26	31	167	228	27	31	70	67	1.333	156	975	1.254	.95	58	72	290	304	0	247	30	218	1.304	.767	.383	.383
14	153	207	26	31	127	176	28	33	66	66	1.371	156	992	1.266	.94	59	73	309	323	0	198	30	168	1.324	.755	.405	.405
15	308	416	26	32	282	384	28	33	66	68	1.327	156	990	1.33	.977	59	73	326	340	0	397	31	367	1.301	.769	.379	.379
16	184	293	26	32	158	261	28	33	76	76	1.623	156	1023	1.482	.923	58	72	344	358	0	280	31	249	1.578	.634	.658	.658
17	201	249	27	32	174	217	28	34	76	73	1.244	156	953	1.165	.934	59	73	361	375	0	238	31	207	1.191	.84	.252	.252
18	261	350	28	33	233	317	37	37	76	75	1.349	156	942	1.245	.942	59	73	378	392	0	334	32	303	1.299	.77	.378	.378
19	205	257	27	33	178	224	36	36	71	74	1.281	156	1020	1.135	.92	58	72	397	411	0	245	32	214	1.202	.832	.265	.265
20	219	280	27	32	192	248	27	33	66	57	1.265	156	989	1.225	.959	58	72	415	429	0	267	31	237	1.234	.811	.303	.303
!sample_table_end
