^SAMPLE = GSM73707
!Sample_title = 213B vs NF (svi047)
!Sample_geo_accession = GSM73707
!Sample_status = Public on Sep 10 2005
!Sample_submission_date = Sep 09 2005
!Sample_last_update_date = Sep 22 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = NF
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = NF
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy3
!Sample_source_name_ch2 = 213B
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = 213B
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy5
!Sample_description = Simple annotation: Breast, aCGH tumor tissue
!Sample_description = Image: http://smd.stanford.edu/MicroArray/gifs/2000-04/4484.gif
!Sample_data_processing = VALUE is Log (base 2) of the ratio of the mean of Channel 2 (usually 635 nm) to Channel 1 (usually 532 nm)
!Sample_platform_id = GPL2830
!Sample_contact_name = ,,Stanford Microarray Database
!Sample_contact_email = array@genome.stanford.edu
!Sample_contact_phone = 650-498-6012
!Sample_contact_department = Stanford University, School of Medicine
!Sample_contact_institute = Stanford Microarray Database (SMD)
!Sample_contact_address = 300 Pasteur Drive
!Sample_contact_city = Stanford
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94305
!Sample_contact_country = USA
!Sample_contact_web_link = http://genome-www5.stanford.edu/
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3281
!Sample_data_row_count = 9216
#ID_REF = ID_REF
#CH1I_MEAN = Uncorrected Cy3 mean pixel intensity.; Type: integer; Scale: linear_scale; Channel: Cy3 Channel
#CH2I_MEAN = Uncorrected Cy3 mean pixel intensity.; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH1B_MEDIAN = Median intensities of background pixels of Cy3.; Type: integer; Scale: linear_scale; Channel: Cy3 Channel
#CH2B_MEDIAN = Median intensities of background pixels of Cy3.; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH1D_MEAN = The mean feature pixel intensity with the median background subtracted (channel 1).; Type: integer; Scale: linear_scale; Channel: Cy3 Channel
#CH2D_MEAN = The mean feature pixel intensity with the median background subtracted (channel 2).; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH1B_MEAN = Mean intensities of background pixels of Cy3.; Type: integer; Scale: linear_scale; Background
#CH2B_MEAN = Mean intensities of background pixels of Cy5.; Type: integer; Scale: linear_scale; Background
#PERGTBCH1I_1SD = The percentage of feature pixels with intensities more than one standard deviation above the background pixel intensity, at wavelength 532 nm.; Type: integer; Scale: linear_scale
#PERGTBCH2I_1SD = The percentage of feature pixels with intensities more than one standard deviation above the background pixel intensity, at wavelength 635 nm.; Type: integer; Scale: linear_scale
#PIX_RAT2_MEDIAN = Contains median of Ch2PI-CH2B/Ch1PI-CH1B where Ch1PI & Ch2PI represent single pixel intensities.; Type: float; Scale: linear_scale
#TOT_SPIX = Count of the number of pixels in the spot.; Type: integer; Scale: linear_scale
#TOT_BPIX = Number of background pixels.; Type: integer; Scale: linear_scale
#REGR = The regression ratio of every pixel in a 2-feature-diameter circle around the center of the feature.; Type: float; Scale: linear_scale
#CORR = The correlation between channel1 (Cy3) & Channel 2 (Cy5) pixels within the spot, and is a useful quality control parameter. Generally, high values imply better fit & good spot quality.; Type: float; Scale: linear_scale
#TOP = Box top: int(((centerX - radius) - Xoffset) / pixelSize).; Type: integer; Scale: linear_scale
#BOT = Box bottom: int(((centerX + radius) - Xoffset) / pixelSize).; Type: integer; Scale: linear_scale
#LEFT = Box left: int(((centerY - radius) - yoffset) / pixelSize).; Type: integer; Scale: linear_scale
#RIGHT = Box right: int(((centerY + radius) - yoffset) / pixelSize); Type: integer; Scale: linear_scale
#FLAG = User defined spot flag (default 0).; Type: integer; Scale: linear_scale
#CH2IN_MEAN = Normalized value of mean Channel 2 (usually 635 nm) intensity (CH2I_MEAN/Normalization factor).; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#CH2BN_MEDIAN = Normalized value of median Channel 2 (usually 635 nm) background (CH2B_MEDIAN/Normalization factor).; Type: integer; Scale: linear_scale; Channel: Cy5 channel; Background
#CH2DN_MEAN = Normalized value of mean Channel 2 (usually 635 nm) intensity with normalized background subtracted (CH2IN_MEAN - CH2BN_MEDIAN).; Type: integer; Scale: linear_scale; Channel: Cy5 channel
#RAT2N_MEAN = Type: float; Scale: linear_scale
#RAT1N_MEAN = Ratio of the means of Channel 1 (usually 532 nm) intensity to normalized Channel 2 (usually 635 nm) intensity with median background subtracted (CH1D_MEAN/CH2DN_MEAN). Channel 1/Channel 2 ratio normalized or Green/Red ratio normalized.; Type: float; Scale: linear_scale
#VALUE = same as UNF_VALUE but with flagged values removed
#UNF_VALUE = Log (base 2) of the ratio of the mean of Channel 2 (usually 635 nm) to Channel 1 (usually 532 nm) [log (base 2) (RAT2N_MEAN)].; Type: float; Scale: log_base_2
!sample_table_begin
ID_REF	CH1I_MEAN	CH2I_MEAN	CH1B_MEDIAN	CH2B_MEDIAN	CH1D_MEAN	CH2D_MEAN	CH1B_MEAN	CH2B_MEAN	PERGTBCH1I_1SD	PERGTBCH2I_1SD	PIX_RAT2_MEDIAN	TOT_SPIX	TOT_BPIX	REGR	CORR	TOP	BOT	LEFT	RIGHT	FLAG	CH2IN_MEAN	CH2BN_MEDIAN	CH2DN_MEAN	RAT2N_MEAN	RAT1N_MEAN	VALUE	UNF_VALUE
1	440	508	55	100	385	408	55	102	71	71	1.099	156	1174	.992	.938	108	122	96	110	0	468	92	376	.977	1.024	-.034	-.034
2	479	678	57	105	422	573	58	108	69	67	1.332	156	992	1.243	.948	108	122	113	127	0	625	97	528	1.251	.799	.324	.324
3	286	381	56	107	230	274	59	109	70	69	1.219	156	1006	1.085	.914	108	122	130	144	0	351	99	253	1.098	.911	.135	.135
4	273	356	57	107	216	249	59	108	63	55	1.17	156	1021	1.065	.919	108	122	147	161	0	328	99	229	1.062	.941	.087	.087
5	357	473	59	109	298	364	60	110	74	73	1.23	156	983	1.106	.93	108	122	166	180	0	436	100	335	1.126	.888	.171	.171
6	285	398	59	108	226	290	60	110	69	69	1.31	156	947	1.186	.914	108	122	184	198	0	367	100	267	1.183	.846	.242	.242
7	345	475	58	105	287	370	58	107	67	68	1.33	156	1025	1.135	.924	106	120	201	215	0	438	97	341	1.188	.842	.249	.249
8	429	552	57	105	372	447	57	106	62	56	1.214	156	985	1.116	.952	107	121	218	232	0	509	97	412	1.107	.903	.147	.147
9	358	468	57	103	301	365	57	104	59	59	1.268	156	978	1.108	.939	107	121	236	250	0	431	95	336	1.118	.895	.16	.16
10	439	571	56	103	383	468	57	104	61	55	1.196	156	980	1.101	.932	107	121	253	267	0	526	95	431	1.126	.888	.171	.171
11	334	459	56	104	278	355	57	105	57	58	1.355	156	990	1.171	.926	107	121	272	286	0	423	96	327	1.177	.85	.235	.235
12	287	392	57	105	230	287	58	106	58	56	1.267	156	991	1.152	.94	107	121	289	303	0	361	97	265	1.15	.87	.202	.202
13	271	364	57	106	214	258	58	106	51	52	1.264	156	964	1.034	.919	107	121	308	322	0	335	98	238	1.111	.9	.152	.152
14	199	274	57	106	142	168	58	106	51	44	1.231	156	968	1.139	.925	107	121	324	338	0	253	98	155	1.09	.917	.125	.125
15	350	453	57	106	293	347	58	107	51	50	1.324	156	1002	1.048	.932	106	120	343	357	0	417	98	320	1.091	.916	.126	.126
16	213	279	57	106	156	173	58	106	54	52	1.19	156	988	1.018	.934	106	120	359	373	0	257	98	159	1.022	.978	.031	.031
17	221	289	58	105	163	184	59	106	59	57	1.174	156	975	.921	.901	106	120	378	392	0	266	97	170	1.04	.961	.057	.057
18	279	384	60	108	219	276	62	109	62	58	1.25	156	963	1.118	.914	106	120	395	409	0	354	100	254	1.161	.861	.216	.216
19	222	300	61	107	161	193	61	108	56	49	1.215	156	965	1.079	.91	106	120	412	426	0	276	99	178	1.105	.905	.144	.144
20	239	318	60	104	179	214	61	105	48	44	1.135	156	936	1.061	.914	106	120	429	443	0	293	96	197	1.102	.908	.14	.14
!sample_table_end
