^SAMPLE = GSM503557
!Sample_title = normal N24_gDNA_Sty
!Sample_geo_accession = GSM503557
!Sample_status = Public on Jul 06 2010
!Sample_submission_date = Feb 01 2010
!Sample_last_update_date = Jul 06 2010
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = micro-dissected adjacent normal tissue
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = tissue: epithelium
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Germline DNA was extracted and purified using standard methods and microdisected DNA was followed the ptotocol from Puregene DNA purification Tissue Kit (Gentra System Inc).
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = As per manufacturer (Affymetrix).
!Sample_hyb_protocol = DNA was restric digested, PCR amplified, fragmented, labeled and hybridized to each array according to the manufacturer's instructions.
!Sample_scan_protocol = The array were then washed using Affymetrix fluidics stations, and scanned usingthe Affymetrix GeneChip Scanner 3000.
!Sample_description = Hybridized to 250K_Sty
!Sample_data_processing = The probe level measurements (PM and MM) were generated using Affymetrix Gtype software. Microarray data were normalized using a modified RMA method.
!Sample_platform_id = GPL3720
!Sample_contact_name = Howard,,Yang
!Sample_contact_email = yanghow@mail.nih.gov
!Sample_contact_phone = 2402765257
!Sample_contact_institute = NCI
!Sample_contact_address = 9609 Medical Center Dr.
!Sample_contact_city = Rockville
!Sample_contact_state = MD
!Sample_contact_zip/postal_code = 20850
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM503nnn/GSM503557/suppl/GSM503557.CEL.gz
!Sample_series_id = GSE20123
!Sample_data_row_count = 238378
#ID_REF = 
#VALUE = RMA (Affy Gtype) normalized signal intensity
!sample_table_begin
ID_REF	VALUE
SNP_A-1780358	1.68734683456615
SNP_A-1780551	1.46066697551856
SNP_A-1780357	1.77191356999367
SNP_A-1780550	1.87224679169519
SNP_A-1780352	1.29420065691766
SNP_A-1780351	2.37515886436015
SNP_A-1780350	2.03244811192107
SNP_A-1780748	3.39676001939587
SNP_A-1780747	2.77537767307721
SNP_A-1780746	1.97549542677675
SNP_A-1780745	1.86569361777308
SNP_A-1780743	1.98910948853449
SNP_A-1780549	1.43130334996857
SNP_A-1780547	2.69472315411809
SNP_A-1780541	1.27406197565009
SNP_A-1780346	1.20399781821591
SNP_A-1780345	1.45283595309064
SNP_A-1780342	2.03835493789541
SNP_A-1780341	1.59501255248716
SNP_A-1780340	1.5023513385336
!sample_table_end
