^SAMPLE = GSM2514809
!Sample_title = AML Patient A072_T Diagnostic
!Sample_geo_accession = GSM2514809
!Sample_status = Public on Apr 10 2017
!Sample_submission_date = Feb 28 2017
!Sample_last_update_date = Apr 10 2017
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = AML Patient A072 Diagnostic
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = disease state: AML
!Sample_characteristics_ch1 = individual: Patient A072
!Sample_characteristics_ch1 = tissue: Bone Marrow
!Sample_characteristics_ch1 = patient status: Diagnostic
!Sample_treatment_protocol_ch1 = None
!Sample_growth_protocol_ch1 = None
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Genomic DNA was isolated with phenol extraction according to the standard protocol (Sambrook, J., Fritsch, E. F. & Maniatis, T. Molecular cloning; a laboratory manual. Cold Spring Harbor Laboratory Press, Cold Spring Harbor, New York, 1989).
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = Samples were end labeled using terminal deoxynucleotidyl transferase according to the Affymetrix protocol.
!Sample_hyb_protocol = Samples were hybridized for 16-18 hr and washed and stained on the GeneChip fluidics station 450 using the appropriate fluidics protocol.
!Sample_scan_protocol = The arrays were inserted into the Affymetrix autoloader carousel and scanned using the GeneChip Scanner 3000 7G.
!Sample_description = hybridized to Genome-Wide Human SNP 6.0 Array
!Sample_data_processing = Genotyping Console 3.02 was used for data processing and GeneChip quality control. Data quality control and data analysis was performed using Partek GS 6.4.  SNP calls were made using Birdseed V-2.  Copy number calls of SNP 6.0  data were determined using R package ASCAT (van Loo et al, PNAS 2010).
!Sample_platform_id = GPL6801
!Sample_contact_name = Richard,,Aplenc
!Sample_contact_email = aplenc@email.chop.edu
!Sample_contact_phone = (215) 590-3025
!Sample_contact_department = Division of Oncology
!Sample_contact_institute = Children's Hospital of Philadelphia
!Sample_contact_address = 3501 Civic Center Blvd
!Sample_contact_city = Philadelphia, PA
!Sample_contact_state = PA
!Sample_contact_zip/postal_code = 19104
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2514nnn/GSM2514809/suppl/GSM2514809_A072_T.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2514nnn/GSM2514809/suppl/GSM2514809_A072_T.birdseed.chp.gz
!Sample_series_id = GSE95496
!Sample_series_id = GSE95691
!Sample_data_row_count = 909622
#ID_REF = PROBE SET NAME
#VALUE = CALL
#CONFIDENCE = 
#FORCED CALL = 
#SIGNAL A = 
#SIGNAL B = 
!sample_table_begin
ID_REF	VALUE	CONFIDENCE	FORCED CALL	SIGNAL A	SIGNAL B
SNP_A-2131660	BB	0.004254	BB	819.303711	3958.876221
SNP_A-1967418	AB	0.004508	AB	384.450409	339.062836
SNP_A-1969580	BB	0.002536	BB	601.053650	2639.689209
SNP_A-4263484	BB	0.009379	BB	590.803772	1721.747559
SNP_A-1978185	AA	0.002957	AA	1122.238037	405.245972
SNP_A-4264431	AB	0.002288	AB	1204.868164	967.287476
SNP_A-1980898	BB	0.001028	BB	215.831253	921.075317
SNP_A-1983139	AA	0.002382	AA	2532.348145	619.797607
SNP_A-4265735	AA	0.012340	AA	1983.275391	439.945465
SNP_A-1995832	BB	0.001121	BB	470.858887	1412.491089
SNP_A-1995893	BB	0.000478	BB	321.080872	2035.094971
SNP_A-1997689	BB	0.003738	BB	582.763000	2916.562500
SNP_A-1997709	AA	0.002792	AA	1244.331177	214.253845
SNP_A-1997896	AB	0.005847	AB	1195.581299	1687.050171
SNP_A-1997922	AB	0.002462	AB	708.234863	759.275635
SNP_A-2000230	AA	0.005688	AA	2432.323730	1235.653564
SNP_A-2000332	AB	0.002387	AB	2019.118896	2219.705811
SNP_A-2000337	AA	0.001403	AA	1050.981079	233.232224
SNP_A-2000342	AA	0.002383	AA	3049.539795	671.552673
SNP_A-4268173	AA	0.001447	AA	1179.701538	171.968735
!sample_table_end
