^SAMPLE = GSM552531
!Sample_title = Malignant mesothelioma, Y-MESO-26B
!Sample_geo_accession = GSM552531
!Sample_status = Public on Jun 15 2010
!Sample_submission_date = Jun 08 2010
!Sample_last_update_date = Jun 09 2010
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled normal genomic DNA, Male
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample type: Normal human genomic DNA purchased from Promega
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was prepared by standard techniques.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP.
!Sample_source_name_ch2 = Y-MESO-26B genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = cell line: Human malignant pleural mesothelioma cell line, Y-MESO-26B
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNA was prepared by standard techniques.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = The samples were labeled using the Agilent Genomic DNA Labeling Kit PLUS according to manufacture's instructions. DNA was fragmented using restriction enzymes. Random hexamers were used to prim an Exo-Klenow fragment DNA polymerase reaction incorporating CyDye labeled dUTP.
!Sample_hyb_protocol = The samples were hybridized for 40 hours using Agilent Oligo aCGH Hybridization Kit according to the manufacture's instructions.
!Sample_scan_protocol = Arrays were scanned on an Agilent carousel scanner following manufacture's instructions. Agilent Feature Extraction software was used to extract the data.
!Sample_description = Malignant mesotehlioma cell line
!Sample_data_processing = Agilent Feature Extraction software
!Sample_platform_id = GPL9128
!Sample_contact_name = Hideki,,Murakami
!Sample_contact_email = hmurakami@aichi-cc.jp
!Sample_contact_phone = +81-52-764-2993
!Sample_contact_fax = +81-52-764-2993
!Sample_contact_department = Division of Molecular Oncology
!Sample_contact_institute = Aichi Cancer Center Institute
!Sample_contact_address = 1-1 Kanokoden Chukusa-ku
!Sample_contact_city = Nagoya
!Sample_contact_state = Aichi
!Sample_contact_zip/postal_code = 464-8681
!Sample_contact_country = Japan
!Sample_supplementary_file = NONE
!Sample_series_id = GSE22237
!Sample_data_row_count = 236385
#ID_REF = 
#VALUE = normalized log10 ratio Cy5/Cy3
#CH1_SIG_MEAN = Cy3 Mean signal
#CH1_BKD_MEAN = Cy3 Background Mean signal
#CH2_SIG_MEAN = Cy5 Mean signal
#CH2_BKD_MEAN = Cy5 Background Mean signal
!sample_table_begin
ID_REF	VALUE	CH1_SIG_MEAN	CH1_BKD_MEAN	CH2_SIG_MEAN	CH2_BKD_MEAN
A_14_P100000	1.72E-01	9.21E+01	4.57E+01	1.17E+02	5.69E+01
A_14_P100001	-3.09E-01	1.62E+02	5.03E+01	1.20E+02	6.52E+01
A_14_P100002	1.16E-01	5.33E+02	4.97E+01	7.24E+02	6.05E+01
A_14_P100003	1.93E-01	2.24E+02	4.48E+01	3.53E+02	6.27E+01
A_14_P100005	5.28E-02	5.56E+02	5.10E+01	6.53E+02	6.07E+01
A_14_P100006	4.13E-01	8.27E+01	5.29E+01	1.08E+02	5.99E+01
A_14_P100007	-2.18E-01	1.52E+02	5.56E+01	1.29E+02	5.90E+01
A_14_P100008	2.15E-01	3.16E+02	4.40E+01	5.31E+02	6.17E+01
A_14_P100009	3.42E-02	4.87E+02	4.56E+01	5.72E+02	6.17E+01
A_14_P100010	-9.17E-02	8.89E+01	5.16E+01	9.30E+01	6.55E+01
A_14_P100011	4.63E-03	3.41E+02	4.40E+01	3.66E+02	6.25E+01
A_14_P100012	2.08E-02	3.22E+02	5.16E+01	3.66E+02	6.22E+01
A_14_P100013	1.53E-01	1.00E+02	5.04E+01	1.21E+02	6.47E+01
A_14_P100014	1.47E-01	8.06E+01	4.93E+01	9.67E+01	6.17E+01
A_14_P100015	1.20E-01	9.60E+01	4.96E+01	1.15E+02	6.53E+01
A_14_P100016	2.31E-01	7.29E+01	4.74E+01	9.57E+01	6.00E+01
A_14_P100017	-8.27E-02	3.35E+02	5.14E+01	3.06E+02	6.35E+01
A_14_P100018	7.90E-02	5.84E+02	5.28E+01	7.21E+02	5.64E+01
A_14_P100019	-1.59E-01	1.09E+02	4.79E+01	1.04E+02	6.33E+01
A_14_P100020	-1.24E-01	3.22E+02	4.72E+01	2.72E+02	6.41E+01
!sample_table_end
