^SAMPLE = GSM226740
!Sample_title = SiHa
!Sample_geo_accession = GSM226740
!Sample_status = Public on Sep 11 2007
!Sample_submission_date = Sep 04 2007
!Sample_last_update_date = Aug 14 2011
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = SiHa
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = DNA from cervical cancer cell line (HPV16)
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was isolated using the salting out procedure according to Miller and Polesky
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = Cy3-dCTPs
!Sample_source_name_ch2 = Pooled reference DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = commercially available female DNAs (Promega, Leiden, the Netherlands) that represent DNA pools derived from at least seven individuals
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = commercially available female DNA
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = Cy5-dCTPs
!Sample_hyb_protocol = Competitive hybridization
!Sample_scan_protocol = GenePix Personal 4100A scanner (Axon Instruments, Westburg BV, Leusden, the Netherlands).
!Sample_description = Copy number analysis of cervical cancer cell lines
!Sample_data_processing = limma
!Sample_platform_id = GPL4012
!Sample_contact_name = Jan,,Oosting
!Sample_contact_phone = +31 71 5266619
!Sample_contact_department = Pathology
!Sample_contact_institute = Leiden University Medical Center
!Sample_contact_address = Albinusdreef 2
!Sample_contact_city = Leiden
!Sample_contact_zip/postal_code = 2333ZA
!Sample_contact_country = Netherlands
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM226nnn/GSM226740/suppl/GSM226740.gpr.gz
!Sample_series_id = GSE8605
!Sample_data_row_count = 12800
#ID_REF = 
#VALUE = Green / Red normalized log2 transformed ratio
#CN = Clone specific copy number
#GREEN = Raw Green intensity
#GREENBG = Raw Green background
#RED = Raw Red intensity
#REDBG = Raw Red background
#FLAGS = Genepix Flags
!sample_table_begin
ID_REF	VALUE	CN	GREEN	GREENBG	RED	REDBG	FLAGS
1	-0.0616534341486489	1.89348243444703	4981	111	7848	154	0
2	-0.07895796238142	1.89348243444703	4950	113	7890	154	0
3	-0.122093701850866	1.89348243444703	4928	113	8070	154	0
4	-0.158213997344124	1.7825613427534	3827	110	6521	155	0
5	-0.166048275441152	1.7825613427534	3807	110	6516	154	0
6	-0.194282830285689	1.7825613427534	3861	112	6764	153	0
7	-0.184060444720697	1.76044426809322	4440	111	7764	153	0
8	-0.172860931576886	1.76044426809322	4303	112	7497	155	0
9	-0.218616629131003	1.76044426809322	4586	112	8111	156	0
10	0.101557363386868	2.14586209484891	2096	112	3110	156	0
11	0.132385376235668	2.14586209484891	2151	110	3129	155	0
12	0.100751424646128	2.14586209484891	2102	111	3120	154	0
13	-0.00573340196527294	2.00993316109213	4578	112	7127	154	0
14	0.0180632305855986	2.00993316109213	4609	112	7060	154	0
15	0.00714752639712746	2.00993316109213	4678	114	7196	154	0
16	-0.202781919580790	1.75692506593231	4373	114	7751	156	0
17	-0.151308378515851	1.75692506593231	4408	112	7562	157	0
18	-0.186947339281621	1.75692506593231	4534	112	7902	158	0
19	-0.117461779369667	1.87019202414848	3808	113	6273	157	0
20	-0.0968135918849798	1.87019202414848	3796	112	6151	156	0
!sample_table_end
