^SAMPLE = GSM226741
!Sample_title = CC10B
!Sample_geo_accession = GSM226741
!Sample_status = Public on Sep 11 2007
!Sample_submission_date = Sep 04 2007
!Sample_last_update_date = Aug 14 2011
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = CC10B
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = DNA from cervical cancer cell line (HPV45)
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was isolated using the salting out procedure according to Miller and Polesky
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = Cy3-dCTPs
!Sample_source_name_ch2 = Pooled reference DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = commercially available female DNAs (Promega, Leiden, the Netherlands) that represent DNA pools derived from at least seven individuals
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = commercially available female DNA
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = Cy5-dCTPs
!Sample_hyb_protocol = Competitive hybridization
!Sample_scan_protocol = GenePix Personal 4100A scanner (Axon Instruments, Westburg BV, Leusden, the Netherlands).
!Sample_description = Copy number analysis of cervical cancer cell lines
!Sample_data_processing = limma
!Sample_platform_id = GPL4012
!Sample_contact_name = Jan,,Oosting
!Sample_contact_phone = +31 71 5266619
!Sample_contact_department = Pathology
!Sample_contact_institute = Leiden University Medical Center
!Sample_contact_address = Albinusdreef 2
!Sample_contact_city = Leiden
!Sample_contact_zip/postal_code = 2333ZA
!Sample_contact_country = Netherlands
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM226nnn/GSM226741/suppl/GSM226741.gpr.gz
!Sample_series_id = GSE8605
!Sample_data_row_count = 12800
#ID_REF = 
#VALUE = Green / Red normalized log2 transformed ratio
#CN = Clone specific copy number
#GREEN = Raw Green intensity
#GREENBG = Raw Green background
#RED = Raw Red intensity
#REDBG = Raw Red background
#FLAGS = Genepix Flags
!sample_table_begin
ID_REF	VALUE	CN	GREEN	GREENBG	RED	REDBG	FLAGS
1	-0.084538854563746	1.88617187459800	4080	92	5104	154	0
2	-0.102771127815209	1.88617187459800	4109	93	5171	152	0
3	-0.0832094058478308	1.88617187459800	4210	94	5185	151	0
4	-0.0110499093172882	1.94613615703185	3131	93	3850	151	0
5	-0.0393873514416299	1.94613615703185	3131	93	3918	152	0
6	-0.0666604845682497	1.94613615703185	3405	95	4322	154	0
7	-0.127293421723281	1.81532247144907	3782	96	4977	154	0
8	-0.139774150601719	1.81532247144907	3813	96	5039	153	0
9	-0.205339755873541	1.81532247144907	3972	97	5354	154	0
10	0.246497416481496	2.37264690573248	1819	97	2135	154	0
11	0.262298013576536	2.37264690573248	1868	95	2161	152	0
12	0.231151944677379	2.37264690573248	1876	94	2208	151	0
13	-0.0152495463677756	1.9677682977253	4116	95	4940	152	0
14	-0.0234396448727320	1.9677682977253	4136	95	4975	152	0
15	-0.0392528502734531	1.9677682977253	4199	96	5060	152	0
16	-0.113287300542204	1.81808586187400	3855	95	5001	152	0
17	-0.137579665388367	1.81808586187400	3875	96	5088	154	0
18	-0.188786715925351	1.81808586187400	4184	98	5463	155	0
19	-0.070802507609978	1.90421646980943	3272	96	4168	153	0
20	-0.096968702124868	1.90421646980943	3283	95	4256	153	0
!sample_table_end
