^SAMPLE = GSM226736
!Sample_title = CC11+
!Sample_geo_accession = GSM226736
!Sample_status = Public on Sep 11 2007
!Sample_submission_date = Sep 04 2007
!Sample_last_update_date = Aug 14 2011
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = CC11+
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = DNA from cervical cancer cell line (HPV67)
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was isolated using the salting out procedure according to Miller and Polesky
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = Cy3-dCTPs
!Sample_source_name_ch2 = Pooled reference DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = commercially available female DNAs (Promega, Leiden, the Netherlands) that represent DNA pools derived from at least seven individuals
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = commercially available female DNA
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = Cy5-dCTPs
!Sample_hyb_protocol = Competitive hybridization
!Sample_scan_protocol = GenePix Personal 4100A scanner (Axon Instruments, Westburg BV, Leusden, the Netherlands).
!Sample_description = Copy number analysis of cervical cancer cell lines
!Sample_data_processing = limma
!Sample_platform_id = GPL4012
!Sample_contact_name = Jan,,Oosting
!Sample_contact_phone = +31 71 5266619
!Sample_contact_department = Pathology
!Sample_contact_institute = Leiden University Medical Center
!Sample_contact_address = Albinusdreef 2
!Sample_contact_city = Leiden
!Sample_contact_zip/postal_code = 2333ZA
!Sample_contact_country = Netherlands
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM226nnn/GSM226736/suppl/GSM226736.gpr.gz
!Sample_series_id = GSE8605
!Sample_data_row_count = 12800
#ID_REF = 
#VALUE = Green / Red normalized log2 transformed ratio
#CN = Clone specific copy number
#GREEN = Raw Green intensity
#GREENBG = Raw Green background
#RED = Raw Red intensity
#REDBG = Raw Red background
#FLAGS = Genepix Flags
!sample_table_begin
ID_REF	VALUE	CN	GREEN	GREENBG	RED	REDBG	FLAGS
1	-0.0343721073918021	1.98146465000628	4867	107	8419	151	0
2	0.00169599394582876	1.98146465000628	5037	110	8507	151	0
3	-0.0134327706277657	1.98146465000628	4957	109	8456	151	0
4	-0.128723293351790	1.84708158993135	3440	107	6428	151	0
5	-0.114752405044263	1.84708158993135	3395	107	6289	153	0
6	-0.104628188657451	1.84708158993135	3778	111	6917	154	0
7	-0.201718957306695	1.73725378056997	3794	112	7407	154	0
8	-0.203989513205406	1.73725378056997	3875	110	7572	153	0
9	-0.203191479557792	1.73725378056997	4067	111	7916	153	0
10	0.134219650922933	2.23191299180134	2068	112	3238	154	0
11	0.163371029622427	2.23191299180134	2059	112	3163	154	0
12	0.158280786690653	2.23191299180134	2068	109	3191	153	0
13	0.0692110799725044	2.09828563178862	4460	110	7220	153	0
14	0.0659648850979099	2.09828563178862	4305	111	7001	153	0
15	0.108921229968093	2.09828563178862	4608	111	7244	151	0
16	-0.132570738843372	1.80520922505008	4184	108	7762	151	0
17	-0.156424996886008	1.80520922505008	4257	106	8011	153	0
18	-0.147833943802063	1.80520922505008	4278	109	7997	153	0
19	0.0606157378658366	2.08582155404737	3725	111	6120	154	0
20	0.0711110681577438	2.08582155404737	3595	112	5869	153	0
!sample_table_end
