^SAMPLE = GSM226734
!Sample_title = CC8
!Sample_geo_accession = GSM226734
!Sample_status = Public on Sep 11 2007
!Sample_submission_date = Sep 04 2007
!Sample_last_update_date = Aug 14 2011
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = CC8
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = DNA from cervical cancer cell line (HPV45)
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was isolated using the salting out procedure according to Miller and Polesky
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = Cy3-dCTPs
!Sample_source_name_ch2 = Pooled reference DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = commercially available female DNAs (Promega, Leiden, the Netherlands) that represent DNA pools derived from at least seven individuals
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = commercially available female DNA
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = Cy5-dCTPs
!Sample_hyb_protocol = Competitive hybridization
!Sample_scan_protocol = GenePix Personal 4100A scanner (Axon Instruments, Westburg BV, Leusden, the Netherlands).
!Sample_description = Copy number analysis of cervical cancer cell lines
!Sample_data_processing = limma
!Sample_platform_id = GPL4012
!Sample_contact_name = Jan,,Oosting
!Sample_contact_phone = +31 71 5266619
!Sample_contact_department = Pathology
!Sample_contact_institute = Leiden University Medical Center
!Sample_contact_address = Albinusdreef 2
!Sample_contact_city = Leiden
!Sample_contact_zip/postal_code = 2333ZA
!Sample_contact_country = Netherlands
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM226nnn/GSM226734/suppl/GSM226734.gpr.gz
!Sample_series_id = GSE8605
!Sample_data_row_count = 12800
#ID_REF = 
#VALUE = Green / Red normalized log2 transformed ratio
#CN = Clone specific copy number
#GREEN = Raw Green intensity
#GREENBG = Raw Green background
#RED = Raw Red intensity
#REDBG = Raw Red background
#FLAGS = Genepix Flags
!sample_table_begin
ID_REF	VALUE	CN	GREEN	GREENBG	RED	REDBG	FLAGS
1	-0.185256786447459	1.77848354454831	4340	109	5195	141	0
2	-0.12112226206012	1.77848354454831	4392	108	5046	141	0
3	-0.169352374100872	1.77848354454831	4509	108	5288	142	0
4	-0.431491201802996	1.48298992666474	2808	109	4382	142	0
5	-0.435612176364562	1.48298992666474	2652	109	4071	144	0
6	-0.373461877495877	1.48298992666474	2731	111	4056	145	0
7	-0.449940512457665	1.46414606674680	2972	110	4697	145	0
8	-0.41851095895934	1.46414606674680	3053	111	4716	145	0
9	-0.459652361795104	1.46414606674680	2856	111	4550	145	0
10	0.00525647031039511	2.05126407323631	1627	110	2091	145	0
11	0.0597766120483765	2.05126407323631	1598	109	1998	144	0
12	0.0365132317614561	2.05126407323631	1659	108	2085	142	0
13	-0.189005293780849	1.74938672730292	3642	107	4657	143	0
14	-0.193150746824859	1.74938672730292	3539	107	4600	145	0
15	-0.255211229087376	1.74938672730292	3745	109	4879	145	0
16	-0.28813927751844	1.60058956765403	3283	110	4623	144	0
17	-0.321396588849256	1.60058956765403	3268	112	4694	144	0
18	-0.323110911015970	1.60058956765403	3378	113	4791	144	0
19	-0.184770638301835	1.75336845802385	2952	113	3891	145	0
20	-0.189870799848498	1.75336845802385	2913	114	3834	147	0
!sample_table_end
