mapping_type    icdo_code_mix   icdo_label_mix    ncit_id ncit_label  icdom_id    icdom_label icdot_id    icdot_label pgx_sample_example  pgx_example_link  pgx_sample_count
primary ICD-O M	icdom-80000	Neoplasm, benign	NCIT:C3677	Benign Neoplasm			pgx:icdom-80000	Neoplasm, benign			5
pgx code mix	icdom-80000~icdot-C25.9	Neoplasm, benign (Pancreas, NOS)	NCIT:C4612	Benign Pancreatic Neoplasm	pgx:icdom-80000	Neoplasm, benign	pgx:icdot-C25.9	Pancreas, NOS	Non-malignant pancreas	https://progenetix.org/services/ids/pgxbs-kftvkfia	5
primary ICD-O M	icdom-80001	Neoplasm, uncertain whether benign or malignant	NCIT:C65157	Neoplasm, Uncertain Whether Benign or Malignant			pgx:icdom-80001	Neoplasm, uncertain whether benign or malignant			11
pgx code mix	icdom-80001~icdot-C80.9	Neoplasm, uncertain whether benign or malignant (Unknown primary site)	NCIT:C65157	Neoplasm, Uncertain Whether Benign or Malignant	pgx:icdom-80001	Neoplasm, uncertain whether benign or malignant	pgx:icdot-C80.9	Unknown primary site	unknown cancer type	https://progenetix.org/services/ids/pgxbs-kftvjwh5	11
primary ICD-O M	icdom-80003	Neoplasm, malignant	NCIT:C9305	Malignant Neoplasm			pgx:icdom-80003	Neoplasm, malignant			127
pgx code mix	icdom-80003~icdot-C44.9	Neoplasm, malignant (Skin, NOS)	NCIT:C2920	Malignant Skin Neoplasm	pgx:icdom-80003	Neoplasm, malignant	pgx:icdot-C44.9	Skin, NOS	blastic plasmacytoid dendritic cell neoplasm	https://progenetix.org/services/ids/pgxbs-kftvgkn1	1
pgx code mix	icdom-80003~icdot-C49.9	Neoplasm, malignant (Connective, subcutaneous and other soft tissues, NOS)	NCIT:C3810	Connective and Soft Tissue Neoplasm	pgx:icdom-80003	Neoplasm, malignant	pgx:icdot-C49.9	Connective, subcutaneous and other soft tissues, NOS	cancer [Omentum]	https://progenetix.org/services/ids/pgxbs-kftvim67	2
pgx code mix	icdom-80003~icdot-C56.9	Neoplasm, malignant (Ovary)	NCIT:C7431	Malignant Ovarian Neoplasm	pgx:icdom-80003	Neoplasm, malignant	pgx:icdot-C56.9	Ovary	Ovarian cancer [cell line OCI-P9a]	https://progenetix.org/services/ids/pgxbs-kftvju2w	1
pgx code mix	icdom-80003~icdot-C65.9	Neoplasm, malignant (Renal pelvis)	NCIT:C27892	Unclassified Renal Cell Carcinoma	pgx:icdom-80003	Neoplasm, malignant	pgx:icdot-C65.9	Renal pelvis	Unclassified Renal Cell Carcinoma	https://progenetix.org/services/ids/pgxbs-kftvldcn	116
pgx code mix	icdom-80003~icdot-C76.9	Neoplasm, malignant (ill-defined)	NCIT:C9305	Malignant Neoplasm	pgx:icdom-80003	Neoplasm, malignant	pgx:icdot-C76.9	ill-defined	Cancer of unknown primary	https://progenetix.org/services/ids/pgxbs-kftvkfig	7
primary ICD-O M	icdom-80006	Neoplasm, metastatic	NCIT:C3261	Metastatic Neoplasm			pgx:icdom-80006	Neoplasm, metastatic			0
primary ICD-O M	icdom-80009	Neoplasm, malignant, uncertain whether primary or metastatic	NCIT:C65153	Malignant Neoplasm, Uncertain Whether Primary or Metastatic			pgx:icdom-80009	Neoplasm, malignant, uncertain whether primary or metastatic			0
primary ICD-O M	icdom-80010	Tumor cells, benign					pgx:icdom-80010	Tumor cells, benign			0
primary ICD-O M	icdom-80011	Tumor cells, uncertain whether benign or malignant	NCIT:C12922	Neoplastic Cell			pgx:icdom-80011	Tumor cells, uncertain whether benign or malignant			0
primary ICD-O M	icdom-80013	Tumor cells, malignant	NCIT:C12917	Malignant Cell			pgx:icdom-80013	Tumor cells, malignant			0
primary ICD-O M	icdom-80023	Malignant tumor, small cell type	NCIT:C65154	Malignant Tumor, Small Cell Type			pgx:icdom-80023	Malignant tumor, small cell type			0
primary ICD-O M	icdom-80033	Malignant tumor, giant cell type	NCIT:C4090	Malignant Giant Cell Neoplasm			pgx:icdom-80033	Malignant tumor, giant cell type			0
primary ICD-O M	icdom-80043	Malignant tumor, spindle cell type	NCIT:C27091	Malignant Spindle Cell Neoplasm			pgx:icdom-80043	Malignant tumor, spindle cell type			0
primary ICD-O M	icdom-80050	Clear cell tumor, NOS	NCIT:C66752	Clear Cell Neoplasm			pgx:icdom-80050	Clear cell tumor, NOS			299
pgx code mix	icdom-80050~icdot-C23.9	Clear cell tumor, NOS (Gallbladder)	NCIT:C6179	Bladder Clear Cell Adenocarcinoma	pgx:icdom-80050	Clear cell tumor, NOS	pgx:icdot-C23.9	Gallbladder	Mesonephric Carcinoma	https://progenetix.org/services/ids/pgxbs-kftvl4h8	1
pgx code mix	icdom-80050~icdot-C56.9	Clear cell tumor, NOS (Ovary)	NCIT:C40076	Ovarian Clear Cell Tumor	pgx:icdom-80050	Clear cell tumor, NOS	pgx:icdot-C56.9	Ovary	Clear cell ovarian tumor [xenograft]	https://progenetix.org/services/ids/pgxbs-kftvju4k	4
pgx code mix	icdom-80050~icdot-C64.9	Clear cell tumor, NOS (Kidney, NOS)	NCIT:C4033	Clear Cell Renal Cell Carcinoma	pgx:icdom-80050	Clear cell tumor, NOS	pgx:icdot-C64.9	Kidney, NOS	clear cell renal carcinoma	https://progenetix.org/services/ids/pgxbs-kftvkoix	294
primary ICD-O M	icdom-80053	Malignant tumor, clear cell type					pgx:icdom-80053	Malignant tumor, clear cell type			0
primary ICD-O M	icdom-80100	Epithelial tumor, benign	NCIT:C4092	Benign Epithelial Neoplasm			pgx:icdom-80100	Epithelial tumor, benign			0
primary ICD-O M	icdom-80102	Carcinoma in situ, NOS	NCIT:C2917	Carcinoma In Situ			pgx:icdom-80102	Carcinoma in situ, NOS			11
pgx code mix	icdom-80102~icdot-C34.9	Carcinoma in situ, NOS (Lung, NOS)	NCIT:C27467	Stage 0 Lung Cancer	pgx:icdom-80102	Carcinoma in situ, NOS	pgx:icdot-C34.9	Lung, NOS	Carcinoma in situ [left main bronchus]	https://progenetix.org/services/ids/pgxbs-kftvh1e5	1
pgx code mix	icdom-80102~icdot-C50.9	Carcinoma in situ, NOS (Breast, NOS)	NCIT:C2917	Carcinoma In Situ	pgx:icdom-80102	Carcinoma in situ, NOS	pgx:icdot-C50.9	Breast, NOS	carcinoma in situ [breast]	https://progenetix.org/services/ids/pgxbs-kftvh1c3	1
pgx code mix	icdom-80102~icdot-C62.9	Carcinoma in situ, NOS (Testis, NOS)	NCIT:C2917	Carcinoma In Situ	pgx:icdom-80102	Carcinoma in situ, NOS	pgx:icdot-C62.9	Testis, NOS	Carcinoma in situ [testicular, adjacent to Embryonal carcinoma]	https://progenetix.org/services/ids/pgxbs-kftvh5v4	9
primary ICD-O M	icdom-80103	Carcinoma, NOS	NCIT:C2916	Carcinoma			pgx:icdom-80103	Carcinoma, NOS			4382
pgx code mix	icdom-80103~icdot-C06.9	Carcinoma, NOS (Mouth, NOS)	NCIT:C8990	Oral Cavity Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C06.9	Mouth, NOS	Spindle-cell ameloblastic carcinoma	https://progenetix.org/services/ids/pgxbs-kftvh7aa	1
pgx code mix	icdom-80103~icdot-C08.9	Carcinoma, NOS (Major salivary gland, NOS)	NCIT:C167368	Adnexal Secretory Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C08.9	Major salivary gland, NOS	Mammary Analogue Secretory Carcinoma of Salivary Gland Origin	https://progenetix.org/services/ids/pgxbs-kftvl8v7	6
pgx code mix	icdom-80103~icdot-C08.9	Carcinoma, NOS (Major salivary gland, NOS)	NCIT:C5904	Salivary Duct Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C08.9	Major salivary gland, NOS	Salivary Duct Carcinoma	https://progenetix.org/services/ids/pgxbs-kftvl9g4	18
pgx code mix	icdom-80103~icdot-C11.9	Carcinoma, NOS (Nasopharynx, NOS)	NCIT:C3871	Nasopharyngeal Carcinoma	pgx:icdom-80103	Carcinoma, NOS	pgx:icdot-C11.9	Nasopharynx, NOS	Nasopharyngeal Carcinoma	https://progenetix.org/services/ids/pgxbs-kftvl8lk	13
