^SAMPLE = GSM77513
!Sample_title = 1EP31
!Sample_geo_accession = GSM77513
!Sample_status = Public on Apr 14 2006
!Sample_submission_date = Oct 11 2005
!Sample_last_update_date = Apr 13 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled reference DNA from either 4 healthy males or females of the opposite sex compared to the sample.
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = 635nm
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Isolated tumor DNA, derived from ependymal tumors.
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = 532nm
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Comparison of normal versus tumor DNA (ependymoma). Whole-genome screening of DNA-copy number changes by array-based or matrix comparative genomic hybridization (matrix-CGH).
!Sample_data_processing = Genepix result files
!Sample_platform_id = GPL2920
!Sample_contact_name = Frank,,Mendrzyk
!Sample_contact_email = f.mendrzyk@dkfz.de
!Sample_contact_phone = 49-6221-424676
!Sample_contact_institute = German Cancer Research Center (DKFZ)
!Sample_contact_address =  
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69120
!Sample_contact_country = Germany
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3435
!Sample_data_row_count = 19395
#ID_REF = 
#VALUE = Raw log ratio (Cy5/Cy3).
#CH1_RAW = Raw median signal intensity in Cy5-channel (635nm).
#CH1_MEAN = Raw mean signal intensity in Cy5-channel (635nm).
#CH1_SD = Signal intensity standard deviation in Cy5-channel (635nm).
#CH1_BKD_RAW = Raw median background intensity in Cy5-channel (635nm).
#CH1_BKD_MEAN = Raw mean background intensity in Cy5-channel (635nm).
#CH1_BKD_SD = Background intensity standard deviation in Cy5-channel (635nm).
#CH1_AREA = Signal area in Cy5-channel (635nm).
#CH1_BKD_AREA = Background area in Cy5-channel (635nm).
#CH2_RAW = Raw median signal intensity in Cy3-channel (532nm).
#CH2_MEAN = Raw mean signal intensity in Cy3-channel (532nm).
#CH2_SD = Signal intensity standard deviation in Cy3-channel (532nm).
#CH2_BKD_RAW = Raw median background intensity in Cy3-channel (532nm).
#CH2_BKD_MEAN = Raw mean background intensity in Cy3-channel (532nm).
#CH2_BKD_SD = Background intensity standard deviation in Cy3-channel (532nm).
#CH2_AREA = Signal area in Cy3-channel (532nm).
#CH2_BKD_AREA = Background area in Cy3-channel (532nm).
!sample_table_begin
ID_REF	VALUE	CH1_RAW	CH1_MEAN	CH1_SD	CH1_BKD_RAW	CH1_BKD_MEAN	CH1_BKD_SD	CH1_AREA	CH1_BKD_AREA	CH2_RAW	CH2_MEAN	CH2_SD	CH2_BKD_RAW	CH2_BKD_MEAN	CH2_BKD_SD	CH2_AREA	CH2_BKD_AREA
G000001-1	0.164	3116	3075	731	432	436	132	32	236	2610	2563	667	215	228	87	32	236
G000001-2	0.178	3229	3140	772	393	408	138	32	236	2717	2736	644	211	215	57	32	236
G000001-3	-0.133	2579	2584	555	346	354	106	32	236	2658	2622	592	209	221	71	32	236
G000002-1	0.139	14166	13931	1915	384	407	200	52	340	12728	12748	1589	209	231	138	52	340
G000002-2	0.007	12735	12411	2207	345	354	104	52	340	12532	11941	2350	206	217	83	52	340
G000002-3	-0.067	10915	10321	2858	362	401	614	52	420	11259	10943	1942	207	223	108	52	420
G000003-1	0.027	6149	6427	1949	418	424	141	52	340	5845	6194	1967	220	227	79	52	340
G000003-2	0.051	7420	7000	1986	404	426	250	52	340	6988	6387	2224	216	223	70	52	340
G000003-3	-0.23	6851	6674	2066	393	419	179	52	340	7786	7267	2591	212	222	64	52	340
G000004-1	0.09	14927	14465	2685	410	423	120	52	420	13869	13500	2463	229	240	106	52	420
G000004-2	0.086	15127	14924	1874	402	420	118	52	340	14092	13640	2258	220	224	58	52	340
G000004-3	0.036	15391	14268	3762	393	423	158	52	420	14846	13616	3591	221	228	64	52	420
G000005-1	0.25	19049	18638	3724	423	456	173	52	340	15890	15552	3110	227	239	101	52	340
G000005-2	0.282	17748	16388	4614	433	474	330	52	420	14476	14159	3316	239	283	365	52	420
G000005-3	0.269	19582	18649	3626	431	465	305	52	340	16121	15231	3421	233	275	384	52	340
G000006-1	0.132	11756	11579	2040	396	421	165	52	340	10580	10393	2136	215	231	117	52	340
G000006-2	0.063	11792	11654	1882	385	420	216	52	420	11139	11085	1871	220	248	231	52	420
G000006-3	0.081	11366	11571	2216	374	398	177	52	420	10603	10829	2210	214	234	146	52	420
G000007-1	0.053	9193	8596	2827	432	463	181	52	340	8675	8186	2023	229	239	91	52	340
G000007-2	0.078	8536	8005	2641	452	471	155	52	420	7897	7668	1783	237	242	80	52	420
!sample_table_end
