^SAMPLE = GSM77521
!Sample_title = 2EP2
!Sample_geo_accession = GSM77521
!Sample_status = Public on Apr 14 2006
!Sample_submission_date = Oct 11 2005
!Sample_last_update_date = Apr 13 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled reference DNA from either 4 healthy males or females of the opposite sex compared to the sample.
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = 635nm
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Isolated tumor DNA, derived from ependymal tumors.
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = 532nm
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Comparison of normal versus tumor DNA (ependymoma). Whole-genome screening of DNA-copy number changes by array-based or matrix comparative genomic hybridization (matrix-CGH).
!Sample_data_processing = Genepix result files
!Sample_platform_id = GPL2920
!Sample_contact_name = Frank,,Mendrzyk
!Sample_contact_email = f.mendrzyk@dkfz.de
!Sample_contact_phone = 49-6221-424676
!Sample_contact_institute = German Cancer Research Center (DKFZ)
!Sample_contact_address =  
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69120
!Sample_contact_country = Germany
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3435
!Sample_data_row_count = 19395
#ID_REF = 
#VALUE = Raw log ratio (Cy5/Cy3).
#CH1_RAW = Raw median signal intensity in Cy5-channel (635nm).
#CH1_MEAN = Raw mean signal intensity in Cy5-channel (635nm).
#CH1_SD = Signal intensity standard deviation in Cy5-channel (635nm).
#CH1_BKD_RAW = Raw median background intensity in Cy5-channel (635nm).
#CH1_BKD_MEAN = Raw mean background intensity in Cy5-channel (635nm).
#CH1_BKD_SD = Background intensity standard deviation in Cy5-channel (635nm).
#CH1_AREA = Signal area in Cy5-channel (635nm).
#CH1_BKD_AREA = Background area in Cy5-channel (635nm).
#CH2_RAW = Raw median signal intensity in Cy3-channel (532nm).
#CH2_MEAN = Raw mean signal intensity in Cy3-channel (532nm).
#CH2_SD = Signal intensity standard deviation in Cy3-channel (532nm).
#CH2_BKD_RAW = Raw median background intensity in Cy3-channel (532nm).
#CH2_BKD_MEAN = Raw mean background intensity in Cy3-channel (532nm).
#CH2_BKD_SD = Background intensity standard deviation in Cy3-channel (532nm).
#CH2_AREA = Signal area in Cy3-channel (532nm).
#CH2_BKD_AREA = Background area in Cy3-channel (532nm).
!sample_table_begin
ID_REF	VALUE	CH1_RAW	CH1_MEAN	CH1_SD	CH1_BKD_RAW	CH1_BKD_MEAN	CH1_BKD_SD	CH1_AREA	CH1_BKD_AREA	CH2_RAW	CH2_MEAN	CH2_SD	CH2_BKD_RAW	CH2_BKD_MEAN	CH2_BKD_SD	CH2_AREA	CH2_BKD_AREA
G000001-1	0.058	2041	1921	765	249	253	91	52	340	1853	1732	743	132	136	41	52	340
G000001-2	-0.105	2135	2152	752	236	248	92	52	340	2177	2015	674	135	139	38	52	340
G000001-3	0.193	2615	2546	832	247	258	96	52	340	2203	2060	685	132	134	38	52	340
G000002-1	-0.009	9798	9330	2732	290	298	90	52	420	9723	9283	2297	157	161	48	52	420
G000002-2	-0.031	9292	9245	2309	268	280	95	52	420	9378	8984	2561	156	162	48	52	420
G000002-3	-0.023	9375	9078	2110	281	293	112	52	340	9401	9256	2170	158	163	50	52	340
G000003-1	0.02	7066	6708	2043	327	359	153	52	340	6828	6403	1993	184	200	106	52	340
G000003-2	-0.079	5627	5572	1751	317	351	169	52	340	5801	5569	1669	193	219	190	52	340
G000003-3	-0.108	5626	5202	1765	287	318	192	52	340	5932	5692	2048	179	187	66	52	340
G000004-1	0.165	15760	14534	3766	416	429	141	52	420	13886	13153	2454	202	216	77	52	420
G000004-2	0.123	13465	12488	3459	366	379	112	52	420	12233	11782	2683	206	214	78	52	420
G000004-3	-0.276	10798	10103	2458	321	334	101	52	340	12878	12334	2656	188	195	55	52	340
G000005-1	0.394	19571	17455	5232	392	406	112	52	340	14809	13734	4283	214	224	71	52	340
G000005-2	0.172	19029	17209	5626	375	399	232	52	420	16761	14507	5434	201	229	194	52	420
G000005-3	-0.023	16425	14437	4648	354	392	264	52	420	16532	14499	4729	207	228	192	52	420
G000006-1	0.084	12064	11804	3644	394	407	175	52	420	11209	10804	3611	198	199	54	52	420
G000006-2	0.084	11890	10840	3099	365	383	143	52	420	11066	10094	2901	195	198	49	52	420
G000006-3	-0.267	8894	8302	2771	370	401	207	52	420	10457	9402	3626	201	283	783	52	420
G000007-1	0.062	5420	5073	1459	250	259	92	52	420	5088	4899	1221	134	139	42	52	420
G000007-2	0.053	5452	5330	1548	250	257	94	52	340	5152	4948	1206	137	139	44	52	340
!sample_table_end
