^SAMPLE = GSM77496
!Sample_title = 1EP10
!Sample_geo_accession = GSM77496
!Sample_status = Public on Apr 14 2006
!Sample_submission_date = Oct 11 2005
!Sample_last_update_date = Apr 13 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled reference DNA from either 4 healthy males or females of the opposite sex compared to the sample.
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = 635nm
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Isolated tumor DNA, derived from ependymal tumors.
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = 532nm
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Comparison of normal versus tumor DNA (ependymoma). Whole-genome screening of DNA-copy number changes by array-based or matrix comparative genomic hybridization (matrix-CGH).
!Sample_data_processing = Genepix result files
!Sample_platform_id = GPL2920
!Sample_contact_name = Frank,,Mendrzyk
!Sample_contact_email = f.mendrzyk@dkfz.de
!Sample_contact_phone = 49-6221-424676
!Sample_contact_institute = German Cancer Research Center (DKFZ)
!Sample_contact_address =  
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69120
!Sample_contact_country = Germany
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3435
!Sample_data_row_count = 19395
#ID_REF = 
#VALUE = Raw log ratio (Cy5/Cy3).
#CH1_RAW = Raw median signal intensity in Cy5-channel (635nm).
#CH1_MEAN = Raw mean signal intensity in Cy5-channel (635nm).
#CH1_SD = Signal intensity standard deviation in Cy5-channel (635nm).
#CH1_BKD_RAW = Raw median background intensity in Cy5-channel (635nm).
#CH1_BKD_MEAN = Raw mean background intensity in Cy5-channel (635nm).
#CH1_BKD_SD = Background intensity standard deviation in Cy5-channel (635nm).
#CH1_AREA = Signal area in Cy5-channel (635nm).
#CH1_BKD_AREA = Background area in Cy5-channel (635nm).
#CH2_RAW = Raw median signal intensity in Cy3-channel (532nm).
#CH2_MEAN = Raw mean signal intensity in Cy3-channel (532nm).
#CH2_SD = Signal intensity standard deviation in Cy3-channel (532nm).
#CH2_BKD_RAW = Raw median background intensity in Cy3-channel (532nm).
#CH2_BKD_MEAN = Raw mean background intensity in Cy3-channel (532nm).
#CH2_BKD_SD = Background intensity standard deviation in Cy3-channel (532nm).
#CH2_AREA = Signal area in Cy3-channel (532nm).
#CH2_BKD_AREA = Background area in Cy3-channel (532nm).
!sample_table_begin
ID_REF	VALUE	CH1_RAW	CH1_MEAN	CH1_SD	CH1_BKD_RAW	CH1_BKD_MEAN	CH1_BKD_SD	CH1_AREA	CH1_BKD_AREA	CH2_RAW	CH2_MEAN	CH2_SD	CH2_BKD_RAW	CH2_BKD_MEAN	CH2_BKD_SD	CH2_AREA	CH2_BKD_AREA
G000001-1	-0.03	4585	4502	1289	594	619	160	52	420	4324	4202	1453	250	256	59	52	420
G000001-2	-0.27	3926	4156	1364	596	624	196	52	420	4267	4264	1298	251	257	65	52	420
G000001-3	-0.231	5075	5062	903	790	2310	4611	32	236	5299	5213	1049	271	428	673	32	236
G000002-1	-0.125	13139	11682	5487	569	587	158	80	548	13963	12251	5446	255	262	64	80	548
G000002-2	-0.075	16680	16816	2911	542	564	151	52	420	17254	17410	3281	253	263	68	52	420
G000002-3	0.086	16327	18245	10930	1600	3302	6085	80	547	14470	13927	7230	595	938	1729	80	547
G000003-1	0.004	10435	10141	1853	573	586	151	52	340	10117	9915	2307	284	295	80	52	340
G000003-2	-0.324	9034	8841	1771	545	561	153	52	420	10904	10655	2301	278	281	61	52	420
G000003-3	-0.165	8513	8181	2172	560	578	189	52	340	9179	8701	2401	262	267	70	52	340
G000004-1	0.09	15169	14371	3526	536	544	136	52	420	14008	13568	3013	261	271	73	52	420
G000004-2	-0.053	14211	13932	3690	520	533	135	52	420	14467	14129	3818	262	265	61	52	420
G000004-3	-0.08	13995	13695	3099	555	635	722	52	420	14458	13390	3580	254	262	76	52	420
G000005-1	-0.008	25481	24755	5525	535	540	124	52	420	25355	23900	6973	262	268	61	52	420
G000005-2	-0.278	23305	23298	4059	517	531	136	52	340	27900	27728	5499	262	263	57	52	340
G000005-3	-0.155	25554	23235	5847	527	541	134	52	306	28114	25634	6808	256	261	57	52	306
G000006-1	-0.009	22702	21111	5209	507	520	118	52	420	22598	21586	4914	262	266	65	52	420
G000006-2	-0.058	21629	21039	4602	493	498	124	52	420	22256	20995	5426	249	254	62	52	420
G000006-3	-0.312	18212	17574	3367	494	625	988	52	384	22237	20947	3794	242	259	116	52	384
G000007-1	-0.109	9616	9543	1751	587	607	146	52	420	10000	9372	2190	260	261	59	52	420
G000007-2	-0.04	11399	11032	2529	598	623	183	52	340	11356	10988	2448	248	267	135	52	340
!sample_table_end
