^SAMPLE = GSM77531
!Sample_title = 2EP12
!Sample_geo_accession = GSM77531
!Sample_status = Public on Apr 14 2006
!Sample_submission_date = Oct 11 2005
!Sample_last_update_date = Apr 13 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled reference DNA from either 4 healthy males or females of the opposite sex compared to the sample.
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = 635nm
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Isolated tumor DNA, derived from ependymal tumors.
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = 532nm
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Comparison of normal versus tumor DNA (ependymoma). Whole-genome screening of DNA-copy number changes by array-based or matrix comparative genomic hybridization (matrix-CGH).
!Sample_data_processing = Genepix result files
!Sample_platform_id = GPL2920
!Sample_contact_name = Frank,,Mendrzyk
!Sample_contact_email = f.mendrzyk@dkfz.de
!Sample_contact_phone = 49-6221-424676
!Sample_contact_institute = German Cancer Research Center (DKFZ)
!Sample_contact_address =  
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69120
!Sample_contact_country = Germany
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3435
!Sample_data_row_count = 19395
#ID_REF = 
#VALUE = Raw log ratio (Cy5/Cy3).
#CH1_RAW = Raw median signal intensity in Cy5-channel (635nm).
#CH1_MEAN = Raw mean signal intensity in Cy5-channel (635nm).
#CH1_SD = Signal intensity standard deviation in Cy5-channel (635nm).
#CH1_BKD_RAW = Raw median background intensity in Cy5-channel (635nm).
#CH1_BKD_MEAN = Raw mean background intensity in Cy5-channel (635nm).
#CH1_BKD_SD = Background intensity standard deviation in Cy5-channel (635nm).
#CH1_AREA = Signal area in Cy5-channel (635nm).
#CH1_BKD_AREA = Background area in Cy5-channel (635nm).
#CH2_RAW = Raw median signal intensity in Cy3-channel (532nm).
#CH2_MEAN = Raw mean signal intensity in Cy3-channel (532nm).
#CH2_SD = Signal intensity standard deviation in Cy3-channel (532nm).
#CH2_BKD_RAW = Raw median background intensity in Cy3-channel (532nm).
#CH2_BKD_MEAN = Raw mean background intensity in Cy3-channel (532nm).
#CH2_BKD_SD = Background intensity standard deviation in Cy3-channel (532nm).
#CH2_AREA = Signal area in Cy3-channel (532nm).
#CH2_BKD_AREA = Background area in Cy3-channel (532nm).
!sample_table_begin
ID_REF	VALUE	CH1_RAW	CH1_MEAN	CH1_SD	CH1_BKD_RAW	CH1_BKD_MEAN	CH1_BKD_SD	CH1_AREA	CH1_BKD_AREA	CH2_RAW	CH2_MEAN	CH2_SD	CH2_BKD_RAW	CH2_BKD_MEAN	CH2_BKD_SD	CH2_AREA	CH2_BKD_AREA
G000001-1	0.431	1853	1893	788	452	465	139	52	420	1528	1618	659	489	499	126	52	420
G000001-2	-0.154	1249	1550	781	479	492	155	80	623	1425	1593	715	568	583	156	80	623
G000001-3	0.408	1478	1494	737	488	507	137	80	548	1236	1257	606	490	500	122	80	548
G000002-1	0.235	11739	12155	3545	453	493	244	52	420	9958	10272	3332	370	403	207	52	420
G000002-2	0.144	11830	11687	3097	464	517	250	52	414	10652	10364	3220	363	417	320	52	414
G000002-3	0.101	11718	11802	2822	449	474	141	52	420	10876	10841	3162	367	374	108	52	420
G000003-1		502	539	297	479	506	213	120	712	371	377	107	377	404	201	120	712
G000003-2	-0.858	470	499	150	486	509	191	120	688	346	365	108	375	396	203	120	688
G000003-3	0.874	449	465	126	482	490	141	120	732	351	380	158	369	385	148	120	732
G000004-1	0.061	11510	10941	2770	446	468	190	52	340	10958	10797	2844	352	377	174	52	340
G000004-2	-0.009	10657	11391	2752	432	456	168	52	340	10613	10791	2856	322	345	129	52	340
G000004-3	0.121	10180	9934	2594	421	442	138	52	340	9292	9110	2614	318	333	114	52	340
G000005-1	0.038	15386	15604	3781	312	332	117	52	420	14930	15629	3994	248	260	90	52	420
G000005-2	0.107	16194	16043	3383	297	308	108	52	420	15009	15322	4006	245	258	94	52	420
G000005-3	0.144	15230	15573	3345	318	334	110	52	420	13746	13901	3728	248	265	93	52	420
G000006-1	-0.018	12556	12246	4360	308	333	238	120	676	12664	12351	5273	258	281	229	120	676
G000006-2	-0.04	14711	14514	5177	315	325	119	120	676	15062	14667	5503	263	271	100	120	676
G000006-3	-0.032	15132	16002	3675	301	317	109	80	599	15415	16300	3900	248	251	86	80	599
G000007-1	0.295	9341	8358	3761	470	485	164	80	535	7614	7086	3644	382	390	128	80	535
G000007-2	0.182	9509	9540	1865	478	492	169	52	420	8363	8388	1752	404	400	111	52	420
!sample_table_end
