^SAMPLE = GSM77552
!Sample_title = 2EP33
!Sample_geo_accession = GSM77552
!Sample_status = Public on Apr 14 2006
!Sample_submission_date = Oct 11 2005
!Sample_last_update_date = Apr 13 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled reference DNA from either 4 healthy males or females of the opposite sex compared to the sample.
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = 635nm
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Isolated tumor DNA, derived from ependymal tumors.
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = 532nm
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Comparison of normal versus tumor DNA (ependymoma). Whole-genome screening of DNA-copy number changes by array-based or matrix comparative genomic hybridization (matrix-CGH).
!Sample_data_processing = Genepix result files
!Sample_platform_id = GPL2920
!Sample_contact_name = Frank,,Mendrzyk
!Sample_contact_email = f.mendrzyk@dkfz.de
!Sample_contact_phone = 49-6221-424676
!Sample_contact_institute = German Cancer Research Center (DKFZ)
!Sample_contact_address =  
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69120
!Sample_contact_country = Germany
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3435
!Sample_data_row_count = 19395
#ID_REF = 
#VALUE = Raw log ratio (Cy5/Cy3).
#CH1_RAW = Raw median signal intensity in Cy5-channel (635nm).
#CH1_MEAN = Raw mean signal intensity in Cy5-channel (635nm).
#CH1_SD = Signal intensity standard deviation in Cy5-channel (635nm).
#CH1_BKD_RAW = Raw median background intensity in Cy5-channel (635nm).
#CH1_BKD_MEAN = Raw mean background intensity in Cy5-channel (635nm).
#CH1_BKD_SD = Background intensity standard deviation in Cy5-channel (635nm).
#CH1_AREA = Signal area in Cy5-channel (635nm).
#CH1_BKD_AREA = Background area in Cy5-channel (635nm).
#CH2_RAW = Raw median signal intensity in Cy3-channel (532nm).
#CH2_MEAN = Raw mean signal intensity in Cy3-channel (532nm).
#CH2_SD = Signal intensity standard deviation in Cy3-channel (532nm).
#CH2_BKD_RAW = Raw median background intensity in Cy3-channel (532nm).
#CH2_BKD_MEAN = Raw mean background intensity in Cy3-channel (532nm).
#CH2_BKD_SD = Background intensity standard deviation in Cy3-channel (532nm).
#CH2_AREA = Signal area in Cy3-channel (532nm).
#CH2_BKD_AREA = Background area in Cy3-channel (532nm).
!sample_table_begin
ID_REF	VALUE	CH1_RAW	CH1_MEAN	CH1_SD	CH1_BKD_RAW	CH1_BKD_MEAN	CH1_BKD_SD	CH1_AREA	CH1_BKD_AREA	CH2_RAW	CH2_MEAN	CH2_SD	CH2_BKD_RAW	CH2_BKD_MEAN	CH2_BKD_SD	CH2_AREA	CH2_BKD_AREA
G000001-1	0.545	2307	3491	5082	467	1156	2602	156	1030	1565	1838	1573	304	508	1038	156	1030
G000001-2	-0.092	2486	2481	1401	411	705	2085	80	512	2505	2550	1375	293	417	960	80	512
G000001-3	-0.291	2486	2693	790	386	400	134	52	420	2845	2873	851	275	288	150	52	420
G000002-1	0.071	9127	8922	1381	329	336	103	52	420	8593	8257	1282	220	222	64	52	420
G000002-2	0.035	8924	8625	1553	327	338	103	52	420	8606	8154	1634	217	222	60	52	420
G000002-3	0.081	8502	7196	3043	337	345	107	80	546	7936	6652	2742	219	225	60	80	546
G000003-1	0.054	6354	6212	977	352	355	101	52	420	6007	5786	932	226	226	60	52	420
G000003-2	0.087	6319	6213	1133	339	350	100	52	420	5849	5720	1191	219	223	57	52	420
G000003-3	-0.111	5128	5001	843	303	317	99	52	420	5435	5414	704	223	227	60	52	420
G000004-1	0.069	7538	7110	1907	306	313	99	52	399	7106	6558	1800	214	220	59	52	399
G000004-2	-0.045	6976	6854	1025	291	303	100	52	420	7112	6902	1259	217	220	59	52	420
G000004-3	-0.076	6388	6331	1160	291	291	88	52	340	6646	6719	1347	218	219	55	52	340
G000005-1	-0.133	6748	6545	1120	301	307	90	52	414	7293	7011	1464	221	225	65	52	414
G000005-2	-0.204	5680	4763	2000	303	319	160	80	518	6413	5562	2324	220	229	82	80	518
G000005-3	-0.245	6273	5970	1383	276	284	91	52	406	7335	6808	1703	226	230	63	52	406
G000006-1	-0.069	8994	8743	1312	301	300	94	52	420	9343	9146	1228	223	229	63	52	420
G000006-2	-0.161	8090	8241	1799	285	293	90	52	420	8947	8785	2045	218	222	62	52	420
G000006-3	-0.032	8322	8091	2283	278	289	93	52	420	8444	8078	1804	219	222	59	52	420
G000007-1	-0.155	7947	7806	1441	445	950	1908	52	340	8641	8287	1442	288	435	624	52	340
G000007-2	-0.082	9341	9354	974	621	3740	7201	52	340	9561	9460	835	330	1228	3027	52	340
!sample_table_end
