^SAMPLE = GSM77543
!Sample_title = 2EP24
!Sample_geo_accession = GSM77543
!Sample_status = Public on Apr 14 2006
!Sample_submission_date = Oct 11 2005
!Sample_last_update_date = Apr 13 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled reference DNA from either 4 healthy males or females of the opposite sex compared to the sample.
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = 635nm
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Isolated tumor DNA, derived from ependymal tumors.
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = 532nm
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Comparison of normal versus tumor DNA (ependymoma). Whole-genome screening of DNA-copy number changes by array-based or matrix comparative genomic hybridization (matrix-CGH).
!Sample_data_processing = Genepix result files
!Sample_platform_id = GPL2920
!Sample_contact_name = Frank,,Mendrzyk
!Sample_contact_email = f.mendrzyk@dkfz.de
!Sample_contact_phone = 49-6221-424676
!Sample_contact_institute = German Cancer Research Center (DKFZ)
!Sample_contact_address =  
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69120
!Sample_contact_country = Germany
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3435
!Sample_data_row_count = 19395
#ID_REF = 
#VALUE = Raw log ratio (Cy5/Cy3).
#CH1_RAW = Raw median signal intensity in Cy5-channel (635nm).
#CH1_MEAN = Raw mean signal intensity in Cy5-channel (635nm).
#CH1_SD = Signal intensity standard deviation in Cy5-channel (635nm).
#CH1_BKD_RAW = Raw median background intensity in Cy5-channel (635nm).
#CH1_BKD_MEAN = Raw mean background intensity in Cy5-channel (635nm).
#CH1_BKD_SD = Background intensity standard deviation in Cy5-channel (635nm).
#CH1_AREA = Signal area in Cy5-channel (635nm).
#CH1_BKD_AREA = Background area in Cy5-channel (635nm).
#CH2_RAW = Raw median signal intensity in Cy3-channel (532nm).
#CH2_MEAN = Raw mean signal intensity in Cy3-channel (532nm).
#CH2_SD = Signal intensity standard deviation in Cy3-channel (532nm).
#CH2_BKD_RAW = Raw median background intensity in Cy3-channel (532nm).
#CH2_BKD_MEAN = Raw mean background intensity in Cy3-channel (532nm).
#CH2_BKD_SD = Background intensity standard deviation in Cy3-channel (532nm).
#CH2_AREA = Signal area in Cy3-channel (532nm).
#CH2_BKD_AREA = Background area in Cy3-channel (532nm).
!sample_table_begin
ID_REF	VALUE	CH1_RAW	CH1_MEAN	CH1_SD	CH1_BKD_RAW	CH1_BKD_MEAN	CH1_BKD_SD	CH1_AREA	CH1_BKD_AREA	CH2_RAW	CH2_MEAN	CH2_SD	CH2_BKD_RAW	CH2_BKD_MEAN	CH2_BKD_SD	CH2_AREA	CH2_BKD_AREA
G000001-1	-0.279	2520	2562	701	255	357	732	52	414	2938	2913	932	189	216	233	52	414
G000001-2	0.569	4783	5012	3123	261	399	1367	120	774	3241	2976	1844	193	225	308	120	774
G000001-3	-0.197	2474	2498	761	244	256	87	52	414	2744	2756	881	188	195	56	52	414
G000002-1	-0.234	6780	6721	955	247	257	81	52	416	7882	8014	900	199	204	56	52	416
G000002-2	-0.209	7298	6891	1445	236	243	71	52	420	8358	8118	1588	196	198	53	52	420
G000002-3	-0.302	6267	5964	1220	238	245	71	52	420	7630	7501	1196	197	201	57	52	420
G000003-1	-0.303	4270	4112	1150	252	263	87	52	420	5154	4772	1588	196	201	54	52	420
G000003-2	-0.334	4397	4108	1080	256	260	81	52	420	5407	4788	1573	189	197	56	52	420
G000003-3	-0.353	4047	3910	858	233	242	78	52	340	5066	4981	904	194	201	58	52	340
G000004-1	-0.19	5856	5674	1338	250	259	85	52	420	6596	6486	1328	200	202	54	52	420
G000004-2	-0.223	5339	5290	930	244	255	78	52	340	6143	5954	1042	195	197	54	52	340
G000004-3	-0.268	5469	5255	1220	236	238	74	52	420	6497	6344	1364	194	198	51	52	420
G000005-1	-0.169	5783	5340	1308	238	242	71	52	414	6426	6200	1282	191	195	54	52	414
G000005-2	-0.422	4785	4723	787	225	231	70	52	406	6298	6197	874	190	195	56	52	406
G000005-3	-0.237	5201	4864	1338	221	228	77	52	414	6068	6040	1298	197	200	53	52	414
G000006-1	-0.207	7911	7722	1349	226	232	73	52	340	9069	8782	1845	197	201	54	52	340
G000006-2	-0.254	7388	7313	1636	229	240	83	52	420	8734	8433	2018	194	200	57	52	420
G000006-3	-0.282	7338	6845	1831	240	244	80	52	420	8826	8563	1854	196	200	55	52	420
G000007-1	0.126	4074	4465	3422	317	981	2599	120	598	3661	4047	3330	219	455	1331	120	598
G000007-2	-0.253	4810	4068	1857	256	360	951	80	517	5628	4758	2161	200	235	230	80	517
!sample_table_end
