^SAMPLE = GSM77515
!Sample_title = 1EP33
!Sample_geo_accession = GSM77515
!Sample_status = Public on Apr 14 2006
!Sample_submission_date = Oct 11 2005
!Sample_last_update_date = Apr 13 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled reference DNA from either 4 healthy males or females of the opposite sex compared to the sample.
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = 635nm
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Isolated tumor DNA, derived from ependymal tumors.
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = 532nm
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Comparison of normal versus tumor DNA (ependymoma). Whole-genome screening of DNA-copy number changes by array-based or matrix comparative genomic hybridization (matrix-CGH).
!Sample_data_processing = Genepix result files
!Sample_platform_id = GPL2920
!Sample_contact_name = Frank,,Mendrzyk
!Sample_contact_email = f.mendrzyk@dkfz.de
!Sample_contact_phone = 49-6221-424676
!Sample_contact_institute = German Cancer Research Center (DKFZ)
!Sample_contact_address =  
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69120
!Sample_contact_country = Germany
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3435
!Sample_data_row_count = 19395
#ID_REF = 
#VALUE = Raw log ratio (Cy5/Cy3).
#CH1_RAW = Raw median signal intensity in Cy5-channel (635nm).
#CH1_MEAN = Raw mean signal intensity in Cy5-channel (635nm).
#CH1_SD = Signal intensity standard deviation in Cy5-channel (635nm).
#CH1_BKD_RAW = Raw median background intensity in Cy5-channel (635nm).
#CH1_BKD_MEAN = Raw mean background intensity in Cy5-channel (635nm).
#CH1_BKD_SD = Background intensity standard deviation in Cy5-channel (635nm).
#CH1_AREA = Signal area in Cy5-channel (635nm).
#CH1_BKD_AREA = Background area in Cy5-channel (635nm).
#CH2_RAW = Raw median signal intensity in Cy3-channel (532nm).
#CH2_MEAN = Raw mean signal intensity in Cy3-channel (532nm).
#CH2_SD = Signal intensity standard deviation in Cy3-channel (532nm).
#CH2_BKD_RAW = Raw median background intensity in Cy3-channel (532nm).
#CH2_BKD_MEAN = Raw mean background intensity in Cy3-channel (532nm).
#CH2_BKD_SD = Background intensity standard deviation in Cy3-channel (532nm).
#CH2_AREA = Signal area in Cy3-channel (532nm).
#CH2_BKD_AREA = Background area in Cy3-channel (532nm).
!sample_table_begin
ID_REF	VALUE	CH1_RAW	CH1_MEAN	CH1_SD	CH1_BKD_RAW	CH1_BKD_MEAN	CH1_BKD_SD	CH1_AREA	CH1_BKD_AREA	CH2_RAW	CH2_MEAN	CH2_SD	CH2_BKD_RAW	CH2_BKD_MEAN	CH2_BKD_SD	CH2_AREA	CH2_BKD_AREA
G000001-1	-0.477	1570	1590	803	423	466	255	52	420	1891	1877	1102	294	310	119	52	420
G000001-2	-0.44	1494	1579	668	445	473	174	52	420	1717	1843	859	294	311	119	52	420
G000001-3	-0.163	1132	1285	847	455	478	186	52	420	1062	1408	1033	304	321	119	52	420
G000002-1	-0.422	9444	9102	2676	493	554	305	52	340	12281	12264	1961	289	317	147	52	340
G000002-2	-0.197	7535	7493	2486	589	621	245	52	420	8252	8317	2702	292	308	121	52	420
G000002-3	-0.321	9498	9402	1925	479	523	329	52	340	11537	11638	1322	272	299	187	52	340
G000003-1	-0.208	7291	7585	1733	390	411	156	52	340	8242	8418	1364	270	281	108	52	340
G000003-2	-0.217	7353	7099	1508	399	436	398	52	420	8340	8051	2098	256	276	106	52	420
G000003-3	-0.273	5767	5982	1919	401	421	199	52	420	6758	7199	2217	276	285	108	52	420
G000004-1	-0.416	8975	9018	2229	356	380	162	52	340	11753	11575	3567	254	271	104	52	340
G000004-2	-0.587	8145	8270	1908	362	379	168	52	340	11946	10728	4230	259	280	127	52	340
G000004-3	-0.314	9768	9401	2362	377	408	243	52	340	11938	11551	3916	260	272	103	52	340
G000005-1	-0.226	11337	10862	4331	344	356	143	52	340	13121	13132	5063	260	275	108	52	340
G000005-2	-0.258	10379	10867	4174	348	369	161	52	420	12255	11500	5728	257	270	110	52	420
G000005-3	-0.129	12080	12591	3252	343	373	186	52	420	13080	12705	5759	244	251	96	52	420
G000006-1	-0.608	11353	10723	3214	321	340	141	120	696	17055	15269	5041	238	258	118	120	696
G000006-2	-0.446	10434	9679	3221	330	351	162	120	740	14015	12660	5020	254	266	113	120	740
G000006-3	-0.492	10829	10240	2798	327	355	249	120	720	15019	13442	5084	247	260	114	120	720
G000007-1	-0.496	7171	7320	2203	427	455	223	52	420	9792	9302	2684	284	307	133	52	420
G000007-2	-0.435	7761	7842	1650	414	458	448	52	420	10223	10176	1827	293	312	127	52	420
!sample_table_end
