^SAMPLE = GSM77542
!Sample_title = 2EP23
!Sample_geo_accession = GSM77542
!Sample_status = Public on Apr 14 2006
!Sample_submission_date = Oct 11 2005
!Sample_last_update_date = Apr 13 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled reference DNA from either 4 healthy males or females of the opposite sex compared to the sample.
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = 635nm
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Isolated tumor DNA, derived from ependymal tumors.
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = 532nm
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Comparison of normal versus tumor DNA (ependymoma). Whole-genome screening of DNA-copy number changes by array-based or matrix comparative genomic hybridization (matrix-CGH).
!Sample_data_processing = Genepix result files
!Sample_platform_id = GPL2920
!Sample_contact_name = Frank,,Mendrzyk
!Sample_contact_email = f.mendrzyk@dkfz.de
!Sample_contact_phone = 49-6221-424676
!Sample_contact_institute = German Cancer Research Center (DKFZ)
!Sample_contact_address =  
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69120
!Sample_contact_country = Germany
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3435
!Sample_data_row_count = 19395
#ID_REF = 
#VALUE = Raw log ratio (Cy5/Cy3).
#CH1_RAW = Raw median signal intensity in Cy5-channel (635nm).
#CH1_MEAN = Raw mean signal intensity in Cy5-channel (635nm).
#CH1_SD = Signal intensity standard deviation in Cy5-channel (635nm).
#CH1_BKD_RAW = Raw median background intensity in Cy5-channel (635nm).
#CH1_BKD_MEAN = Raw mean background intensity in Cy5-channel (635nm).
#CH1_BKD_SD = Background intensity standard deviation in Cy5-channel (635nm).
#CH1_AREA = Signal area in Cy5-channel (635nm).
#CH1_BKD_AREA = Background area in Cy5-channel (635nm).
#CH2_RAW = Raw median signal intensity in Cy3-channel (532nm).
#CH2_MEAN = Raw mean signal intensity in Cy3-channel (532nm).
#CH2_SD = Signal intensity standard deviation in Cy3-channel (532nm).
#CH2_BKD_RAW = Raw median background intensity in Cy3-channel (532nm).
#CH2_BKD_MEAN = Raw mean background intensity in Cy3-channel (532nm).
#CH2_BKD_SD = Background intensity standard deviation in Cy3-channel (532nm).
#CH2_AREA = Signal area in Cy3-channel (532nm).
#CH2_BKD_AREA = Background area in Cy3-channel (532nm).
!sample_table_begin
ID_REF	VALUE	CH1_RAW	CH1_MEAN	CH1_SD	CH1_BKD_RAW	CH1_BKD_MEAN	CH1_BKD_SD	CH1_AREA	CH1_BKD_AREA	CH2_RAW	CH2_MEAN	CH2_SD	CH2_BKD_RAW	CH2_BKD_MEAN	CH2_BKD_SD	CH2_AREA	CH2_BKD_AREA
G000001-1	-0.339	1247	1677	1204	315	330	125	80	534	1496	1883	1262	317	324	87	80	534
G000001-2	-0.156	2412	2334	1194	332	458	937	52	406	2640	2518	1214	322	370	306	52	406
G000001-3	-0.253	2259	2265	1114	374	452	675	52	340	2547	2554	1217	300	310	165	52	340
G000002-1	-0.262	9921	9513	2622	287	311	226	52	420	11868	11240	3237	315	407	467	52	420
G000002-2	-0.198	9168	9080	1698	374	392	146	52	420	10496	10271	1698	407	615	652	52	420
G000002-3	-0.415	7847	6998	2004	418	445	162	52	420	10473	9688	3314	570	691	626	52	420
G000003-1	-0.219	6571	6336	1499	269	280	105	52	340	7600	7278	1969	266	271	75	52	340
G000003-2	-0.119	6412	6176	1443	295	308	116	52	340	6926	6619	1548	285	300	145	52	340
G000003-3	-0.268	6072	5809	1095	282	295	94	52	340	7241	6783	1848	268	273	71	52	340
G000004-1	-0.099	9692	9144	2246	288	374	495	52	420	10337	10025	2212	266	282	122	52	420
G000004-2	-0.111	9171	8876	2547	291	303	115	52	420	9880	9768	2963	287	294	79	52	420
G000004-3	-0.036	8044	8043	1938	292	303	106	52	340	8231	8470	1977	285	295	101	52	340
G000005-1	-0.002	10996	10946	2162	292	303	100	52	340	10988	10858	2408	272	286	99	52	340
G000005-2	-0.023	10813	11121	2994	304	328	262	52	420	10964	11666	3001	287	295	84	52	420
G000005-3	0.055	10026	9782	2172	296	333	305	52	420	9644	9111	2412	277	292	91	52	420
G000006-1	-0.252	14834	13870	3989	284	323	335	120	714	17591	16486	4188	270	293	244	120	714
G000006-2	-0.05	14244	14226	3555	289	308	128	120	636	14720	14170	3044	271	295	258	120	636
G000006-3	-0.053	14542	13898	4189	285	321	470	120	792	15060	14299	3949	270	286	173	120	792
G000007-1	-0.273	8221	7855	2898	522	2812	6736	52	406	9634	8889	3472	329	872	2189	52	406
G000007-2	1.392	3839	5669	6219	417	1881	5495	120	695	1624	5111	5363	320	711	2237	120	695
!sample_table_end
