^SAMPLE = GSM77551
!Sample_title = 2EP32
!Sample_geo_accession = GSM77551
!Sample_status = Public on Apr 14 2006
!Sample_submission_date = Oct 11 2005
!Sample_last_update_date = Apr 13 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled reference DNA from either 4 healthy males or females of the opposite sex compared to the sample.
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = 635nm
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Isolated tumor DNA, derived from ependymal tumors.
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = 532nm
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Comparison of normal versus tumor DNA (ependymoma). Whole-genome screening of DNA-copy number changes by array-based or matrix comparative genomic hybridization (matrix-CGH).
!Sample_data_processing = Genepix result files
!Sample_platform_id = GPL2920
!Sample_contact_name = Frank,,Mendrzyk
!Sample_contact_email = f.mendrzyk@dkfz.de
!Sample_contact_phone = 49-6221-424676
!Sample_contact_institute = German Cancer Research Center (DKFZ)
!Sample_contact_address =  
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69120
!Sample_contact_country = Germany
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3435
!Sample_data_row_count = 19395
#ID_REF = 
#VALUE = Raw log ratio (Cy5/Cy3).
#CH1_RAW = Raw median signal intensity in Cy5-channel (635nm).
#CH1_MEAN = Raw mean signal intensity in Cy5-channel (635nm).
#CH1_SD = Signal intensity standard deviation in Cy5-channel (635nm).
#CH1_BKD_RAW = Raw median background intensity in Cy5-channel (635nm).
#CH1_BKD_MEAN = Raw mean background intensity in Cy5-channel (635nm).
#CH1_BKD_SD = Background intensity standard deviation in Cy5-channel (635nm).
#CH1_AREA = Signal area in Cy5-channel (635nm).
#CH1_BKD_AREA = Background area in Cy5-channel (635nm).
#CH2_RAW = Raw median signal intensity in Cy3-channel (532nm).
#CH2_MEAN = Raw mean signal intensity in Cy3-channel (532nm).
#CH2_SD = Signal intensity standard deviation in Cy3-channel (532nm).
#CH2_BKD_RAW = Raw median background intensity in Cy3-channel (532nm).
#CH2_BKD_MEAN = Raw mean background intensity in Cy3-channel (532nm).
#CH2_BKD_SD = Background intensity standard deviation in Cy3-channel (532nm).
#CH2_AREA = Signal area in Cy3-channel (532nm).
#CH2_BKD_AREA = Background area in Cy3-channel (532nm).
!sample_table_begin
ID_REF	VALUE	CH1_RAW	CH1_MEAN	CH1_SD	CH1_BKD_RAW	CH1_BKD_MEAN	CH1_BKD_SD	CH1_AREA	CH1_BKD_AREA	CH2_RAW	CH2_MEAN	CH2_SD	CH2_BKD_RAW	CH2_BKD_MEAN	CH2_BKD_SD	CH2_AREA	CH2_BKD_AREA
G000001-1	0.086	3498	3420	1590	426	1150	2924	80	592	3136	3045	1456	242	415	989	80	592
G000001-2	0.026	3481	3499	854	378	495	551	52	420	3269	3410	729	222	237	115	52	420
G000001-3	0.436	2239	2343	1774	461	816	1383	120	860	1560	1868	1405	246	313	364	120	860
G000002-1	0.007	11271	11053	1974	338	348	102	52	420	11098	10738	1851	216	222	61	52	420
G000002-2	0.038	11879	10856	2703	330	342	106	52	420	11467	10299	2917	215	219	62	52	420
G000002-3	0.065	11512	10965	1924	335	344	108	52	420	10910	10731	1571	225	223	61	52	420
G000003-1	0.131	8224	8056	1327	356	362	105	52	340	7403	7398	1248	220	222	61	52	340
G000003-2	0.037	8013	7628	1695	331	344	102	52	420	7710	7290	1444	221	225	54	52	420
G000003-3	0.105	8178	7722	2057	336	350	108	52	420	7516	7139	2031	225	229	58	52	420
G000004-1	0.114	9945	9772	2149	306	320	107	52	414	9116	8733	2254	207	210	57	52	414
G000004-2	0	9734	9352	1647	302	313	99	52	420	9639	9186	1883	208	212	59	52	420
G000004-3	-0.112	9711	9132	2092	299	303	88	52	340	10385	9946	2132	215	221	59	52	340
G000005-1	0.071	10250	10123	2274	302	311	95	52	406	9683	9563	2441	210	209	60	52	406
G000005-2	-0.079	7848	7683	1213	298	305	91	52	414	8181	7978	1275	205	207	59	52	414
G000005-3	0.069	9576	8634	2461	304	315	111	52	420	9049	8720	1836	212	209	55	52	420
G000006-1	0.074	10448	9124	5001	304	316	112	80	505	9855	8413	4823	219	226	67	80	505
G000006-2	0.067	11688	11113	2191	302	308	92	52	420	11087	10166	2684	214	218	57	52	420
G000006-3	-0.125	10343	9859	2406	301	310	95	52	420	11171	10581	3135	220	224	57	52	420
G000007-1	0.286	8339	7944	5673	448	896	1807	120	684	6714	6460	4961	244	338	519	120	684
G000007-2	0.077	8434	7103	3225	371	487	522	80	534	7869	6479	2987	227	244	155	80	534
!sample_table_end
