^SAMPLE = GSM419024
!Sample_title = Blood from colon cancer patient HRCRC-99
!Sample_geo_accession = GSM419024
!Sample_status = Public on Jun 01 2010
!Sample_submission_date = Jun 19 2009
!Sample_last_update_date = Jun 22 2009
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = blood
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = disease state: colon cancer
!Sample_characteristics_ch1 = tissue: blood
!Sample_characteristics_ch1 = histoculture drug response assay: FL = 15
!Sample_characteristics_ch1 = histoculture drug response assay: CAPE = 30
!Sample_characteristics_ch1 = histoculture drug response assay: FLOX = 12
!Sample_characteristics_ch1 = histoculture drug response assay: FLIRI = 13
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = standard Affymetrix protocol
!Sample_label_ch1 = Biotin
!Sample_label_protocol_ch1 = standard Affymetrix protocol
!Sample_hyb_protocol = standard Affymetrix protocol
!Sample_scan_protocol = standard Affymetrix protocol
!Sample_description = Hybridized to SNP 5.0 array
!Sample_data_processing = BRLMM-P algorithm was applied to obtain call and signal intensities
!Sample_platform_id = GPL6804
!Sample_contact_name = Seon-Young,,Kim
!Sample_contact_email = kimsy@kribb.re.kr
!Sample_contact_phone = 82-42-879-8116
!Sample_contact_laboratory = Human Genomics
!Sample_contact_department = Genome Research Center
!Sample_contact_institute = Korea Research Institute of Bioscience and Biotechnology
!Sample_contact_address = 52 Eoeun-dong, Yuseong-gu
!Sample_contact_city = Daejon
!Sample_contact_zip/postal_code = 305333
!Sample_contact_country = South Korea
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM419nnn/GSM419024/suppl/GSM419024_HRCRC-99.CEL.gz
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM419nnn/GSM419024/suppl/GSM419024_HRCRC-99.brlmm-p.chp.gz
!Sample_series_id = GSE16718
!Sample_data_row_count = 443816
#ID_REF = PROBE SET NAME
#VALUE = SNP genotype call
#CONFIDENCE = 
#FORCED CALL = 
#CONTRAST = 
#STRENGTH = 
!sample_table_begin
ID_REF	VALUE	CONFIDENCE	FORCED CALL	CONTRAST	STRENGTH
SNP_A-1780520	BB	0.000000	BB	-0.727487	10.397420
SNP_A-1780618	BB	0.000000	BB	-0.720246	10.422622
SNP_A-1780632	AA	0.000000	AA	0.780640	10.903182
SNP_A-1780654	AA	0.000000	AA	0.838758	11.510312
SNP_A-4192495	BB	0.000000	BB	-0.842956	11.873104
SNP_A-4192498	BB	0.000000	BB	-0.783220	11.047412
SNP_A-1780732	AA	0.000000	AA	0.633516	10.657245
SNP_A-1780848	AA	0.000000	AA	0.796725	10.529966
SNP_A-1780985	BB	0.000000	BB	-0.658846	10.141209
SNP_A-1781076	AB	0.000000	AB	-0.207422	10.538025
SNP_A-1781249	AA	0.000000	AA	0.672062	12.025971
SNP_A-1781276	AA	0.000000	AA	0.463553	10.710494
SNP_A-1781302	BB	0.000000	BB	-0.740233	10.809265
SNP_A-1781510	AB	0.000008	AB	0.566595	10.773189
SNP_A-4192564	BB	0.000000	BB	-0.666325	10.700891
SNP_A-1781614	AB	0.000000	AB	0.215867	10.665545
SNP_A-1781764	AB	0.000000	AB	0.099858	12.708116
SNP_A-1781829	AA	0.000000	AA	0.652803	11.781166
SNP_A-1782155	AA	0.000000	AA	0.588980	10.362478
SNP_A-1782305	BB	0.000000	BB	-0.650845	11.386051
!sample_table_end
