^SAMPLE = GSM40970
!Sample_title = 2M18 Cy3
!Sample_geo_accession = GSM40970
!Sample_status = Public on Nov 30 2005
!Sample_submission_date = Feb 03 2005
!Sample_last_update_date = Oct 06 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Pooled reference DNA from either 4 healthy males or females of the opposite sex compared to the sample.
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = Isolated tumor DNA, derived from cerebellar medulloblastoma.
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = Comparison of normal versus tumor DNA (medulloblastoma). Whole-genome screening of DNA-copy number changes by array-based or matrix comparative genomic hybridization (matrix-CGH). Every experiment was performed as dye-swap.
!Sample_platform_id = GPL1432
!Sample_contact_name = Frank,,Mendrzyk
!Sample_contact_email = f.mendrzyk@dkfz.de
!Sample_contact_phone = 49-6221-424676
!Sample_contact_institute = German Cancer Research Center (DKFZ)
!Sample_contact_address =  
!Sample_contact_city = Heidelberg
!Sample_contact_zip/postal_code = 69120
!Sample_contact_country = Germany
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2139
!Sample_data_row_count = 19311
#ID_REF =  
#Block = In which block a single spot is localized. The block count starts from the left top to the right hand side and ends at the right bottom of the slide.
#Column = In which column a single spot is localized. The count starts from the left top downwards and ends at the right bottom of a single block (Y-direction).
#Row = In which row a single spot is localized. The count starts from the left top to the right hand side and ends at the right bottom of a single block (X-direction).
#VALUE = Raw log ratio (Cy5/Cy3).
#CH1_RAW = Raw median signal intensity in Cy5-channel (635nm).
#CH1_MEAN = Raw mean signal intensity in Cy5-channel (635nm).
#CH1_SD = Signal intensity standard deviation in Cy5-channel (635nm).
#CH1_BKD_RAW = Raw median background intensity in Cy5-channel (635nm).
#CH1_BKD_MEAN = Raw mean background intensity in Cy5-channel (635nm).
#CH1_BKD_SD = Background intensity standard deviation in Cy5-channel (635nm).
#CH1_AREA = Signal area in Cy5-channel (635nm).
#CH1_BKD_AREA = Background area in Cy5-channel (635nm).
#CH2_RAW = Raw median signal intensity in Cy3-channel (532nm).
#CH2_MEAN = Raw mean signal intensity in Cy3-channel (532nm).
#CH2_SD = Signal intensity standard deviation in Cy3-channel (532nm).
#CH2_BKD_RAW = Raw median background intensity in Cy3-channel (532nm).
#CH2_BKD_MEAN = Raw mean background intensity in Cy3-channel (532nm).
#CH2_BKD_SD = Background intensity standard deviation in Cy3-channel (532nm).
#CH2_AREA = Signal area in Cy3-channel (532nm).
#CH2_BKD_AREA = Background area in Cy3-channel (532nm).
!sample_table_begin
ID_REF	Block	Column	Row	VALUE	CH1_RAW	CH1_MEAN	CH1_SD	CH1_BKD_RAW	CH1_BKD_MEAN	CH1_BKD_SD	CH1_AREA	CH1_BKD_AREA	CH2_RAW	CH2_MEAN	CH2_SD	CH2_BKD_RAW	CH2_BKD_MEAN	CH2_BKD_SD	CH2_AREA	CH2_BKD_AREA
G000001-1	4	19	1	0.345	3375	3019	1114	163	170	68	52	340	2637	2394	862	109	113	29	52	340
G000001-2	4	20	1	0.364	3370	2988	1130	167	171	52	52	340	2595	2395	832	107	109	27	52	340
G000001-3	4	21	1	0.31	3460	3433	710	162	173	80	32	236	2769	2677	652	108	116	66	32	236
G000002-1	12	19	1	0.098	12667	11872	2843	205	212	61	52	420	11774	10798	3051	132	136	36	52	420
G000002-2	12	20	1	0.106	11902	11900	1626	201	207	69	52	420	11004	11142	1813	130	131	33	52	420
G000002-3	12	21	1	0.048	12069	12164	1961	202	209	69	52	420	11606	11299	2252	128	129	37	52	420
G000003-1	20	19	1	0.078	8054	7220	2284	273	283	73	52	340	7542	6901	2143	170	173	40	52	340
G000003-2	20	20	1	0.094	7276	6908	2125	266	272	76	52	420	6723	6384	2281	156	161	44	52	420
G000003-3	20	21	1	0.074	7083	6600	2303	253	280	256	52	420	6626	6012	2015	139	142	35	52	420
G000004-1	28	19	1	0.111	13389	12873	2701	309	312	74	52	420	12287	11397	2807	177	181	42	52	420
G000004-2	28	20	1	0.204	13492	12858	2384	292	296	69	52	420	11624	11394	1883	166	168	38	52	420
G000004-3	28	21	1	0.214	12512	11877	3189	292	298	70	52	340	10699	10024	2974	160	160	36	52	340
G000005-1	36	19	1	0.094	23655	21276	7072	343	355	130	52	420	22045	19492	7167	199	203	53	52	420
G000005-2	36	20	1	0.158	22501	20729	5941	323	328	78	52	340	20068	18649	5783	190	192	48	52	340
G000005-3	36	21	1	0.15	22154	19850	5370	312	324	125	52	340	19860	17544	5277	170	173	44	52	340
G000006-1	44	19	1	0.027	13797	12819	3525	331	344	119	52	420	13403	12342	3699	190	197	56	52	420
G000006-2	44	20	1	0.034	13596	12769	3903	321	335	88	52	420	13146	11926	3995	184	189	45	52	420
G000006-3	44	21	1	0.038	12843	12890	3265	313	319	78	52	420	12378	12307	3009	176	178	43	52	420
G000007-1	4	16	1	0.122	7759	7209	2275	162	174	99	52	420	7094	6555	1984	111	116	40	52	420
G000007-2	4	17	1	0.139	7701	7166	1991	165	169	51	52	420	6954	6521	1717	111	111	29	52	420
!sample_table_end
