^SAMPLE = GSM156960
!Sample_title = PMBCL9
!Sample_geo_accession = GSM156960
!Sample_status = Public on Aug 15 2007
!Sample_submission_date = Jan 18 2007
!Sample_last_update_date = Aug 15 2007
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = PMBCL9
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = PMBCL tumor DNA
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cyanine 3
!Sample_label_protocol_ch1 = Random prime reaction
!Sample_source_name_ch2 = Male pooled genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Male pooled genomic reference DNA
!Sample_biomaterial_provider_ch2 = Novagen
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cyanine 5
!Sample_label_protocol_ch2 = Random prime reaction
!Sample_hyb_protocol = Hybridization solution: 80% DIG-easy, 10% sheared herring sperm DNA, 10% yeast tRNA.  Probe was blocked using 100ug human CoT-1 DNA and hybridized to the slide at 45C for ~36 hours under a 24x60mm coverslip in a hybrization cassette.  Wash: 4X 0.1% SDS/0.1X SSC at 45C.  Rinse: 4X 0.1X SSC, room temp.  Dried with an oil-free air stream.
!Sample_scan_protocol = Scanned at 10um resolution on a Applied Precision Instruments AutoE CCD-based scanner.
!Sample_description = tumor DNA (cy3) hybridized against normal male pooled reference DNA (cy5)
!Sample_data_processing = Data was obtained from the scanned image files generated using SoftWoRx Tracker software from Applied Precision.  Obtained data was normalized using a three-step normalization procedure; (Khojasteh et al BMC Bioinformatics 2005;6:274).  
!Sample_platform_id = GPL2735
!Sample_contact_name = Lindsey,,Kimm
!Sample_contact_email = lkimm@bccrc.ca
!Sample_contact_laboratory = Wan Lam Lab
!Sample_contact_department = Cancer Genetics
!Sample_contact_institute = BC Cancer Research Centre
!Sample_contact_address = 675 W10th Ave
!Sample_contact_city = Vancouver
!Sample_contact_state = British Columbia
!Sample_contact_zip/postal_code = V5Z 1L3
!Sample_contact_country = Canada
!Sample_supplementary_file = NONE
!Sample_series_id = GSE7383
!Sample_data_row_count = 98208
#ID_REF = 
#Spot Mean Intensity (Cy3) = Mean spot pixel intensity - cy3 channel
#Spot Mean Intensity (Cy5) = mean spot pixel intensity - cy5 channel
#Background Median Intensity (Cy3) = median background pixel intensity - cy3 channel
#Background Median Intensity (Cy5) = median background pixel intensity - cy5 channel
#Spot Normalized Intensity (Cy3) = spot mean with background subtracted - cy3 channel
#Spot Normalized Intensity (Cy5) = spot mean with background subtracted - cy5 channel
#Spot SNR (Cy3) = signal to noise ratio - cy3 channel
#Spot SNR (Cy5) = signal to noise ratio - cy5 channel
#Spot Ratio (Cy3) = Cy3/Cy5 ratio
#Spot Ratio (Cy5) = Cy5/Cy3 ratio
#Spot Log2 Ratio (Cy3) = Log2 ratio (Cy3/Cy5) - global mean set to 0
#VALUE = normalized log2 ratio (Cy3/Cy5)
!sample_table_begin
ID_REF	Spot Mean Intensity (Cy3)	Spot Mean Intensity (Cy5)	Background Median Intensity (Cy3)	Background Median Intensity (Cy5)	Spot Normalized Intensity (Cy3)	Spot Normalized Intensity (Cy5)	Spot SNR (Cy3)	Spot SNR (Cy5)	Spot Ratio (Cy3)	Spot Ratio (Cy5)	Spot Log2 Ratio (Cy3)	VALUE
1	1512.626	2454.024	882.5	1871	630.126	583.024	12.17201	14.88152	0.8844883	1.130578	-0.177085	-0.079261053
2	1243.867	2239.855	837	1861	406.867	378.855	15.3876	12.76131	0.8788815	1.13779	-0.1862595	-0.096912296
3	1318.718	2312.376	812	1832.5	506.718	479.876	14.86341	12.32633	0.8641468	1.157191	-0.2106517	-0.121427174
4	1416.558	2382.163	801	1816	615.558	566.163	19.71447	15.57291	0.8897718	1.123865	-0.1684927	-0.082565599
5	2178.798	3078.524	809	1831	1369.798	1247.524	53.9494	33.865	0.8985835	1.112844	-0.1542755	-0.063693528
6	1200.965	2211.767	801	1840	399.965	371.767	13.61832	10.99565	0.8804441	1.135771	-0.1836967	-0.096445161
7	1228.302	2264.593	796	1836	432.302	428.593	13.32578	13.1705	0.8254551	1.211432	-0.2767383	-0.185580179
8	1344.333	2330.798	799	1847	545.333	483.798	17.12664	16.4084	0.9224637	1.084035	-0.1164359	-0.0239573
9	1346.024	2351.554	800.5	1847	545.524	504.554	18.6795	17.55078	0.8848243	1.130149	-0.1765372	-0.083741222
10	1425.122	2419.512	784.5	1841	640.622	578.512	21.59905	15.91372	0.9062338	1.103449	-0.1420449	-0.053030982
11	1601.783	2571.952	771	1822	830.783	749.952	35.5849	19.0224	0.9065779	1.10303	-0.141497	-0.048596227
12	1301.19	2271.536	762	1810	539.19	461.536	21.58223	13.55593	0.956066	1.045935	-0.06481791	0.026768658
13	3137.94	3876.82	765	1822	2372.94	2054.822	94.2525	54.6306	0.9450693	1.058105	-0.08150794	0.0151631
14	1520.289	2525.687	760	1803.5	760.289	722.187	33.678	19.1099	0.8615494	1.16068	-0.2149944	-0.121912236
15	1375.417	2304.917	756	1792	619.417	512.917	23.83099	16.13176	0.9882957	1.011826	-0.01698531	0.078911752
16	1464.964	2480.771	746	1792	718.964	688.771	24.03019	22.07232	0.8542464	1.170602	-0.2272758	-0.125310712
17	1614.024	2592.083	749.5	1801.5	864.524	790.583	1.355	3.30859	0.8949119	1.117409	-0.1601824	-0.056368156
18	1399.523	2396.593	754	1827	645.523	569.593	0.7179503	2.218324	0.9274665	1.078188	-0.108633	0
19	1947.417	2824.214	754	1836	1193.417	988.214	2.394269	11.15487	0.988307	1.011814	-0.01696886	0.081579374
20	1389.241	2360.289	752	1812	637.241	548.289	25.14591	16.12292	0.9511413	1.05135	-0.07226841	0.03190366
!sample_table_end
