^SAMPLE = GSM157142
!Sample_title = PMBCL20
!Sample_geo_accession = GSM157142
!Sample_status = Public on Aug 15 2007
!Sample_submission_date = Jan 19 2007
!Sample_last_update_date = Aug 15 2007
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = PMBCL20
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = PMBCL tumor DNA
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cyanine 3
!Sample_label_protocol_ch1 = Random prime reaction
!Sample_source_name_ch2 = Male pooled genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Male pooled genomic reference DNA
!Sample_biomaterial_provider_ch2 = Novagen
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cyanine 5
!Sample_label_protocol_ch2 = Random prime reaction
!Sample_hyb_protocol = Hybridization solution: 80% DIG-easy, 10% sheared herring sperm DNA, 10% yeast tRNA. Probe was blocked using 100ug human CoT-1 DNA and hybridized to the slide at 45C for ~36 hours under a 24x60mm coverslip in a hybrization cassette. Wash: 4X 0.1% SDS/0.1X SSC at 45C. Rinse: 4X 0.1X SSC, room temp. Dried with an oil-free air stream.
!Sample_scan_protocol = Scanned at 10um resolution on a Applied Precision Instruments AutoE CCD-based scanner.
!Sample_description = tumor DNA (cy3) hybridized against normal male pooled reference DNA (cy5)
!Sample_data_processing = Data was obtained from the scanned image files generated using SoftWoRx Tracker software from Applied Precision. Obtained data was normalized using a three-step normalization procedure; (Khojasteh et al BMC Bioinformatics 2005;6:274). 
!Sample_platform_id = GPL2735
!Sample_contact_name = Lindsey,,Kimm
!Sample_contact_email = lkimm@bccrc.ca
!Sample_contact_laboratory = Wan Lam Lab
!Sample_contact_department = Cancer Genetics
!Sample_contact_institute = BC Cancer Research Centre
!Sample_contact_address = 675 W10th Ave
!Sample_contact_city = Vancouver
!Sample_contact_state = British Columbia
!Sample_contact_zip/postal_code = V5Z 1L3
!Sample_contact_country = Canada
!Sample_supplementary_file = NONE
!Sample_series_id = GSE7383
!Sample_data_row_count = 98208
#ID_REF = 
#Spot Mean Intensity (Cy3) = Mean spot pixel intensity - cy3 channel
#Spot Mean Intensity (Cy5) = mean spot pixel intensity - cy5 channel
#Background Median Intensity (Cy3) = median background pixel intensity - cy3 channel
#Background Median Intensity (Cy5) = median background pixel intensity - cy5 channel
#Spot Normalized Intensity (Cy3) = spot mean with background subtracted - cy3 channel
#Spot Normalized Intensity (Cy5) = spot mean with background subtracted - cy5 channel
#Spot SNR (Cy3) = signal to noise ratio - cy3 channel
#Spot SNR (Cy5) = signal to noise ratio - cy5 channel
#Spot Ratio (Cy3) = Cy3/Cy5 ratio
#Spot Ratio (Cy5) = Cy5/Cy3 ratio
#Spot Log2 Ratio (Cy3) = Log2 ratio (Cy3/Cy5) - global mean set to 0
#VALUE = normalized log2 ratio (Cy3/Cy5)
!sample_table_begin
ID_REF	Spot Mean Intensity (Cy3)	Spot Mean Intensity (Cy5)	Background Median Intensity (Cy3)	Background Median Intensity (Cy5)	Spot Normalized Intensity (Cy3)	Spot Normalized Intensity (Cy5)	Spot SNR (Cy3)	Spot SNR (Cy5)	Spot Ratio (Cy3)	Spot Ratio (Cy5)	Spot Log2 Ratio (Cy3)	VALUE
1	2075.506	3523.59	691.5	2028.5	1384.006	1495.09	56.8879	41.4002	0.9330321	1.071697	-0.1000014	-0.029536718
2	1557.352	2994.08	686	2012	871.352	982.08	33.9988	23.67007	0.8942792	1.118138	-0.1612028	-0.07974632
3	2005.881	3385.65	685	2003.5	1320.881	1382.155	54.0581	37.3862	0.9632367	1.038091	-0.05403773	0.020507725
4	2249.446	3664.07	686	2012	1563.446	1652.072	71.3581	44.2139	0.9538494	1.048307	-0.06816661	-0.002515452
5	1691.292	3058.18	682	2012	1009.292	1046.18	46.3492	31.32075	0.9723814	1.028328	-0.0404059	0.031224374
6	1451.298	2742.964	675.5	2006.5	775.798	736.464	40.7954	22.22862	1.061751	0.9417718	0.0864456	0.164724276
7	1515.602	2909.615	675	2003	840.602	906.615	42.2759	23.87755	0.9345316	1.069977	-0.09768466	-0.01550518
8	1745.566	3090.771	673.5	1997	1072.066	1093.771	46.2951	33.0013	0.9879188	1.012155	-0.01753562	0.058667305
9	1915.711	3322.07	680.5	2007.5	1235.211	1314.572	55.1257	37.5905	0.9470712	1.05581	-0.07845519	-0.004015503
10	1900.571	3286.92	698	2011	1202.571	1275.917	48.5163	35.8629	0.9499802	1.052577	-0.07403065	0.000770904
11	2467.294	3635.69	718	2031	1749.294	1604.694	74.4	41.2562	1.098744	0.9100637	0.1358556	0.210238499
12	1707.897	3088.448	727	2043.5	980.897	1044.948	38.4926	28.37307	0.946138	1.056851	-0.07987753	0.005447722
13	3089.084	4231.86	715.5	2026.5	2373.584	2205.355	95.1235	54.8436	1.084806	0.9217568	0.117437	0.196215825
14	2096.928	3456.04	719	2006.5	1377.928	1449.536	47.2306	40.7121	0.9581277	1.043626	-0.06171009	0.015480743
15	2025.786	3366.81	717	2004	1308.786	1362.81	46.9173	48.5964	0.9679644	1.033021	-0.04697404	0.033862639
16	1958.143	3396.08	722.5	2013	1235.643	1383.083	41.1994	43.706	0.9004729	1.110447	-0.1512452	-0.072916354
17	2153.023	3259.96	724	2008	1429.023	1251.965	61.9319	30.89909	1.150465	0.8691508	0.2022168	0.28463425
18	1354.476	2667.036	735.5	2012	618.976	655.036	17.17253	16.58016	0.9524343	1.049865	-0.07030851	0.024082964
19	1056.202	2317.572	730	2011	326.202	306.5715	4.13654	6.85806	1.072461	0.9323674	0.1009246	0.17941859
20	1526.976	2830.94	731.5	2011.5	795.476	819.44	10.05251	18.00381	0.9784437	1.021957	-0.03143933	0.04663041
!sample_table_end
