^SAMPLE = GSM157143
!Sample_title = K1106
!Sample_geo_accession = GSM157143
!Sample_status = Public on Aug 15 2007
!Sample_submission_date = Jan 19 2007
!Sample_last_update_date = Aug 15 2007
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = K1106
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = PMBCL tumor cell line
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cyanine 3
!Sample_label_protocol_ch1 = Random prime reaction
!Sample_source_name_ch2 = Male pooled genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Male pooled genomic reference DNA
!Sample_biomaterial_provider_ch2 = Novagen
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cyanine 5
!Sample_label_protocol_ch2 = Random prime reaction
!Sample_hyb_protocol = Hybridization solution: 80% DIG-easy, 10% sheared herring sperm DNA, 10% yeast tRNA. Probe was blocked using 100ug human CoT-1 DNA and hybridized to the slide at 45C for ~36 hours under a 24x60mm coverslip in a hybrization cassette. Wash: 4X 0.1% SDS/0.1X SSC at 45C. Rinse: 4X 0.1X SSC, room temp. Dried with an oil-free air stream.
!Sample_scan_protocol = Scanned at 10um resolution on a Applied Precision Instruments AutoE CCD-based scanner.
!Sample_description = tumor DNA (cy3) hybridized against normal male pooled reference DNA (cy5)
!Sample_data_processing = Data was obtained from the scanned image files generated using SoftWoRx Tracker software from Applied Precision. Obtained data was normalized using a three-step normalization procedure; (Khojasteh et al BMC Bioinformatics 2005;6:274). 
!Sample_platform_id = GPL2043
!Sample_contact_name = Lindsey,,Kimm
!Sample_contact_email = lkimm@bccrc.ca
!Sample_contact_laboratory = Wan Lam Lab
!Sample_contact_department = Cancer Genetics
!Sample_contact_institute = BC Cancer Research Centre
!Sample_contact_address = 675 W10th Ave
!Sample_contact_city = Vancouver
!Sample_contact_state = British Columbia
!Sample_contact_zip/postal_code = V5Z 1L3
!Sample_contact_country = Canada
!Sample_supplementary_file = NONE
!Sample_series_id = GSE7383
!Sample_data_row_count = 104544
#ID_REF = 
#Spot Mean Intensity (Cy3) = Mean spot pixel intensity - cy3 channel
#Spot Mean Intensity (Cy5) = mean spot pixel intensity - cy5 channel
#Background Median Intensity (Cy3) = median background pixel intensity - cy3 channel
#Background Median Intensity (Cy5) = median background pixel intensity - cy5 channel
#Spot Normalized Intensity (Cy3) = spot mean with background subtracted - cy3 channel
#Spot Normalized Intensity (Cy5) = spot mean with background subtracted - cy5 channel
#Spot SNR (Cy3) = signal to noise ratio - cy3 channel
#Spot SNR (Cy5) = signal to noise ratio - cy5 channel
#Spot Ratio (Cy3) = Cy3/Cy5 ratio
#Spot Ratio (Cy5) = Cy5/Cy3 ratio
#Spot Log2 Ratio (Cy3) = Log2 ratio (Cy3/Cy5) - global mean set to 0
#VALUE = normalized log2 ratio (Cy3/Cy5)
!sample_table_begin
ID_REF	Spot Mean Intensity (Cy3)	Spot Mean Intensity (Cy5)	Background Median Intensity (Cy3)	Background Median Intensity (Cy5)	Spot Normalized Intensity (Cy3)	Spot Normalized Intensity (Cy5)	Spot SNR (Cy3)	Spot SNR (Cy5)	Spot Ratio (Cy3)	Spot Ratio (Cy5)	Spot Log2 Ratio (Cy3)	VALUE
1	12946.5	12986.83	571	1797	12375.5	11189.83	392.456	209.3656	0.9531631	1.049137	-0.06920492	-0.021198285
2	5737.6	6583.15	579.5	1804	5158.1	4779.15	162.0543	105.776	0.9301814	1.075057	-0.104416	-0.058863542
3	14123.32	13604.46	597	1816	13526.32	11788.46	421.861	297.4731	0.9888952	1.011228	-0.01611036	0.013661719
4	10914.91	10911.32	601	1820.5	10313.91	9090.82	305.1549	194.2703	0.9777958	1.022707	-0.03239482	0.00560295
5	7526.94	9070.86	604	1823	6922.94	7247.86	240.3174	99.7614	0.8232057	1.214761	-0.2806751	-0.245494641
6	13553.32	12078.51	622	1850	12931.32	10228.51	314.9783	113.9843	1.089578	0.9177848	0.1237697	0.13890131
7	14870.06	14591.99	644.5	1868	14225.56	12723.99	339.68	173.3208	0.9635496	1.037827	-0.05356918	-0.052485097
8	7966.33	8495.2	622	1844	7344.33	6651.2	186.1958	131.701	0.9516568	1.050797	-0.07148666	-0.067722535
9	7860.54	8122.73	626.5	1827	7234.04	6295.73	215.125	142.8962	0.9902903	1.009803	-0.01407654	-0.019532539
10	14237.67	11657.77	619	1833.5	13618.67	9824.27	414.939	198.2332	1.19471	0.8370218	0.2566603	0.235128177
11	9173.75	8881.62	615.5	1826.5	8558.25	7055.12	236.6167	164.6265	1.045463	0.956512	0.06414253	0.046261406
12	10252.1	10021.11	603	1812	9649.1	8209.11	298.4924	216.7772	1.013021	0.9871443	0.01866459	-0.003858183
13	11444.5	10673.88	611.5	1810.5	10833	8863.38	308.5136	217.238	1.053362	0.9493401	0.07500056	0.042373312
14	9394	9031.05	614	1811	8780	7220.05	245.5027	167.6897	1.048051	0.9541506	0.06770862	0.041927884
15	11648.55	10661.74	643	1835.5	11005.55	8826.24	240.5539	226.2104	1.074642	0.930541	0.1038558	0.060917533
16	8641.02	6903.04	707	1860	7934.02	5043.04	219.1207	135.7449	1.355905	0.7375132	0.4392565	0.399378009
17	8982.04	8852.86	741	1884	8241.04	6968.86	209.1605	184.4117	1.019174	0.9811851	0.02740027	-0.012920678
18	13818.57	12800.46	736	1891	13082.57	10909.46	286.0678	275.7348	1.033517	0.9675681	0.04756239	-0.00314279
19	7550.96	8182.6	672	1857	6878.96	6325.6	125.0197	113.5631	0.9372367	1.066964	-0.0935146	-0.132956997
20	11574.12	10635.26	609.5	1815	10964.62	8820.26	279.9711	200.3973	1.071372	0.9333807	0.09945995	0.056470982
!sample_table_end
