^SAMPLE = GSM69194
!Sample_title = MDA-MB-231
!Sample_geo_accession = GSM69194
!Sample_status = Public on Feb 17 2006
!Sample_submission_date = Aug 09 2005
!Sample_last_update_date = Feb 17 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = ATCC (HTB-26D)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = ATCC catalogue number: HTB-26D
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy3
!Sample_source_name_ch2 = Pooled female genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Novagen Catalogue Number: 70605-3 
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy5
!Sample_description = pooled female genomic DNA competitively hybridized against MDA-MB-231 cell line genomic DNA
!Sample_data_processing = None
!Sample_platform_id = GPL2735
!Sample_contact_name = Ashleen,,Shadeo
!Sample_contact_email = ashadeo@bccrc.ca
!Sample_contact_institute = British Columbia Cancer Research Center
!Sample_contact_address = 675 west 10th Ave
!Sample_contact_city = Vancouver
!Sample_contact_state = BC
!Sample_contact_zip/postal_code = V6Z 2V9
!Sample_contact_country = Canada
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3106
!Sample_data_row_count = 98208
#ID_REF = 
#Spot Mean Intensity (w595) = average Cy3 intensity
#Spot Mean Intensity (w685) = average Cy5 intensity
#Background Mean Intensity (w595) = average background Cy3 intensity
#Background Mean Intensity (w685) = average background Cy5 intensity
#Spot Normalized Intensity (w595) = 
#Spot Normalized Intensity (w685) = 
#Spot SNR (w595) = 
#Spot SNR (w685) = 
#Spot Ratio (w595) = 
#Spot Ratio (w685) = 
#Spot Log2 Ratio (w595) = 
#VALUE = 
!sample_table_begin
ID_REF	Spot Mean Intensity (w595)	Spot Mean Intensity (w685)	Background Mean Intensity (w595)	Background Mean Intensity (w685)	Spot Normalized Intensity (w595)	Spot Normalized Intensity (w685)	Spot SNR (w595)	Spot SNR (w685)	Spot Ratio (w595)	Spot Ratio (w685)	Spot Log2 Ratio (w595)	VALUE
1	6352.76	5477.41	1126.551	2012.391	5236.76	3466.41	133.2557	91.6316	0.8903753	1.123026	-0.1675146	0.1673918
2	5430.74	4540.14	1149.821	2025.893	4275.74	2520.14	133.198	59.0603	0.9999464	0.9999685	-7.74467E-05	-4.54305E-05
3	8910.25	5231.7	1168.842	2018.596	7739.25	3209.7	194.4341	60.6822	1.421098	0.7036213	0.507006	-0.5071288
4	6512.36	5745.74	1201.032	2039.048	5314.36	3705.74	171.7631	101.7767	0.845212	1.183034	-0.2426148	0.2424919
5	8044.39	4855.88	1214.844	2040.641	6832.39	2814.377	242.2203	74.1093	1.430804	0.6988485	0.5168256	-0.5169485
6	4478.24	3774.26	1189.451	2036.431	3292.24	1735.261	111.2798	52.307	1.118192	0.8942245	0.1611681	-0.161291
7	5952.65	4502.31	1170.681	2028.979	4782.65	2471.306	167.175	67.3877	1.140597	0.8766593	0.1897889	-0.1899117
8	6430.4	4986.52	1151.04	2032.6	5281.9	2950.022	135.7175	86.2655	1.055248	0.9475635	0.07758258	-0.07770546
9	10528.03	4923.18	1136.319	2018.149	9399.03	2901.178	204.2198	73.2059	1.909407	0.5236783	0.9331244	-0.9332472
10	7872.91	4694.82	1105.836	2005.909	6768.91	2688.817	162.8538	74.6468	1.483705	0.6739311	0.5692042	-0.569327
11	9641.71	5490.03	1100.267	2008.4	8539.71	3484.03	209.7668	96.3637	1.444612	0.6921683	0.5306824	-0.5308052
12	5803.62	4344.14	1099.667	2009.349	4706.62	2338.14	129.4151	55.2812	1.186393	0.8428195	0.2465816	-0.2467045
13	8895.51	6157.7	1131.323	2028.597	7764.51	4136.7	185.7393	82.9284	1.106241	0.9038848	0.1456664	-0.1457893
14	4717.44	4220.96	1161.767	2056.167	3558.94	2167.458	104.355	55.3715	0.967743	1.033244	-0.04730411	0.04718124
15	5304.24	4577.27	1174.294	2050.039	4131.24	2528.268	115.1474	86.851	0.9630456	1.038284	-0.05432393	0.05420106
16	8694.17	5668.25	1174.652	2046.326	7519.67	3620.75	220.5644	90.7411	1.224025	0.8169073	0.2916329	-0.2917558
17	6069.24	5008.09	1170.756	2045.022	4901.24	2964.091	145.1468	75.3987	0.9745508	1.026026	-0.03719063	0.03706776
18	6913.42	4497.75	1148.545	2029.127	5765.42	2468.748	147.7728	61.3677	1.376399	0.7264715	0.460899	-0.4610219
19	5530.11	5025.37	1130.113	2021.032	4404.61	3000.869	139.1785	87.3457	0.8650672	1.155881	-0.2091158	0.2089929
20	4637.41	4179.86	1126.089	2011.679	3513.91	2164.355	112.5746	60.8082	0.9568684	1.044987	-0.0636076	0.06348471
!sample_table_end
