^SAMPLE = GSM69196
!Sample_title = T47D
!Sample_geo_accession = GSM69196
!Sample_status = Public on Feb 17 2006
!Sample_submission_date = Aug 09 2005
!Sample_last_update_date = Feb 17 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Breast Cancer Cell LineT47D
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = ATCC: HTB-133D
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy3
!Sample_source_name_ch2 = Pooled female genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Novagen Catalogue Number: 70605-3
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy5
!Sample_description = Competitive hybridization of differentially labeled pooled female genomic DNA and T47D genomic DNA
!Sample_data_processing = None
!Sample_platform_id = GPL2735
!Sample_contact_name = Ashleen,,Shadeo
!Sample_contact_email = ashadeo@bccrc.ca
!Sample_contact_institute = British Columbia Cancer Research Center
!Sample_contact_address = 675 west 10th Ave
!Sample_contact_city = Vancouver
!Sample_contact_state = BC
!Sample_contact_zip/postal_code = V6Z 2V9
!Sample_contact_country = Canada
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3106
!Sample_data_row_count = 98208
#ID_REF = 
#Spot Mean Intensity (w595) = Mean Spot Pixel Intensity - Cy3 channel
#Spot Mean Intensity (w685) = Mean Spot Pixel Intensity - Cy5 channel
#Background Mean Intensity (w595) = Median Background Pixel Intensity - Cy3 channel
#Background Mean Intensity (w685) = Median Background Pixel Intensity - Cy5 channel
#Spot Normalized Intensity (w595) = Spot Mean - Background Median
#Spot Normalized Intensity (w685) = Spot Mean - Background Median
#Spot SNR (w595) = Signal to noise ratio - Cy3
#Spot SNR (w685) = Signal to noise ratio - Cy5
#Spot Ratio (w595) = Cy3/Cy5
#Spot Ratio (w685) = Cy5/Cy3
#Spot Log2 Ratio (w595) = log2(Cy3/Cy5) (global mean set to "0")
#VALUE = log2(Cy5/Cy3) (global mean set to "0")
!sample_table_begin
ID_REF	Spot Mean Intensity (w595)	Spot Mean Intensity (w685)	Background Mean Intensity (w595)	Background Mean Intensity (w685)	Spot Normalized Intensity (w595)	Spot Normalized Intensity (w685)	Spot SNR (w595)	Spot SNR (w685)	Spot Ratio (w595)	Spot Ratio (w685)	Spot Log2 Ratio (w595)	VALUE
1	5559.4	5465.05	1001.958	2079.113	4554.4	3377.05	132.532	58.0931	0.8459648	1.181846	-0.2413305	0.2410425
2	4382.57	3864.05	1041.814	2071.686	3344.57	1791.553	93.5421	27.61232	1.171036	0.8537746	0.2277849	-0.2280729
3	5533.44	4658.3	1068.968	2102.726	4465.94	2556.796	150.3546	51.6808	1.09566	0.9125101	0.1317996	-0.1320875
4	7575.03	5689.21	1084.9	2127.417	6496.53	3565.71	213.9863	89.23	1.142863	0.8748206	0.192653	-0.1929409
5	4322.42	4280.08	1071.132	2125.226	3251.42	2167.081	85.2058	48.0563	0.9411471	1.062321	-0.08750792	0.08721998
6	4390.64	3923.97	1047.852	2112.639	3346.64	1811.969	95.1273	39.9022	1.158555	0.8629721	0.2123263	-0.2126142
7	5096.04	4891	1052.265	2109.633	4045.04	2780	137.7223	71.2784	0.9127184	1.09541	-0.1317582	0.1314703
8	5543.51	4540.45	1060.452	2113.726	4484.51	2424.449	133.1209	47.3367	1.160275	0.8616928	0.2144664	-0.2147544
9	6375.88	4801.09	1055.551	2109.572	5322.88	2686.087	123.5117	47.3833	1.243042	0.8043177	0.3138747	-0.3141626
10	5486.12	5002.43	1058.056	2102.014	4424.12	2903.432	109.9493	51.4478	0.9558148	1.046019	-0.06519689	0.06490894
11	6878.87	5093.45	1070.186	2100.279	5812.87	2988.452	144.3746	51.2288	1.220121	0.8194274	0.2870241	-0.287312
12	6689.44	4292.39	1070.712	2069.423	5621.44	2242.392	121.0869	27.93969	1.572517	0.6357964	0.6530754	-0.6533633
13	8961.11	6502.7	1099.455	2079.864	7858.61	4412.7	142.147	55.9744	1.11712	0.8949801	0.1597846	-0.1600725
14	4876.96	4210.98	1108.719	2121.877	3770.96	2095.979	99.7672	46.4897	1.128557	0.8859101	0.1744799	-0.1747678
15	5562.58	4696.3	1092.094	2138.813	4470.58	2555.802	136.4853	45.0741	1.097225	0.9112079	0.13386	-0.1341479
16	7066.46	5268.08	1096.439	2143.053	5970.46	3122.081	157.322	47.649	1.199563	0.8334708	0.2625086	-0.2627965
17	4138.83	3662.59	1087.696	2122.232	3051.833	1543.094	77.7447	28.44569	1.240588	0.8059088	0.3110236	-0.3113115
18	5940.22	4340.93	1090.836	2114.255	4849.22	2225.933	106.3054	46.2573	1.366528	0.7316354	0.4505153	-0.4508033
19	5089.84	4728.49	1084.38	2111.94	4002.84	2615.485	98.1645	78.512	0.9600091	1.041449	-0.05887998	0.05859205
20	4640.6	4561.6	1070.615	2087.585	3582.6	2484.602	59.2616	26.93933	0.9044834	1.105383	-0.1448339	0.144546
!sample_table_end
