^SAMPLE = GSM69198
!Sample_title = BT-474
!Sample_geo_accession = GSM69198
!Sample_status = Public on Feb 17 2006
!Sample_submission_date = Aug 09 2005
!Sample_last_update_date = Feb 17 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = ATCC:HTB-20D 
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = ATCC:HTB-20D 
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Novagen Catalogue Number: 70605-3
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Novagen Catalogue Number: 70605-3
!Sample_characteristics_ch2 = Pooled female genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Competitive hybridization of differentially labeled pooled female genomic DNA and BT-474 genomic DNA
!Sample_data_processing = None
!Sample_platform_id = GPL2043
!Sample_contact_name = Ashleen,,Shadeo
!Sample_contact_email = ashadeo@bccrc.ca
!Sample_contact_institute = British Columbia Cancer Research Center
!Sample_contact_address = 675 west 10th Ave
!Sample_contact_city = Vancouver
!Sample_contact_state = BC
!Sample_contact_zip/postal_code = V6Z 2V9
!Sample_contact_country = Canada
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3106
!Sample_data_row_count = 104544
#ID_REF = 
#Spot Mean Intensity (w595) = Mean Spot Pixel Intensity - Cy3 channel
#Spot Mean Intensity (w685) = Mean Spot Pixel Intensity - Cy5 channel
#Background Mean Intensity (w595) = Median Background Pixel Intensity - Cy3 channel
#Background Mean Intensity (w685) = Median Background Pixel Intensity - Cy5 channel
#Spot Normalized Intensity (w595) = Spot Mean - Background Median
#Spot Normalized Intensity (w685) = Spot Mean - Background Median
#Spot SNR (w595) = Signal to noise ratio - Cy3
#Spot SNR (w685) = Signal to noise ratio - Cy5
#Spot Ratio (w595) = Cy3/Cy5
#Spot Ratio (w685) = Cy5/Cy3
#Spot Log2 Ratio (w595) = log2(Cy3/Cy5) (global mean set to "0")
#VALUE = log2(Cy5/Cy3) (global mean set to "0")
!sample_table_begin
ID_REF	Spot Mean Intensity (w595)	Spot Mean Intensity (w685)	Background Mean Intensity (w595)	Background Mean Intensity (w685)	Spot Normalized Intensity (w595)	Spot Normalized Intensity (w685)	Spot SNR (w595)	Spot SNR (w685)	Spot Ratio (w595)	Spot Ratio (w685)	Spot Log2 Ratio (w595)	VALUE
1	6532.11	4424.43	1213.486	3054.284	5322.61	1375.933	105.1944	18.82933	1.485879	0.6728891	0.5713168	-0.5715595
2	4555.33	3738.23	1178.218	2911.382	3381.33	832.227	80.4711	14.34783	1.560636	0.6406567	0.642134	-0.6423767
3	6732.11	4441.86	1173	2855.907	5561.11	1585.858	143.913	40.5357	1.346955	0.7422901	0.4297022	-0.4299448
4	5664.79	3998.21	1157.944	2827.556	4508.79	1168.21	125.0802	29.36081	1.482501	0.6744224	0.5680329	-0.5682756
5	4464.62	3648.08	1145.232	2803.512	3321.12	844.079	90.4529	21.4395	1.511324	0.6615604	0.5958127	-0.5960554
6	6571.81	4062.15	1162.886	2796.455	5412.81	1265.147	122.3841	34.5219	1.643379	0.6084	0.7166653	-0.716908
7	6192.36	4251.25	1149.05	2804.75	5048.86	1440.245	137.9895	45.5618	1.34652	0.7425304	0.4292354	-0.429478
8	5067.73	4144.26	1149.019	2809.759	3923.73	1339.762	116.3233	15.03021	1.124934	0.8887911	0.1698409	-0.1700836
9	5154.18	4191.23	1144.945	2815.854	4006.18	1389.229	117.5063	15.29949	1.107675	0.90264	0.1475347	-0.1477774
10	5526.49	5169.31	1145.095	2808.714	4384.49	2355.308	112.2553	55.3725	0.7150354	1.398297	-0.4839135	0.4836708
11	4916.44	3999.08	1143.145	2827.113	3778.94	1193.583	75.6786	12.21263	1.21611	0.8221554	0.2822744	-0.282517
12	6373.06	4465.22	1150.592	2810.204	5224.06	1661.222	115.4367	36.2408	1.207915	0.8277333	0.2725195	-0.2727621
13	6811.69	4530.55	1177.469	2789.094	5633.69	1741.546	180.5802	43.9708	1.242551	0.8046604	0.3133053	-0.3135479
14	5707.37	4177.16	1181	2788.529	4533.37	1388.158	130.1402	36.0896	1.254405	0.7970564	0.3270036	-0.3272463
15	6460.22	5471.84	1185.483	2782.283	5277.22	2688.343	139.2138	79.3551	0.7540084	1.326022	-0.4073474	0.4071048
16	5213.02	3772.33	1154.7	2776.3	4062.52	1000.333	113.0015	25.31888	1.559936	0.640944	0.6414871	-0.6417298
17	6111.11	3920.11	1175.575	2788.75	4935.11	1120.613	111.0678	28.38949	1.691599	0.5910572	0.7583876	-0.7586303
18	8002.03	5242.04	1168.152	2783.391	6843.03	2462.039	166.6987	67.4696	1.067602	0.9365208	0.09437443	-0.09461711
19	4302.97	3882.43	1170.362	2803.723	3133.968	1094.432	72.1569	10.48669	1.099922	0.9090022	0.1374016	-0.1376443
20	6161.48	4231.48	1163.581	2812.323	5001.48	1425.984	108.7364	34.6062	1.347226	0.7421414	0.4299914	-0.430234
!sample_table_end
