^SAMPLE = GSM69197
!Sample_title = UACC-893
!Sample_geo_accession = GSM69197
!Sample_status = Public on Feb 17 2006
!Sample_submission_date = Aug 09 2005
!Sample_last_update_date = Feb 17 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = ATCC UACC-893
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = ATCC: CRL-1902D
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Novagen 70605-3
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Novagen Catalogue Number: 70605-3
!Sample_characteristics_ch2 = Pooled female genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy5
!Sample_description = Competitive hybridization of differentially labeled pooled female genomic DNA and UACC-893 genomic DNA
!Sample_data_processing = None
!Sample_platform_id = GPL2735
!Sample_contact_name = Ashleen,,Shadeo
!Sample_contact_email = ashadeo@bccrc.ca
!Sample_contact_institute = British Columbia Cancer Research Center
!Sample_contact_address = 675 west 10th Ave
!Sample_contact_city = Vancouver
!Sample_contact_state = BC
!Sample_contact_zip/postal_code = V6Z 2V9
!Sample_contact_country = Canada
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3106
!Sample_data_row_count = 98208
#ID_REF = 
#Spot Mean Intensity (w595) = Mean Spot Pixel Intensity - Cy3 channel
#Spot Mean Intensity (w685) = Mean Spot Pixel Intensity - Cy5 channel
#Background Mean Intensity (w595) = Median Background Pixel Intensity - Cy3 channel
#Background Mean Intensity (w685) = Median Background Pixel Intensity - Cy5 channel
#Spot Normalized Intensity (w595) = Spot Mean - Background Median
#Spot Normalized Intensity (w685) = Spot Mean - Background Median
#Spot SNR (w595) = Signal to noise ratio - Cy3
#Spot SNR (w685) = Signal to noise ratio - Cy5
#Spot Ratio (w595) = Cy3/Cy5
#Spot Ratio (w685) = Cy5/Cy3
#Spot Log2 Ratio (w595) = log2(Cy3/Cy5) (global mean set to "0")
#VALUE = log2(Cy5/Cy3) (global mean set to "0")
!sample_table_begin
ID_REF	Spot Mean Intensity (w595)	Spot Mean Intensity (w685)	Background Mean Intensity (w595)	Background Mean Intensity (w685)	Spot Normalized Intensity (w595)	Spot Normalized Intensity (w685)	Spot SNR (w595)	Spot SNR (w685)	Spot Ratio (w595)	Spot Ratio (w685)	Spot Log2 Ratio (w595)	VALUE
1	8127.21	5379.43	948.203	2061.875	7185.71	3317.93	171.5237	106.6504	0.9432512	1.060045	-0.08428602	0.08412513
2	5107.5	3649.38	949.698	2072.86	4160.5	1574.381	179.7134	40.7259	1.150963	0.868741	0.2028411	-0.203002
3	6265.82	5091.22	968.151	2080.879	5298.82	3010.217	152.3676	77.0131	0.7666659	1.304204	-0.3833302	0.3831693
4	4415.31	3912.48	950.553	2050.447	3475.31	1864.479	106.426	61.2235	0.8118213	1.231661	-0.3007658	0.3006049
5	6612.04	4636.18	957.943	2050.566	5660.04	2584.179	171.2775	95.6286	0.9539414	1.048166	-0.06802742	0.06786653
6	4805.8	3858.93	959.458	2063.729	3853.8	1796.928	110.3613	55.8882	0.9340776	1.070456	-0.09838574	0.09822485
7	6210.51	4436.08	960.579	2081.816	5257.51	2350.078	183.6226	76.5724	0.9743681	1.026192	-0.03746109	0.0373002
8	4953.75	3805.65	953.419	2063.194	4006.75	1743.655	163.0341	54.9198	1.000821	0.9990684	0.001183701	-0.001344595
9	5990.91	4581.24	981.485	2078.364	5006.91	2497.239	182.1523	67.5408	0.8732414	1.145031	-0.1955477	0.1953869
10	6728.04	4800.44	1013.962	2101.115	5722.04	2699.938	219.922	88.3195	0.9230425	1.083253	-0.1155311	0.1153702
11	6929.71	4095.59	1028.769	2102.59	5899.71	1993.59	224.5383	57.5358	1.288902	0.7757678	0.3661423	-0.3663032
12	5334.29	4360.49	1034.564	2091.821	4298.29	2266.487	177.8056	47.984	0.8259768	1.210553	-0.2758269	0.275666
13	9826.1	5622.13	1044.541	2080.378	8792.1	3519.13	204.9763	59.9244	1.088134	0.9189023	0.1218557	-0.1220166
14	3560.78	3138.223	993.867	2075.422	2570.777	1066.223	58.7775	18.98252	1.050125	0.9521611	0.0705616	-0.07072249
15	6153.18	4265.44	993.05	2086.117	5173.18	2188.94	70.197	31.54381	1.029316	0.9714105	0.04168613	-0.04184702
16	8122.66	6340.19	1013.846	2100.885	7133.66	4263.19	84.9515	61.6163	0.7287901	1.371984	-0.4564247	0.4562638
17	6749.62	4135.51	1006.574	2104.638	5760.62	2046.514	101.8127	36.9864	1.225969	0.8155905	0.2939222	-0.2940831
18	6104.59	4995.6	989.625	2098.675	5122.59	2904.598	142.8655	62.6102	0.768119	1.301736	-0.3805982	0.3804373
19	4186.11	3416.07	1000.568	2079.513	3176.11	1336.074	108.2716	38.5309	1.035357	0.9657425	0.05012865	-0.05028955
20	5089.96	3551.4	1000.924	2075.698	4089.96	1480.404	146.5924	44.5311	1.203273	0.8309737	0.2669644	-0.2671253
!sample_table_end
