^SAMPLE = GSM69200
!Sample_title = ZR-75-30
!Sample_geo_accession = GSM69200
!Sample_status = Public on Feb 17 2006
!Sample_submission_date = Aug 09 2005
!Sample_last_update_date = Feb 17 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = ATCC: CRL-1504D
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = ATCC: CRL-1504D
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Novagen Catalogue Number: 70605-3
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Novagen Catalogue Number: 70605-3
!Sample_characteristics_ch2 = Pooled female genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Competitive hybridization of differentially labeled pooled female genomic DNA and ZR-75-30 genomic DNA
!Sample_data_processing = None
!Sample_platform_id = GPL2043
!Sample_contact_name = Ashleen,,Shadeo
!Sample_contact_email = ashadeo@bccrc.ca
!Sample_contact_institute = British Columbia Cancer Research Center
!Sample_contact_address = 675 west 10th Ave
!Sample_contact_city = Vancouver
!Sample_contact_state = BC
!Sample_contact_zip/postal_code = V6Z 2V9
!Sample_contact_country = Canada
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3106
!Sample_data_row_count = 104544
#ID_REF = 
#Spot Mean Intensity (w595) = Mean Spot Pixel Intensity - Cy3 channel
#Spot Mean Intensity (w685) = Mean Spot Pixel Intensity - Cy5 channel
#Background Mean Intensity (w595) = Median Background Pixel Intensity - Cy3 channel
#Background Mean Intensity (w685) = Median Background Pixel Intensity - Cy5 channel
#Spot Normalized Intensity (w595) = Spot Mean - Background Median
#Spot Normalized Intensity (w685) = Spot Mean - Background Median
#Spot SNR (w595) = Signal to noise ratio - Cy3
#Spot SNR (w685) = Signal to noise ratio - Cy5
#Spot Ratio (w595) = Cy3/Cy5
#Spot Ratio (w685) = Cy5/Cy3
#Spot Log2 Ratio (w595) = log2(Cy3/Cy5) (global mean set to "0")
#VALUE = log2(Cy5/Cy3) (global mean set to "0")
!sample_table_begin
ID_REF	Spot Mean Intensity (w595)	Spot Mean Intensity (w685)	Background Mean Intensity (w595)	Background Mean Intensity (w685)	Spot Normalized Intensity (w595)	Spot Normalized Intensity (w685)	Spot SNR (w595)	Spot SNR (w685)	Spot Ratio (w595)	Spot Ratio (w685)	Spot Log2 Ratio (w595)	VALUE
1	8888.79	5653.46	1252.368	2898.579	7639.79	2764.463	169.7032	55.1967	1.380423	0.7243257	0.4651102	-0.4652894
2	7298.81	4993.2	1286.968	2894.774	6004.81	2107.196	125.4384	39.0153	1.42343	0.7024409	0.5093719	-0.5095512
3	10741.09	6551.89	1281.083	2904.389	9459.59	3645.39	284.6437	84.3129	1.296194	0.7713938	0.3742811	-0.3744604
4	10094.46	5282.36	1297.759	2917.517	8807.46	2364.358	136.3371	65.4012	1.860711	0.537362	0.8958544	-0.8960336
5	7557.83	5283.04	1321.938	2922.219	6251.83	2361.538	88.2065	61.8789	1.322372	0.7561228	0.4031284	-0.4033076
6	11286.55	6129.14	1348.813	2913.688	9932.05	3211.14	186.3103	78.9409	1.544976	0.6471789	0.6275841	-0.6277634
7	11052.62	6702.03	1399.323	2937.258	9670.62	3775.03	156.3198	75.8148	1.279604	0.7813949	0.355697	-0.3558763
8	8876.77	7172.51	1368.886	2947.086	7500.77	4222.51	176.5771	85.3538	0.8873127	1.126858	-0.1724854	0.1723062
9	8787.88	6032.89	1341.522	3019.043	7458.88	3027.894	89.2267	40.8891	1.230479	0.8125904	0.2992205	-0.2993998
10	8504.8	6209.58	1353.829	2994.114	7169.8	3212.58	80.0916	54.9597	1.114795	0.8969141	0.156779	-0.1569583
11	8378.32	5944.55	1405.435	2966.652	6988.32	2980.549	98.0429	51.9793	1.171166	0.853744	0.2279453	-0.2281246
12	10259.29	6543.53	1416.265	2950.029	8844.29	3593.03	169.5417	96.2081	1.229544	0.8132086	0.2981232	-0.2983025
13	12335.65	7850.9	1404.452	2954.619	10937.15	4897.4	139.6978	104.0391	1.115526	0.8963264	0.1577246	-0.1579039
14	9876.68	6266.03	1371.649	2945.757	8519.68	3309.03	105.9863	67.3394	1.28607	0.7774659	0.3629692	-0.3631485
15	11004.52	6540.14	1322	2926.703	9685.52	3612.14	275.7011	85.8831	1.339368	0.746528	0.4215524	-0.4217317
16	8566.35	6326.08	1325.174	2923.391	7247.35	3401.08	189.7606	84.9064	1.064398	0.9393812	0.09003816	-0.09021744
17	10039.6	6196.71	1343.909	2923.182	8694.6	3275.21	185.7191	79.0948	1.326026	0.7540393	0.407109	-0.4072883
18	12889.14	8725.84	1314.133	2961.6	11583.14	5771.34	301.9722	114.1141	1.002516	0.9973666	0.00362489	-0.003804177
19	6513.95	5486.23	1393.194	2987.484	5140.95	2502.227	57.0834	47.9513	1.026263	0.974288	0.03740058	-0.03757986
20	9286.63	6983.02	1417.938	3016.188	7893.13	3959.02	71.9377	62.8503	0.9958718	1.004021	-0.005968001	0.005788714
!sample_table_end
