^SAMPLE = GSM197905
!Sample_title = Adenoma component of a progressed adenoma (P16A_s12_b17)
!Sample_geo_accession = GSM197905
!Sample_status = Public on Oct 15 2008
!Sample_submission_date = Jun 05 2007
!Sample_last_update_date = Oct 15 2008
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = colon
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Adenoma component of a progressed adenoma
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = as described in Weiss et al, Mol Pathol. 1999 Oct;52(5):243-51.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = as described by Snijders et al, Nat Genetics, volume 29, p 263-4
!Sample_source_name_ch2 = male Reference DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = A pool of ten normal individuals
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNAzol (Invitrogen) according to manufacturer's protocol
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = as described by Snijders et al, Nat Genetics, volume 29, p 263-4
!Sample_hyb_protocol = as described by Carvalho et al, Cell Oncol. 2006;28(5-6):283-94.
!Sample_scan_protocol = Microarray Scanner G2505B (Agilent Technologies), default settings
!Sample_description = n/a
!Sample_data_processing = Spots were quantified in ImaGene 5.6.1 software using default settings. BAC clones were positioned along the genome according to the July 2003 freeze. After exclusion of flagged spots, the average of the triplicate spots was calculated for each BAC clone and 2log ratios (tumour/normal reference signal) were normalised by subtraction of the mode value of BAC clones on chromosome 1-22. BAC clones with flagged spots were excluded from analysis.
!Sample_platform_id = GPL3442
!Sample_contact_name = Daoud,,Sie
!Sample_contact_email = d.sie@vumc.nl
!Sample_contact_phone = +31 20 4442428
!Sample_contact_laboratory = Microarray Core Facility
!Sample_contact_department = Pathology
!Sample_contact_institute = Vrije Universiteit Medical Center
!Sample_contact_address = De Boelelaan 1117
!Sample_contact_city = Amsterdam
!Sample_contact_zip/postal_code = 1081 HV
!Sample_contact_country = Netherlands
!Sample_supplementary_file = NONE
!Sample_series_id = GSE8067
!Sample_data_row_count = 15528
#ID_REF = 
#Signal Median CH1 = spot signal channel 1 (Cy3)
#Background Median CH1 = background signal of channel 1 (Cy3)
#Signal Median CH2 = spot signal channel 2 (Cy5)
#Background Median CH2 = background signal of channel 1 (Cy5)
#Log2ratio = 
#Flag = A flag to highlight spots that suffer from poor printing and other experimental artefacts (0 acceptable; 1-4 not acceptable)
#VALUE = same as UNF_VALUE but with flagged values removed
#UNF_VALUE = Normalized value of the log2ratio. Flagged features are excluded. Values where also deleted if the each triplicate had a Standard Deviation higher than 0.2.
!sample_table_begin
ID_REF	Signal Median CH1	Background Median CH1	Signal Median CH2	Background Median CH2	Log2ratio	Flag	VALUE	UNF_VALUE
1	13159	605	19783	411	-0.63	0		
2	9662	519.5	12400	411	-0.39	0		
3	9703.5	524.5	13961	417	-0.56	0		
4	22966	492.5	31709	480	-0.47	0	-0.0222	-0.0222
5	24556	394.5	36855.5	391	-0.59	0	-0.0222	-0.0222
6	23464	484	34870.5	416	-0.58	0	-0.0222	-0.0222
7	16176.5	539	24696	383	-0.64	0		
8	15742	648	23796	396.5	-0.63	0		
9	16362	671.5	23842	408	-0.58	0		
10	10367.5	587.5	14128	450	-0.48	0	-0.0254	-0.0254
11	10240	564	13297.5	396	-0.42	0	-0.0254	-0.0254
12	10455.5	559.5	13509	456	-0.4	0	-0.0254	-0.0254
13	14507	564	24198	439	-0.77	0		
14	13962	333	27032.5	398	-0.97	0		
15	15014	315	26536	358.5	-0.83	0		
16	13402.5	295	21246	349	-0.67	0	-0.0254	-0.0254
17	13760.5	279.5	21141	337	-0.63	0	-0.0254	-0.0254
18	12850.5	259.5	20314.5	357	-0.66	0	-0.0254	-0.0254
19	9716	625	12164	389	-0.37	0		
20	9187	560	11187.5	410	-0.32	0		
!sample_table_end
