^SAMPLE = GSM197640
!Sample_title = Caricinoma component of a progressed adenoma (P26C1_s25_b17)
!Sample_geo_accession = GSM197640
!Sample_status = Public on Oct 15 2008
!Sample_submission_date = Jun 04 2007
!Sample_last_update_date = Oct 15 2008
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = colon
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Caricinoma component of a progressed adenoma
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = as described in Weiss et al, Mol Pathol. 1999 Oct;52(5):243-51.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = as described by Snijders et al, Nat Genetics, volume 29, p 263-4
!Sample_source_name_ch2 = female Reference DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = A pool of ten normal individuals
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNAzol (Invitrogen) according to manufacturer's protocol
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = as described by Snijders et al, Nat Genetics, volume 29, p 263-4
!Sample_hyb_protocol = as described by Carvalho et al, Cell Oncol. 2006;28(5-6):283-94.
!Sample_scan_protocol = Microarray Scanner G2505B (Agilent Technologies), default settings
!Sample_description = n/a
!Sample_data_processing = Spots were quantified in ImaGene 5.6.1 software using default settings. BAC clones were positioned along the genome according to the July 2003 freeze. After exclusion of flagged spots, the average of the triplicate spots was calculated for each BAC clone and 2log ratios (tumour/normal reference signal) were normalised by subtraction of the mode value of BAC clones on chromosome 1-22. BAC clones with flagged spots were excluded from analysis.
!Sample_platform_id = GPL3442
!Sample_contact_name = Daoud,,Sie
!Sample_contact_email = d.sie@vumc.nl
!Sample_contact_phone = +31 20 4442428
!Sample_contact_laboratory = Microarray Core Facility
!Sample_contact_department = Pathology
!Sample_contact_institute = Vrije Universiteit Medical Center
!Sample_contact_address = De Boelelaan 1117
!Sample_contact_city = Amsterdam
!Sample_contact_zip/postal_code = 1081 HV
!Sample_contact_country = Netherlands
!Sample_supplementary_file = NONE
!Sample_series_id = GSE8067
!Sample_data_row_count = 15528
#ID_REF = 
#Signal Median CH1 = spot signal channel 1 (Cy3)
#Background Median CH1 = background signal of channel 1 (Cy3)
#Signal Median CH2 = spot signal channel 2 (Cy5)
#Background Median CH2 = background signal of channel 1 (Cy5)
#Log2ratio = 
#Flag = A flag to highlight spots that suffer from poor printing and other experimental artefacts (0 acceptable; 1-4 not acceptable)
#VALUE = same as UNF_VALUE but with flagged values removed
#UNF_VALUE = Normalized value of the log2ratio. Flagged features are excluded. Values where also deleted if the each triplicate had a Standard Deviation higher than 0.2.
!sample_table_begin
ID_REF	Signal Median CH1	Background Median CH1	Signal Median CH2	Background Median CH2	Log2ratio	Flag	VALUE	UNF_VALUE
1	7926.5	398	10624.5	57	-0.49	0		
2	8338	468.5	9992	59.5	-0.34	0		
3	8405.5	365.5	10189	55	-0.33	0		
4	10284.5	389.5	11736	66	-0.24	0	0.1684	0.1684
5	9958.5	468	11281	79	-0.24	0	0.1684	0.1684
6	10309	604	11353	66	-0.22	0	0.1684	0.1684
7	7629	535	9251	56	-0.37	0		
8	7753	547	8783	61	-0.28	0		
9	7860	380	8975.5	74	-0.25	0		
10	4480	546	4966	65	-0.32	0	0.1233	0.1233
11	4356	603	5237	61	-0.46	0	0.1233	0.1233
12	4331.5	562.5	5084	62	-0.41	0	0.1233	0.1233
13	7223	457	8619	73	-0.34	0		
14	7143	382	8325.5	63	-0.29	0		
15	7060.5	363.5	8988.5	68	-0.41	0		
16	5361	326	6881	86.5	-0.43	0	0.1684	0.1684
17	5431.5	347	6845	74	-0.41	0	0.1684	0.1684
18	5379	308	6862	69	-0.42	0	0.1684	0.1684
19	6875	362	9849	63	-0.59	0		
20	7463.5	547	9623	62	-0.47	0		
!sample_table_end
