^SAMPLE = GSM62328
!Sample_title = H1993
!Sample_geo_accession = GSM62328
!Sample_status = Public on Feb 21 2006
!Sample_submission_date = Jun 27 2005
!Sample_last_update_date = Feb 21 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = H1993 adenocarcinoma cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = ATTC catalogue number CRL-5909
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = cy5
!Sample_source_name_ch2 = normal male 
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = NOVAGEN POOLED NORMAL MALE REFERENCE GENOMIC DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = cy3
!Sample_description = cy 5 = sample cy 3= reference
!Sample_data_processing = NONE
!Sample_platform_id = GPL2043
!Sample_contact_name = William,Wallace,Lockwood
!Sample_contact_email = william.lockwood@nih.gov
!Sample_contact_institute = National Human Genome Research Institute
!Sample_contact_address = 50 South Drive
!Sample_contact_city = Bethesda
!Sample_contact_state = MD
!Sample_contact_zip/postal_code = 20892
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2922
!Sample_data_row_count = 104544
#ID_REF = 
#Spot Mean Intensity (w595) = Mean Spot Pixel Intensity - Cy3 channel
#Spot Mean Intensity (w685) = Mean Spot Pixel Intensity - Cy5 channel
#Background Median Intensity (w595) = Median Background Pixel Intensity - Cy3 channel
#Background Median Intensity (w685) = Median Background Pixel Intensity - Cy5 channel
#Spot Normalized Intensity (w595) = Spot Mean - Background Median
#Spot Normalized Intensity (w685) = Spot Mean - Background Median
#Spot SNR (w595) = Signal to noise ratio - Cy3
#Spot SNR (w685) = Signal to noise ratio - Cy5
#Spot Ratio (w595) = Cy3/Cy5
#Spot Ratio (w685) = Cy3/Cy5
#Spot Log2 Ratio (w595) = log2(Cy3/Cy5) (global mean set to "0")
#VALUE = log2(Cy5/Cy3) (global mean set to "0")
!sample_table_begin
ID_REF	Spot Mean Intensity (w595)	Spot Mean Intensity (w685)	Background Median Intensity (w595)	Background Median Intensity (w685)	Spot Normalized Intensity (w595)	Spot Normalized Intensity (w685)	Spot SNR (w595)	Spot SNR (w685)	Spot Ratio (w595)	Spot Ratio (w685)	Spot Log2 Ratio (w595)	VALUE
1	22845.8	12383.91	1210	2513	21635.8	9870.91	424.081	191.8878	1.013892	0.9862962	0.01990417	-0.01990709
2	18133.22	8657.14	1283	2527	16850.22	6130.14	277.4691	137.271	1.271484	0.786481	0.3465133	-0.3465162
3	25891.17	14144.67	1310.5	2510.5	24580.67	11634.17	399.241	239.3462	0.9773142	1.02321	-0.0331057	0.03310278
4	26047.63	14054.25	1291.5	2484	24756.13	11570.25	384.706	241.8393	0.9897282	1.010376	-0.01489565	0.01489273
5	18841.28	9516.54	1273	2469	17568.28	7047.54	260.3374	134.9755	1.153103	0.8672236	0.2055213	-0.2055242
6	25352.47	9958.58	1324	2467	24028.47	7491.58	353.973	164.2288	1.483641	0.674016	0.5691424	-0.5691453
7	28516.17	17019.66	1333	2478	27183.17	14541.66	390.152	278.8403	0.8646933	1.156477	-0.2097395	0.2097366
8	20344.14	12999.6	1330	2502	19014.14	10497.6	275.8271	190.5236	0.8378432	1.193538	-0.2552477	0.2552448
9	22606.99	11323.98	1319	2492	21287.99	8831.98	327.417	180.7594	1.114944	0.8969046	0.1569706	-0.1569736
10	26698.89	23190.07	1365	2522	25333.89	20668.07	143.2512	187.3879	0.5669934	1.763685	-0.8185961	0.8185932
11	24009.05	9469	1321.5	2504	22687.55	6965	224.0053	84.3932	1.506755	0.6636767	0.5914447	-0.5914475
12	22180.12	9101.06	1302	2521.5	20878.12	6579.56	163.2195	90.7953	1.467813	0.6812845	0.5536678	-0.5536707
13	28633.94	12615.73	1360	2537.5	27273.94	10078.23	83.8399	67.4868	1.251814	0.7988394	0.3240197	-0.3240226
14	20278.54	11861.06	1791	2690	18487.54	9171.06	68.3655	68.5776	0.9324716	1.072417	-0.1008683	0.1008654
15	26617	15150.24	1818	2696	24799	12454.24	114.8823	101.4326	0.9210706	1.085691	-0.1186164	0.1186135
16	14515.9	11999.94	1503	2544.5	13012.9	9455.44	65.4406	88.6726	0.6366024	1.570836	-0.6515356	0.6515327
17	21419.49	10768.78	1536	2526	19883.49	8242.78	140.5189	108.081	1.115822	0.8961984	0.1581071	-0.15811
18	34868.6	19946.89		2537	33359.6	17409.89	234.9144	223.4851	0.8863423	1.12823	-0.1740641	0.1740612
19	15889.96	8300.27	1601	2606	14288.96	5694.27	52.032	45.6083	1.160751	0.8615099	0.215058	-0.2150609
20	29544.52	15020.99	1640	2629.5	27904.52	12391.49	95.6643	84.9457	1.041663	0.9600016	0.05888835	-0.05889127
!sample_table_end
