^SAMPLE = GSM62967
!Sample_title = H157
!Sample_geo_accession = GSM62967
!Sample_status = Public on Feb 21 2006
!Sample_submission_date = Jul 04 2005
!Sample_last_update_date = Feb 21 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Squamous Cell Carcinoma Cell Line H157
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Squamous Cell Carcinoma Cell Line H157
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cyanine 5
!Sample_source_name_ch2 = male genomic
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = NOVAGEN POOLED MALE REFERENCE GENOMIC DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = cyanine 3
!Sample_description = cyanine 5 = sample
!Sample_description = cyanine 3 = reference
!Sample_data_processing = N/A
!Sample_platform_id = GPL2043
!Sample_contact_name = William,Wallace,Lockwood
!Sample_contact_email = william.lockwood@nih.gov
!Sample_contact_institute = National Human Genome Research Institute
!Sample_contact_address = 50 South Drive
!Sample_contact_city = Bethesda
!Sample_contact_state = MD
!Sample_contact_zip/postal_code = 20892
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2922
!Sample_data_row_count = 104544
#ID_REF = 
#Spot Mean Intensity (W595) = Mean Spot Pixel Intensity - Cy3 channel
#Spot Mean Intensity (W685) = Mean Spot Pixel Intensity - Cy5 channel
#Background Median Intensity (W595) = Median Background Pixel Intensity - Cy3 channel
#Background Median Intensity (W685) = Median Background Pixel Intensity - Cy5 channel
#Spot Normalized Intensity (W595) = Spot Mean - Background Median
#Spot Normalized Intensity (W685) = Spot Mean - Background Median
#Spot SNR (W595) = Signal to noise ratio - Cy3
#Spot SNR (W685) = Signal to noise ratio - Cy5
#Spot Ratio (W595) = Cy3/Cy5
#Spot Ratio (W685) = Cy5/Cy3
#Spot Log2 Ratio (W595) = log2(Cy3/Cy5) (global mean set to "0")
#VALUE = log2(Cy5/Cy3) (global mean set to "0")
!sample_table_begin
ID_REF	Spot Mean Intensity (W595)	Spot Mean Intensity (W685)	Background Median Intensity (W595)	Background Median Intensity (W685)	Spot Normalized Intensity (W595)	Spot Normalized Intensity (W685)	Spot SNR (W595)	Spot SNR (W685)	Spot Ratio (W595)	Spot Ratio (W685)	Spot Log2 Ratio (W595)	VALUE
1	11315.96	6562.13	1125.5	2411.5	10190.46	4150.63	121.7337	100.5497	0.9171381	1.090338	-0.1247892	0.1247761
2	8106.8	4248.41	1174	2416	6932.8	1832.415	73.4421	42.8315	1.41332	0.7075475	0.4990881	-0.4991012
3	10531.24	6719.51	1162.5	2427	9368.74	4292.51	100.9289	97.2818	0.8153144	1.22651	-0.2945717	0.2945586
4	10733.07	6058.04	1202	2454	9531.07	3604.04	106.5166	70.224	0.9878883	1.012251	-0.0175801	0.01756701
5	7386.74	4757.17	1159	2439	6227.74	2318.171	82.5319	47.9679	1.003554	0.99645	0.005117584	-0.005130674
6	11404.91	7001.31	1202	2452	10202.91	4549.31	166.4957	149.7106	0.8377879	1.193609	-0.255343	0.2553299
7	11796.43	6241.8	1200.5	2439	10595.93	3802.8	146.045	114.0306	1.040857	0.9607381	0.05777173	-0.05778482
8	7706.94	4763.32	1176	2426.5	6530.94	2336.817	66.3882	62.622	1.044014	0.9578332	0.06214063	-0.06215372
9	8435.92	5174.82	1216.5	2456	7219.42	2718.817	86.2585	68.8602	0.9919215	1.008135	-0.01170213	0.01168904
10	8831.01	7137.19	1233	2474	7598.01	4663.19	119.0046	84.2663	0.6086559	1.64295	-0.7163013	0.7162882
11	8655.94	5797.84	1212.5	2477	7443.44	3320.84	123.6067	60.5029	0.8372995	1.194305	-0.2561845	0.2561714
12	9446.33	5594.61	1222	2471	8224.33	3123.614	85.3918	67.8003	0.9835538	1.016712	-0.02392418	0.02391109
13	10561.73	4882.35	1237	2482	9324.73	2400.354	86.7861	53.5239	1.451164	0.6890959	0.5372102	-0.5372232
14	8698.7	5415.66	1288	2482	7410.7	2933.663	72.4592	64.2396	0.9436355	1.059722	-0.08369846	0.08368538
15	10298.12	5993.65	1243	2470	9055.12	3523.65	145.4862	85.0735	0.959969	1.041691	-0.05894024	0.05892715
16	7727.85	4998.01	1241	2447	6486.85	2551.012	105.3942	63.9338	0.9498976	1.052736	-0.07415611	0.07414303
17	7876.51	5857.66	1222.5	2461.5	6654.01	3396.16	108.9228	93.3713	0.7318985	1.366297	-0.4502845	0.4502714
18	8991.57	6072.58	1282.5	2483.5	7709.07	3589.08	96.7468	65.7071	0.8023683	1.246299	-0.3176635	0.3176504
19	6773.25	4719.29	1256.5	2485	5516.75	2234.286	60.2692	31.16175	0.9223587	1.084167	-0.1166002	0.1165871
20	10065.8	6644.72	1247	2485	8818.8	4159.72	79.5436	53.46	0.7919557	1.262685	-0.3365083	0.3364953
!sample_table_end
