^SAMPLE = GSM62330
!Sample_title = H2122
!Sample_geo_accession = GSM62330
!Sample_status = Public on Feb 21 2006
!Sample_submission_date = Jun 27 2005
!Sample_last_update_date = Feb 21 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = H2122 adenocarcinoma cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = ATTC catalogue number CRL-5985
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = cy5
!Sample_source_name_ch2 = normal male 
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = NOVAGEN POOLED NORMAL MALE REFERENCE GENOMIC DNA
!Sample_characteristics_ch2 = 
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = cy3
!Sample_description = cy 5 = sample cy 3= reference
!Sample_data_processing = NONE
!Sample_platform_id = GPL2043
!Sample_contact_name = William,Wallace,Lockwood
!Sample_contact_email = william.lockwood@nih.gov
!Sample_contact_institute = National Human Genome Research Institute
!Sample_contact_address = 50 South Drive
!Sample_contact_city = Bethesda
!Sample_contact_state = MD
!Sample_contact_zip/postal_code = 20892
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2922
!Sample_data_row_count = 104544
#ID_REF = 
#Spot Mean Intensity (w595) = Mean Spot Pixel Intensity - Cy3 channel
#Spot Mean Intensity (w685) = Mean Spot Pixel Intensity - Cy5 channel
#Background Median Intensity (w595) = Median Background Pixel Intensity - Cy3 channel
#Background Median Intensity (w685) = Median Background Pixel Intensity - Cy5 channel
#Spot Normalized Intensity (w595) = Spot Mean - Background Median
#Spot Normalized Intensity (w685) = Spot Mean - Background Median
#Spot SNR (w595) = Signal to noise ratio - Cy3
#Spot SNR (w685) = Signal to noise ratio - Cy5
#Spot Ratio (w595) = Cy3/Cy5
#Spot Ratio (w685) = Cy3/Cy5
#Spot Log2 Ratio (w595) = log2(Cy3/Cy5) (global mean set to "0")
#VALUE = log2(Cy5/Cy3) (global mean set to "0")
!sample_table_begin
ID_REF	Spot Mean Intensity (w595)	Spot Mean Intensity (w685)	Background Median Intensity (w595)	Background Median Intensity (w685)	Spot Normalized Intensity (w595)	Spot Normalized Intensity (w685)	Spot SNR (w595)	Spot SNR (w685)	Spot Ratio (w595)	Spot Ratio (w685)	Spot Log2 Ratio (w595)	VALUE
1	9611.86	5926.3	1004	2421	8607.86	3505.3	87.5045	59.34	1.194182	0.8373665	0.2560222	-0.2560689
2	6819.41	4498.24	998	2368	5821.41	2130.241	143.4684	37.4958	1.328925	0.7524636	0.4102595	-0.4103062
3	9742.87	6062.49	1020	2395	8722.87	3667.49	287.9904	108.2062	1.15662	0.8645604	0.2099146	-0.2099613
4	8292.37	6343.81	995	2378	7297.37	3965.81	177.3521	74.6821	0.8948201	1.117507	-0.1603305	0.1602838
5	6968.38	5059.59	979	2351	5989.38	2708.585	196.867	43.4815	1.075325	0.9299209	0.1047734	-0.1048201
6	8387.09	5341.57	975	2319	7412.09	3022.568	152.4699	49.9018	1.192518	0.8385342	0.2540116	-0.2540584
7	9146.84	5643.82	1030.5	2413.5	8116.34	3230.32	182.1871	40.7923	1.221844	0.8184087	0.28906	-0.2891067
8	7302.41	5880.1	1044	2421	6258.41	3459.1	144.2439	62.6209	0.8798358	1.136539	-0.1846938	0.1846471
9	6610.77	4533.98	1038	2415	5572.77	2118.975	117.6789	39.516	1.278927	0.7818803	0.3549336	-0.3549803
10	7799.55	7047.18	1020	2369.5	6779.55	4677.68	193.4408	96.4225	0.7048088	1.418779	-0.5046961	0.5046494
11	8038.37	5343.3	1028.5	2360	7009.87	2983.305	102.8048	64.0575	1.142649	0.8751311	0.1923824	-0.1924291
12	8740.17	5447.86	1029	2376	7711.17	3071.855	147.04	71.1217	1.220732	0.8191543	0.2877461	-0.2877928
13	10975.92	6266.2	1028	2372	9947.92	3894.2	212.8463	96.4698	1.242267	0.8049536	0.3129758	-0.3130225
14	3971.04	3917.79	990	2371	2981.037	1546.793	64.3736	44.0586	0.9372079	1.066965	-0.09355896	0.09351224
15	5507.31	4501.07	1004	2370.5	4503.31	2130.572	93.9596	48.4791	1.027866	0.9728576	0.03965271	-0.03969943
16	7041.14	5127.41	1007	2403	6034.14	2724.41	139.3621	38.683	1.07707	0.9284144	0.1071124	-0.1071591
17	9937.33	6109.1	1043	2403	8894.33	3706.1	219.3627	51.5307	1.167071	0.8568186	0.2228917	-0.2229384
18	11526.81	6989.83	1012	2356	10514.81	4633.83	172.3195	49.4898	1.103475	0.9061986	0.1420541	-0.1421008
19	6577.1	4889.57	990	2314	5587.1	2575.573	107.2203	28.59424	1.054904	0.9479225	0.07711232	-0.07715904
20	9572.49	6557.64	995	2331	8577.49	4226.64	248.5775	78.4065	0.9868839	1.013258	-0.01904773	0.01900101
!sample_table_end
