^SAMPLE = GSM63349
!Sample_title = H3255
!Sample_geo_accession = GSM63349
!Sample_status = Public on Feb 22 2006
!Sample_submission_date = Jul 10 2005
!Sample_last_update_date = Feb 22 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = H3255 Adenocarcinoma Cell Line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = H3255 Adenocarcinoma Cell Line
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cyanine 3
!Sample_source_name_ch2 = Male genomic
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = NOVAGEN POOLED MALE REFERENCE GENOMIC DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = cyanine 5
!Sample_description = cyanine 3 = sample
!Sample_description = cyanine 5 = reference
!Sample_data_processing = N/A
!Sample_platform_id = GPL2616
!Sample_contact_name = William,Wallace,Lockwood
!Sample_contact_email = william.lockwood@nih.gov
!Sample_contact_institute = National Human Genome Research Institute
!Sample_contact_address = 50 South Drive
!Sample_contact_city = Bethesda
!Sample_contact_state = MD
!Sample_contact_zip/postal_code = 20892
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2922
!Sample_data_row_count = 53856
#ID_REF = 
#Spot Mean Intensity (w595) = Mean Spot Pixel Intensity - Cy3 channel
#Spot Mean Intensity (w685) = Mean Spot Pixel Intensity - Cy5 channel
#Background Median Intensity (w595) = Median Background Pixel Intensity - Cy3 channel
#Background Median Intensity (w685) = Median Background Pixel Intensity - Cy5 channel
#Spot Normalized Intensity (w595) = Spot Mean - Background Median
#Spot Normalized Intensity (w685) = Spot Mean - Background Median
#Spot SNR (w595) = Signal to noise ratio - Cy3
#Spot SNR (w685) = Signal to noise ratio - Cy5
Signal to noise ratio - Cy5
#Spot Ratio (w595) = Cy3/Cy5
#Spot Ratio (w685) = Cy5/Cy3
#Spot Log2 Ratio (w595) = log2(Cy3/Cy5) (global mean set to "0")
#VALUE = log2(Cy5/Cy3) (global mean set to "0")
!sample_table_begin
ID_REF	Spot Mean Intensity (w595)	Spot Mean Intensity (w685)	Background Median Intensity (w595)	Background Median Intensity (w685)	Spot Normalized Intensity (w595)	Spot Normalized Intensity (w685)	Spot SNR (w595)	Spot SNR (w685)	Spot Ratio (w595)	Spot Ratio (w685)	Spot Log2 Ratio (w595)	VALUE
1	4946.74	3179.62	1196	1787	3750.74	1392.621	116.9591	38.9165	1.027281	0.9731085	0.03883077	-0.03932753
2	6258.79	3425.38	1247	1807	5011.79	1618.381	72.2628	41.6867	1.181185	0.8463159	0.240235	-0.2407317
3	4383.73	2933.622	1229	1799	3154.733	1134.622	49.5446	22.68806	1.060515	0.9426132	0.08476544	-0.0852622
4	4280.04	3198.13	1215.5	1791.5	3064.543	1406.63	65.9296	27.73283	0.8309816	1.202982	-0.2671115	0.2666148
5	4674.9	3071.686	1257	1808	3417.9	1263.686	75.007	32.4899	1.031633	0.9690033	0.04492975	-0.04542651
6	5237.09	3252.9	1269	1820	3968.09	1432.901	99.3897	45.522	1.05626	0.946411	0.07896448	-0.07946124
7	5657.15	3412.23	1276.5	1810	4380.65	1602.232	89.385	48.7337	1.042842	0.9585877	0.0605209	-0.06101766
8	5068.7	3159.978	1277.5	1811.5	3791.2	1348.478	33.8271	37.9316	1.072354	0.9322067	0.1007813	-0.1012781
9	5985.01	3472.73	1285	1826	4700.01	1646.726	34.7397	35.414	1.088637	0.9182637	0.1225227	-0.1230195
10	5646.2	3256.14	1297	1807.5	4349.2	1448.641	62.9869	46.7746	1.145128	0.8729639	0.1955094	-0.1960062
11	4519.15	3107.681	1283	1798	3236.15	1309.681	63.0722	40.3751	0.9424734	1.060673	-0.08547615	0.08497939
12	6663.27	3060.022	1275	1822	5388.27	1238.022	82.061	29.84452	1.660072	0.602176	0.7312461	-0.7317429
13	5640.32	3483.86	1271	1822	4369.32	1661.861	54.9699	35.3584	1.002823	0.9968414	0.004067313	-0.004564072
14	5521.84	3517.45	1262.5	1799	4259.34	1718.455	90.7433	49.0113	0.9453877	1.057403	-0.08102202	0.08052526
15	5627.02	3298.31	1270.5	1799.5	4356.52	1498.805	108.1607	62.5701	1.108665	0.9016754	0.1488232	-0.1493199
16	5881.74	3626.4	1298	1808	4583.74	1818.4	78.5628	63.5449	0.961472	1.039714	-0.05668329	0.05618653
17	5418.62	3168.15	1292	1822	4126.62	1346.147	76.667	41.7367	1.16925	0.8549543	0.225584	-0.2260808
18	3993.35	2792.87	1291	1813	2702.348	979.87	54.1684	29.28618	1.05191	0.9503244	0.07301129	-0.07350805
19	4164.97	2777.011	1311	1818	2853.967	959.011	39.0105	24.41589	1.135091	0.8806831	0.1828084	-0.1833052
20	4550.27	2658.848	1315.5	1821.5	3234.77	837.348	39.0059	22.58948	1.473477	0.6784332	0.5592245	-0.5597212
!sample_table_end
