^SAMPLE = GSM62327
!Sample_title = H1819
!Sample_geo_accession = GSM62327
!Sample_status = Public on Feb 21 2006
!Sample_submission_date = Jun 27 2005
!Sample_last_update_date = Feb 21 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = H1819 adenocarcinoma cell line
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = ATTC catalogue number CRL-5897
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = cy5
!Sample_source_name_ch2 = normal male 
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = NOVAGEN POOLED NORMAL REFERENCE GENOMIC DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = cy3
!Sample_description = cy 5 = sample cy 3= reference
!Sample_data_processing = NONE
!Sample_platform_id = GPL2043
!Sample_contact_name = William,Wallace,Lockwood
!Sample_contact_email = william.lockwood@nih.gov
!Sample_contact_institute = National Human Genome Research Institute
!Sample_contact_address = 50 South Drive
!Sample_contact_city = Bethesda
!Sample_contact_state = MD
!Sample_contact_zip/postal_code = 20892
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE2922
!Sample_data_row_count = 52342
#ID_REF = 
#Spot Mean Intensity (w595) = Mean Spot Pixel Intensity - Cy3 channel
#Spot Mean Intensity (w685) = Mean Spot Pixel Intensity - Cy5 channel
#Background Median Intensity (w595) = Median Background Pixel Intensity - Cy3 channel
#Background Median Intensity (w685) = Median Background Pixel Intensity - Cy5 channel
#Spot Normalized Intensity (w595) = Spot Mean - Background Median
#Spot Normalized Intensity (w685) = Spot Mean - Background Median
#Spot SNR (w595) = Signal to noise ratio - Cy3
#Spot SNR (w685) = Signal to noise ratio - Cy5
#Spot Ratio (w595) = Cy3/Cy5
#Spot Ratio (w685) = Cy3/Cy5
#Spot Log2 Ratio (w595) = log2(Cy3/Cy5) (global mean set to "0")
#VALUE = log2(Cy5/Cy3) (global mean set to "0")
!sample_table_begin
ID_REF	Spot Mean Intensity (w595)	Spot Mean Intensity (w685)	Background Median Intensity (w595)	Background Median Intensity (w685)	Spot Normalized Intensity (w595)	Spot Normalized Intensity (w685)	Spot SNR (w595)	Spot SNR (w685)	Spot Ratio (w595)	Spot Ratio (w685)	Spot Log2 Ratio (w595)	VALUE
1	31208.13	15615.29	1160	2552	30048.13	13063.29	684.409	275.1906	1.142054	0.8756093	0.1916307	-0.1916408
2	19992.37	8365.55	1200	2552	18792.37	5813.55	228.3445	74.6881	1.60495	0.6230679	0.6825286	-0.6825387
3	31691.8	15983.21	1233	2616	30458.8	13367.21	355.487	208.7426	1.131342	0.8838999	0.1780352	-0.1780452
4	28715.54	15753.89	1219.5	2619	27496.04	13134.89	329.947	167.6303	1.039359	0.9621252	0.0556934	-0.05570345
5	20529.36	11138.78	1240	2615.5	19289.36	8523.28	234.7096	104.7771	1.123654	0.8899474	0.1681981	-0.1682082
6	31913.3	17665.47	1207	2585	30706.31	15080.47	393.973	327.1	1.010961	0.9891507	0.01572765	-0.0157377
7	36171.5	18237.98	1259.5	2598.5	34912	15639.48	524.152	344.539	1.108344	0.9022405	0.1484062	-0.1484162
8	21630.49	13596.63	1196	2593.5	20434.49	11003.13	337.71	135.0518	0.9220813	1.084495	-0.1170341	0.117024
9	19604.1	18546.24	1244	2659	18360.1	15887.24	411.255	315.8682	0.5737838	1.742805	-0.8014209	0.8014109
10	23590.41	20176.53	1237.5	2646	22352.91	17530.53	411.305	372.328	0.6330832	1.57956	-0.659533	0.659523
11	21841.3	11366.76	1258	2647	20583.3	8719.76	397.985	179.3306	1.172013	0.8532267	0.2289889	-0.2289989
12	27897.87	14166.62	1294	2663	26603.87	11503.62	554.051	253.3201	1.148238	0.8708936	0.1994215	-0.1994316
13	30915.88	11569.33	1389.5	2710	29526.38	8859.33	357.22	145.3079	1.654744	0.6043187	0.7266084	-0.7266185
14	22848.94	12294.35	1415	2753	21433.94	9541.35	343.308	169.595	1.115357	0.896568	0.1575051	-0.1575151
15	25655.29	13695.14	1392	2741.5	24263.29	10953.64	247.891	115.2318	1.099798	0.9092519	0.137238	-0.1372481
16	17088.24	9825.2	1339	2706	15749.24	7119.2	269.8515	160.6772	1.098373	0.9104309	0.1353685	-0.1353785
17	22868.57	14362.05	1404	2788	21464.57	11574.05	324.933	172.8747	0.9207857	1.086021	-0.1190626	0.1190525
18	30209.65	19115.79		2786	28819.15	16329.79	413.863	242.3115	0.8762382	1.141234	-0.190605	0.1905949
19	18530.22	18014.5	1365.5	2782.5	17164.72	15232	254.9097	243.9356	0.5595018	1.787292	-0.8377852	0.8377752
20	26847.59	17246.67	1366	2775	25481.59	14471.67	483.439	255.1819	0.8742382	1.143845	-0.1939017	0.1938917
!sample_table_end
