^SAMPLE = GSM84273
!Sample_title = CGH_2005051161_Embryo2_cell4
!Sample_geo_accession = GSM84273
!Sample_status = Public on Feb 01 2006
!Sample_submission_date = Nov 18 2005
!Sample_last_update_date = Feb 20 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Amplified single-cell (blastomere number 4) gDNA (XY)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Single-cell gDNA following Phi29 whole genome amplification
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Non-amplified reference gDNA (46,XX)
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Reference genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Analysis Phi29 amplified single-cell gDNA versus non-amplified gDNA
!Sample_data_processing = Spot intensities were corrected for local background and only spots with signal intensities at least 1.2-fold above background were included in the analysis and log2 values were calculated. For each array, the normalised ratio was obtained by calculating the median of the log2 signal intensities over all the autosomal fragments with measurements from abnormal chromosomes masked out, and substracting this value from all the signal intensities of the spots on the array
!Sample_platform_id = GPL3091
!Sample_contact_name = Joris,R,Vermeesch
!Sample_contact_email = Joris.Vermeesch@uz.kuleuven.ac.be
!Sample_contact_department = Center for Human Genetics
!Sample_contact_institute = Katholic University Leuven
!Sample_contact_address = Herestraat, 49
!Sample_contact_city = Leuven
!Sample_contact_zip/postal_code = 3000
!Sample_contact_country = Belgium
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3642
!Sample_data_row_count = 8228
#ID_REF = 
#Cy5_signal = Mean of Cy5 foreground intensity
#Cy5_bkg = Median of Cy5 background intensity
#Cy3_signal = Mean of Cy3 foreground intensity
#Cy3_bkg = Median of Cy3 background intensity
#Cy5 = Cy5 signal
#Cy3 = Cy3 signal
#VALUE = Normalised log2 ratio defined as Cy5/Cy3
!sample_table_begin
ID_REF	Cy5_signal	Cy5_bkg	Cy3_signal	Cy3_bkg	Cy5	Cy3	VALUE
1	771	644	338	236	127	102	0.322063365
2	821	666	361	271	155	90	0.790075329
3	1034	628	829	297	406	532	-0.384142498
4	1097	610	856	197	487	659	-0.430552673
5	977	610	1016	226	367	790	-1.10026857
6	1083	618	1072	225	465	847	-0.859327233
7	2051	623	746	222	1428	524	1.452161283
8	1954	653	733	286	1301	447	1.547078246
9	1381	606	1142	198	775	944	-0.278786529
10	1891	635	1412	299	1256	1113	0.180186892
11	1191	619	577	222	572	355	0.694000143
12	1099	640	600	281	459	319	0.53074175
13	1324	674	1522	309	650	1213	-0.894263907
14	1373	649	1525	325	724	1200	-0.723168783
15	1858	709	1303	407	1149	896	0.364612181
16	1866	642	1179	249	1224	930	0.402104957
17	2198	668	1762	340	1530	1422	0.111414208
18	2482	653	1863	280	1829	1583	0.21419784
19	4499	645	1954	273	3854	1681	1.202840867
20	3368	627	1416	268	2741	1148	1.261383707
!sample_table_end
