^SAMPLE = GSM84265
!Sample_title = CGH_2005051145_Embryo3_cell1
!Sample_geo_accession = GSM84265
!Sample_status = Public on Feb 01 2006
!Sample_submission_date = Nov 18 2005
!Sample_last_update_date = Feb 20 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Amplified single-cell (blastomere number 1) gDNA (XX)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Single-cell gDNA following Phi29 whole genome amplification
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Non-amplified reference gDNA (46,XX)
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Reference genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Analysis Phi29 amplified single-cell gDNA versus non-amplified gDNA
!Sample_data_processing = Spot intensities were corrected for local background and only spots with signal intensities at least 1.2-fold above background were included in the analysis and log2 values were calculated. For each array, the normalised ratio was obtained by calculating the median of the log2 signal intensities over all the autosomal fragments with measurements from abnormal chromosomes masked out, and substracting this value from all the signal intensities of the spots on the array
!Sample_platform_id = GPL3091
!Sample_contact_name = Joris,R,Vermeesch
!Sample_contact_email = Joris.Vermeesch@uz.kuleuven.ac.be
!Sample_contact_department = Center for Human Genetics
!Sample_contact_institute = Katholic University Leuven
!Sample_contact_address = Herestraat, 49
!Sample_contact_city = Leuven
!Sample_contact_zip/postal_code = 3000
!Sample_contact_country = Belgium
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3642
!Sample_data_row_count = 8228
#ID_REF = 
#Cy5_signal = Mean of Cy5 foreground intensity
#Cy5_bkg = Median of Cy5 background intensity
#Cy3_signal = Mean of Cy3 foreground intensity
#Cy3_bkg = Median of Cy3 background intensity
#Cy5 = Cy5 signal
#Cy3 = Cy3 signal
#VALUE = Normalised log2 ratio defined as Cy5/Cy3
!sample_table_begin
ID_REF	Cy5_signal	Cy5_bkg	Cy3_signal	Cy3_bkg	Cy5	Cy3	VALUE
1	640	563	229	193			
2	646	587	278	237			
3	1074	673	747	259	401	488	-0.264782567
4	1115	677	769	239	438	530	-0.256565146
5	766	634	583	263		320	
6	780	642	733	266		467	
7	948	642	466	275	306	191	0.698455358
8	1186	592	588	184	594	404	0.574603982
9	1149	697	1058	294	452	764	-0.738753522
10	1234	673	1306	246	561	1060	-0.899495245
11	823	661	452	307	162	145	0.178437256
12	785	591	445	186		259	
13	1328	659	1242	228	669	1014	-0.581483193
14	1457	705	1320	262	752	1058	-0.474038717
15	1019	650	924	255	369	669	-0.839889051
16	1143	686	1197	258	457	939	-1.020434649
17	3451	666	1535	270	2785	1265	1.157036286
18	3820	697	1678	294	3123	1384	1.19258497
19	2834	677	2069	219	2157	1850	0.239997249
20	2618	659	1994	237	1959	1757	0.17549955
!sample_table_end
