^SAMPLE = GSM84260
!Sample_title = CGH_2005051169_Embryo1_cell2
!Sample_geo_accession = GSM84260
!Sample_status = Public on Feb 01 2006
!Sample_submission_date = Nov 18 2005
!Sample_last_update_date = Nov 21 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Amplified single-cell (blastomere number 2) gDNA (45,X)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Single-cell gDNA following Phi29 whole genome amplification
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Non-amplified reference gDNA (46,XX)
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Reference genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Analysis Phi29 amplified single-cell gDNA versus non-amplified gDNA
!Sample_data_processing = Spot intensities were corrected for local background and only spots with signal intensities at least 1.2-fold above background were included in the analysis and log2 values were calculated. For each array, the normalised ratio was obtained by calculating the median of the log2 signal intensities over all the autosomal fragments with measurements from abnormal chromosomes masked out, and substracting this value from all the signal intensities of the spots on the array
!Sample_platform_id = GPL3091
!Sample_contact_name = Joris,R,Vermeesch
!Sample_contact_email = Joris.Vermeesch@uz.kuleuven.ac.be
!Sample_contact_department = Center for Human Genetics
!Sample_contact_institute = Katholic University Leuven
!Sample_contact_address = Herestraat, 49
!Sample_contact_city = Leuven
!Sample_contact_zip/postal_code = 3000
!Sample_contact_country = Belgium
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3642
!Sample_data_row_count = 8228
#ID_REF = 
#Cy5_signal = Mean of Cy5 foreground intensity
#Cy5_bkg = Median of Cy5 background intensity
#Cy3_signal = Mean of Cy3 foreground intensity
#Cy3_bkg = Median of Cy3 background intensity
#Cy5 = Cy5 signal
#Cy3 = Cy3 signal
#VALUE = Normalised log2 ratio defined as Cy5/Cy3
!sample_table_begin
ID_REF	Cy5_signal	Cy5_bkg	Cy3_signal	Cy3_bkg	Cy5	Cy3	VALUE
1	2540	697	691	637	1843	54	5.104682487
2	775	613	616	470	162		
3	1164	652	1546	557	512	989	-0.938097077
4	1115	648	1474	573	467	901	-0.936374922
5	829	605	2001	465	224	1536	-2.765877945
6	757	563	1787	368	194	1419	-2.859016398
7	816	592	1304	511	224	793	-1.8120925
8	855	611	1286	485	244	801	-1.703191461
9	1975	682	2458	551	1293	1907	-0.548852935
10	1588	682	2084	650	906	1434	-0.650732435
11	1036	589	1188	536	447	652	-0.532867499
12	987	603	1022	451	384	571	-0.560654801
13	1522	693	2033	634	829	1399	-0.743222322
14	1593	740	2192	758	853	1434	-0.737697744
15	1993	658	2128	559	1335	1569	-0.221275977
16	2037	583	1968	424	1454	1544	-0.07491585
17	2584	585	3778	459	1999	3319	-0.719740524
18	2593	617	3645	497	1976	3148	-0.66012296
19	9310	632	3162	590	8678	2572	1.766201577
20	7935	639	2649	561	7296	2088	1.816713651
!sample_table_end
