^SAMPLE = GSM84269
!Sample_title = CGH_2005051148_Embryo3_cell4
!Sample_geo_accession = GSM84269
!Sample_status = Public on Feb 01 2006
!Sample_submission_date = Nov 18 2005
!Sample_last_update_date = Feb 20 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Amplified single-cell (blastomere number 4) gDNA (XX)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Single-cell gDNA following Phi29 whole genome amplification
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Non-amplified reference gDNA (46,XX)
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Reference genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Analysis Phi29 amplified single-cell gDNA versus non-amplified gDNA
!Sample_data_processing = Spot intensities were corrected for local background and only spots with signal intensities at least 1.2-fold above background were included in the analysis and log2 values were calculated. For each array, the normalised ratio was obtained by calculating the median of the log2 signal intensities over all the autosomal fragments with measurements from abnormal chromosomes masked out, and substracting this value from all the signal intensities of the spots on the array
!Sample_platform_id = GPL3091
!Sample_contact_name = Joris,R,Vermeesch
!Sample_contact_email = Joris.Vermeesch@uz.kuleuven.ac.be
!Sample_contact_department = Center for Human Genetics
!Sample_contact_institute = Katholic University Leuven
!Sample_contact_address = Herestraat, 49
!Sample_contact_city = Leuven
!Sample_contact_zip/postal_code = 3000
!Sample_contact_country = Belgium
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3642
!Sample_data_row_count = 8228
#ID_REF = 
#Cy5_signal = Mean of Cy5 foreground intensity
#Cy5_bkg = Median of Cy5 background intensity
#Cy3_signal = Mean of Cy3 foreground intensity
#Cy3_bkg = Median of Cy3 background intensity
#Cy5 = Cy5 signal
#Cy3 = Cy3 signal
#VALUE = Normalised log2 ratio defined as Cy5/Cy3
!sample_table_begin
ID_REF	Cy5_signal	Cy5_bkg	Cy3_signal	Cy3_bkg	Cy5	Cy3	VALUE
1	634	543	334	257		77	
2	605	549	302	240		62	
3	745	589	490	244	156	246	-0.676875541
4	831	589	566	200	242	366	-0.616599856
5	679	543	706	222		484	
6	658	587	549	290		259	
7	695	579	540	289	116	251	-1.133325814
8	695	561	495	211	134	284	-1.103421184
9	797	562	828	232	235	596	-1.362414829
10	865	590	932	282	275	650	-1.260771354
11	714	556	497	244	158	253	-0.698976081
12	753	540	437	201	213	236	-0.167696684
13	915	594	949	252	321	697	-1.138348614
14	865	593	847	275	272	572	-1.09217175
15	842	577	669	241	265	428	-0.711381692
16	1134	653	891	288	481	603	-0.345884363
17	987	564	1254	234	423	1020	-1.289602839
18	1137	566	1659	213	571	1446	-1.360268156
19	1386	579	1091	260	807	831	-0.062043058
20	1228	567	916	251	661	665	-0.028467324
!sample_table_end
