^SAMPLE = GSM84254
!Sample_title = CGH_2005051132_T21_cell2
!Sample_geo_accession = GSM84254
!Sample_status = Public on Feb 01 2006
!Sample_submission_date = Nov 18 2005
!Sample_last_update_date = Nov 21 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Amplified single-cell (number 2) gDNA (47,XY,+21)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Single-cell gDNA following Phi29 whole genome amplification
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Non-amplified reference gDNA (46,XX)
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Reference genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Analysis Phi29 amplified single-cell gDNA versus non-amplified gDNA
!Sample_data_processing = Spot intensities were corrected for local background and only spots with signal intensities at least 1.2-fold above background were included in the analysis and log2 values were calculated. For each array, the normalised ratio was obtained by calculating the median of the log2 signal intensities over all the autosomal fragments with measurements from abnormal chromosomes masked out, and substracting this value from all the signal intensities of the spots on the array
!Sample_platform_id = GPL3091
!Sample_contact_name = Joris,R,Vermeesch
!Sample_contact_email = Joris.Vermeesch@uz.kuleuven.ac.be
!Sample_contact_department = Center for Human Genetics
!Sample_contact_institute = Katholic University Leuven
!Sample_contact_address = Herestraat, 49
!Sample_contact_city = Leuven
!Sample_contact_zip/postal_code = 3000
!Sample_contact_country = Belgium
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3642
!Sample_data_row_count = 8228
#ID_REF = 
#Cy5_signal = Mean of Cy5 foreground intensity
#Cy5_bkg = Median of Cy5 background intensity
#Cy3_signal = Mean of Cy3 foreground intensity
#Cy3_bkg = Median of Cy3 background intensity
#Cy5 = Cy5 signal
#Cy3 = Cy3 signal
#VALUE = Normalised log2 ratio defined as Cy5/Cy3
!sample_table_begin
ID_REF	Cy5_signal	Cy5_bkg	Cy3_signal	Cy3_bkg	Cy5	Cy3	VALUE
1	639	531	528	421			
2	670	537	599	439		160	
3	1005	590	1142	470	415	672	-0.662948633
4	1122	583	1236	442	539	794	-0.526452471
5	1010	538	1875	459	472	1416	-1.552561238
6	951	542	1547	405	409	1142	-1.448988639
7	914	534	1164	439	380	725	-0.899580313
8	967	546	1220	444	421	776	-0.849835156
9	1243	574	1832	513	669	1319	-0.946965186
10	1443	606	2190	552	837	1638	-0.936234566
11	3865	540	940	434	3325	506	2.748546314
12	3600	541	917	444	3059	473	2.725549281
13	1739	574	1958	523	1165	1435	-0.268319519
14	1823	591	1893	477	1232	1416	-0.168417746
15	1491	557	1874	497	934	1377	-0.527632841
16	1499	592	1778	509	907	1269	-0.45211635
17	1282	628	3449	550	654	2899	-2.115791529
18	1115	550	3134	438	565	2696	-2.222096461
19	2890	552	2981	407	2338	2574	-0.106335861
20	2463	541	2652	460	1922	2192	-0.157238199
!sample_table_end
