^SAMPLE = GSM84264
!Sample_title = CGH_2005051170_Embryo1_cell6
!Sample_geo_accession = GSM84264
!Sample_status = Public on Feb 01 2006
!Sample_submission_date = Nov 18 2005
!Sample_last_update_date = Nov 21 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Amplified single-cell (blastomere number 6) gDNA (45,X)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Single-cell gDNA following Phi29 whole genome amplification
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Non-amplified reference gDNA (46,XX)
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Reference genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Analysis Phi29 amplified single-cell gDNA versus non-amplified gDNA
!Sample_data_processing = Spot intensities were corrected for local background and only spots with signal intensities at least 1.2-fold above background were included in the analysis and log2 values were calculated. For each array, the normalised ratio was obtained by calculating the median of the log2 signal intensities over all the autosomal fragments with measurements from abnormal chromosomes masked out, and substracting this value from all the signal intensities of the spots on the array
!Sample_platform_id = GPL3091
!Sample_contact_name = Joris,R,Vermeesch
!Sample_contact_email = Joris.Vermeesch@uz.kuleuven.ac.be
!Sample_contact_department = Center for Human Genetics
!Sample_contact_institute = Katholic University Leuven
!Sample_contact_address = Herestraat, 49
!Sample_contact_city = Leuven
!Sample_contact_zip/postal_code = 3000
!Sample_contact_country = Belgium
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3642
!Sample_data_row_count = 8228
#ID_REF = 
#Cy5_signal = Mean of Cy5 foreground intensity
#Cy5_bkg = Median of Cy5 background intensity
#Cy3_signal = Mean of Cy3 foreground intensity
#Cy3_bkg = Median of Cy3 background intensity
#Cy5 = Cy5 signal
#Cy3 = Cy3 signal
#VALUE = Normalised log2 ratio defined as Cy5/Cy3
!sample_table_begin
ID_REF	Cy5_signal	Cy5_bkg	Cy3_signal	Cy3_bkg	Cy5	Cy3	VALUE
1	800	671	1053	814			
2	1071	959	1360	1025		335	
3	1465	1106	1727	982	359	745	-1.100963435
4	1686	1382	1560	973	304	587	-0.996996033
5	907	758	2283	1074		1209	
6	992	867	1921	993		928	
7	866	765	1699	1154		545	
8	1182	948	1931	1243		688	
9	2022	1038	2459	1039	984	1420	-0.576867562
10	2079	1226	2297	1111	853	1186	-0.523193217
11	1056	731	1604	966		638	
12	1157	910	1466	990		476	
13	1805	1255	2260	1057	550	1203	-1.176839972
14	2149	1515	1965	858	634	1107	-0.85180733
15	1437	865	2024	965	572	1059	-0.936322391
16	1681	1069	1979	874	612	1105	-0.900149665
17	2400	863	3329	1211	1537	2118	-0.510292278
18	2905	951	3519	1012	1954	2507	-0.407238382
19	3228	1604	2867	854	1624	2013	-0.357502393
20	2321	790	2719	875	1531	1844	-0.316071226
!sample_table_end
