^SAMPLE = GSM84251
!Sample_title = CGH_2005051131_T18_cell2
!Sample_geo_accession = GSM84251
!Sample_status = Public on Feb 01 2006
!Sample_submission_date = Nov 18 2005
!Sample_last_update_date = Nov 21 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Amplified single-cell (number 2) gDNA (47,XY,+18)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Single-cell gDNA following Phi29 whole genome amplification
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Non-amplified reference gDNA (46,XX)
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Reference genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Analysis Phi29 amplified single-cell gDNA versus non-amplified gDNA
!Sample_data_processing = Spot intensities were corrected for local background and only spots with signal intensities at least 1.2-fold above background were included in the analysis and log2 values were calculated. For each array, the normalised ratio was obtained by calculating the median of the log2 signal intensities over all the autosomal fragments with measurements from abnormal chromosomes masked out, and substracting this value from all the signal intensities of the spots on the array
!Sample_platform_id = GPL3091
!Sample_contact_name = Joris,R,Vermeesch
!Sample_contact_email = Joris.Vermeesch@uz.kuleuven.ac.be
!Sample_contact_department = Center for Human Genetics
!Sample_contact_institute = Katholic University Leuven
!Sample_contact_address = Herestraat, 49
!Sample_contact_city = Leuven
!Sample_contact_zip/postal_code = 3000
!Sample_contact_country = Belgium
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3642
!Sample_data_row_count = 8228
#ID_REF = 
#Cy5_signal = Mean of Cy5 foreground intensity
#Cy5_bkg = Median of Cy5 background intensity
#Cy3_signal = Mean of Cy3 foreground intensity
#Cy3_bkg = Median of Cy3 background intensity
#Cy5 = Cy5 signal
#Cy3 = Cy3 signal
#VALUE = Normalised log2 ratio defined as Cy5/Cy3
!sample_table_begin
ID_REF	Cy5_signal	Cy5_bkg	Cy3_signal	Cy3_bkg	Cy5	Cy3	VALUE
1	792	671	616	521	121	95	0.400004464
2	807	709	705	606	98	99	0.036350059
3	1394	662	1275	428	732	847	-0.159521486
4	1075	621	969	374	454	595	-0.339200536
5	982	678	1196	458	304	738	-1.228552657
6	960	636	1142	391	324	751	-1.161822259
7	1268	638	871	426	630	445	0.552543328
8	1350	632	912	421	718	491	0.599257655
9	1006	653	1591	458	353	1133	-1.631410937
10	1043	701	1577	499	342	1078	-1.605292113
11	1125	637	741	415	488	326	0.633006019
12	1108	648	754	411	460	343	0.47442212
13	1533	663	1765	474	870	1291	-0.518404859
14	1574	678	1625	488	896	1137	-0.292664782
15	1004	626	1287	364	378	923	-1.236947578
16	1049	638	1256	400	411	856	-1.007475568
17	1685	662	1769	480	1023	1289	-0.282449283
18	1989	618	2026	389	1371	1637	-0.204828916
19	2503	656	2169	453	1847	1716	0.157131149
20	2751	616	2408	379	2135	2029	0.12446404
!sample_table_end
