^SAMPLE = GSM84272
!Sample_title = CGH_2005051162_Embryo2_cell3
!Sample_geo_accession = GSM84272
!Sample_status = Public on Feb 01 2006
!Sample_submission_date = Nov 18 2005
!Sample_last_update_date = Feb 20 2006
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Amplified single-cell (blastomere number 3) gDNA (XY)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Single-cell gDNA following Phi29 whole genome amplification
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Non-amplified reference gDNA (46,XX)
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Reference genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Analysis Phi29 amplified single-cell gDNA versus non-amplified gDNA
!Sample_data_processing = Spot intensities were corrected for local background and only spots with signal intensities at least 1.2-fold above background were included in the analysis and log2 values were calculated. For each array, the normalised ratio was obtained by calculating the median of the log2 signal intensities over all the autosomal fragments with measurements from abnormal chromosomes masked out, and substracting this value from all the signal intensities of the spots on the array
!Sample_platform_id = GPL3091
!Sample_contact_name = Joris,R,Vermeesch
!Sample_contact_email = Joris.Vermeesch@uz.kuleuven.ac.be
!Sample_contact_department = Center for Human Genetics
!Sample_contact_institute = Katholic University Leuven
!Sample_contact_address = Herestraat, 49
!Sample_contact_city = Leuven
!Sample_contact_zip/postal_code = 3000
!Sample_contact_country = Belgium
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3642
!Sample_data_row_count = 8228
#ID_REF = 
#Cy5_signal = Mean of Cy5 foreground intensity
#Cy5_bkg = Median of Cy5 background intensity
#Cy3_signal = Mean of Cy3 foreground intensity
#Cy3_bkg = Median of Cy3 background intensity
#Cy5 = Cy5 signal
#Cy3 = Cy3 signal
#VALUE = Normalised log2 ratio defined as Cy5/Cy3
!sample_table_begin
ID_REF	Cy5_signal	Cy5_bkg	Cy3_signal	Cy3_bkg	Cy5	Cy3	VALUE
1	989	853	459	309	136	150	-0.309304642
2	1049	931	603	419	118	184	-0.8088677
3	1073	713	649	222	360	427	-0.414187956
4	1086	715	594	197	371	397	-0.265668613
5	1043	780	1027	288	263	739	-1.658460358
6	1042	772	981	254	270	727	-1.59694475
7	1358	756	578	226	602	352	0.606239265
8	1379	760	612	249	619	363	0.602021068
9	996	709	1020	210	287	810	-1.664819964
10	1013	703	1102	190	310	912	-1.724714402
11	922	772	564	266	150	298	-1.158298623
12	853	756	449	257		192	
13	1137	738	1135	236	399	899	-1.339881162
14	1178	727	1223	205	451	1018	-1.342487016
15	1187	679	780	181	508	599	-0.405676299
16	1261	706	833	221	555	612	-0.308992674
17	1179	769	1439	259	410	1180	-1.693039838
18	1197	745	1541	243	452	1298	-1.689844499
19	2099	763	1534	250	1336	1284	-0.110673988
20	1632	762	1297	256	870	1041	-0.426831556
!sample_table_end
