^SAMPLE = GSM84256
!Sample_title = CGH_2005051133_45,X_cell1
!Sample_geo_accession = GSM84256
!Sample_status = Public on Feb 01 2006
!Sample_submission_date = Nov 18 2005
!Sample_last_update_date = Nov 21 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Amplified single-cell (number 1) gDNA (45,X)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Single-cell gDNA following Phi29 whole genome amplification
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Non-amplified reference gDNA (46,XX)
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Reference genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Analysis Phi29 amplified single-cell gDNA versus non-amplified gDNA
!Sample_data_processing = Spot intensities were corrected for local background and only spots with signal intensities at least 1.2-fold above background were included in the analysis and log2 values were calculated. For each array, the normalised ratio was obtained by calculating the median of the log2 signal intensities over all the autosomal fragments with measurements from abnormal chromosomes masked out, and substracting this value from all the signal intensities of the spots on the array
!Sample_platform_id = GPL3091
!Sample_contact_name = Joris,R,Vermeesch
!Sample_contact_email = Joris.Vermeesch@uz.kuleuven.ac.be
!Sample_contact_department = Center for Human Genetics
!Sample_contact_institute = Katholic University Leuven
!Sample_contact_address = Herestraat, 49
!Sample_contact_city = Leuven
!Sample_contact_zip/postal_code = 3000
!Sample_contact_country = Belgium
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3642
!Sample_data_row_count = 8228
#ID_REF = 
#Cy5_signal = Mean of Cy5 foreground intensity
#Cy5_bkg = Median of Cy5 background intensity
#Cy3_signal = Mean of Cy3 foreground intensity
#Cy3_bkg = Median of Cy3 background intensity
#Cy5 = Cy5 signal
#Cy3 = Cy3 signal
#VALUE = Normalised log2 ratio defined as Cy5/Cy3
!sample_table_begin
ID_REF	Cy5_signal	Cy5_bkg	Cy3_signal	Cy3_bkg	Cy5	Cy3	VALUE
1	562	462	481	372			
2	647	491	525	386			
3	1130	571	1354	513	559	841	-0.563640318
4	1264	595	1424	491	669	933	-0.454253671
5	720	475	1437	417	245	1020	-2.032098298
6	800	505	1514	414	295	1100	-1.873099464
7	853	514	1120	430	339	690	-0.999693889
8	833	541	1143	444	292	699	-1.233706887
9	1144	613	1740	650	531	1090	-1.011927169
10	1410	593	2164	530	817	1634	-0.9743828
11	1770	531	932	464	1239	468	1.430212952
12	1973	534	947	442	1439	505	1.536328499
13	1632	600	2333	570	1032	1763	-0.746972304
14	1709	619	2277	527	1090	1750	-0.657409587
15	1453	554	1768	462	899	1306	-0.513144676
16	1630	618	2244	588	1012	1656	-0.684876183
17	1532	535	2824	467	997	2357	-1.215669149
18	1599	565	3323	450	1034	2873	-1.448704608
19	5236	592	3476	491	4644	2985	0.66325424
20	4424	592	2970	506	3832	2464	0.662712505
!sample_table_end
