^SAMPLE = GSM84247
!Sample_title = CGH_2005051142_T13_cell3
!Sample_geo_accession = GSM84247
!Sample_status = Public on Feb 01 2006
!Sample_submission_date = Nov 18 2005
!Sample_last_update_date = Nov 21 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Amplified single-cell (number 3) gDNA (47,XX,+13)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Single-cell gDNA following Phi29 whole genome amplification
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Non-amplified reference gDNA (46,XY)
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Reference genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Analysis Phi29 amplified single-cell gDNA versus non-amplified gDNA
!Sample_data_processing = Spot intensities were corrected for local background and only spots with signal intensities at least 1.2-fold above background were included in the analysis and log2 values were calculated. For each array, the normalised ratio was obtained by calculating the median of the log2 signal intensities over all the autosomal fragments with measurements from abnormal chromosomes masked out, and substracting this value from all the signal intensities of the spots on the array
!Sample_platform_id = GPL3091
!Sample_contact_name = Joris,R,Vermeesch
!Sample_contact_email = Joris.Vermeesch@uz.kuleuven.ac.be
!Sample_contact_department = Center for Human Genetics
!Sample_contact_institute = Katholic University Leuven
!Sample_contact_address = Herestraat, 49
!Sample_contact_city = Leuven
!Sample_contact_zip/postal_code = 3000
!Sample_contact_country = Belgium
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3642
!Sample_data_row_count = 8228
#ID_REF = 
#Cy5_signal = Mean of Cy5 foreground intensity
#Cy5_bkg = Median of Cy5 background intensity
#Cy3_signal = Mean of Cy3 foreground intensity
#Cy3_bkg = Median of Cy3 background intensity
#Cy5 = Cy5 signal
#Cy3 = Cy3 signal
#VALUE = Normalised log2 ratio defined as Cy5/Cy3
!sample_table_begin
ID_REF	Cy5_signal	Cy5_bkg	Cy3_signal	Cy3_bkg	Cy5	Cy3	VALUE
1	617	539	291	240		51	
2	616	530	266	211			
3	780	577	533	239	203	294	-0.487074371
4	1354	618	869	307	736	562	0.436397693
5	662	544	570	247		323	
6	651	547	550	221		329	
7	648	562	506	222		284	
8	671	590	512	272		240	
9	1113	556	956	274	557	682	-0.244832355
10	1288	581	931	261	707	670	0.124811176
11	745	563	460	222	182	238	-0.339761066
12	769	575	419	252	194	167	0.263470607
13	1186	548	844	208	638	636	0.051791715
14	1294	571	858	237	723	621	0.266664436
15	843	543	785	196	300	589	-0.926043076
16	924	585	846	219	339	627	-0.839918113
17	1018	570	1201	280	448	921	-0.992440367
18	1088	587	1280	266	501	1014	-0.969913087
19	709	572	409	233	137	176	-0.314137479
20	1123	595	1406	255	528	1151	-1.077015942
!sample_table_end
