^SAMPLE = GSM84244
!Sample_title = CGH_2005051141_T13_cell2
!Sample_geo_accession = GSM84244
!Sample_status = Public on Feb 01 2006
!Sample_submission_date = Nov 18 2005
!Sample_last_update_date = Nov 21 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Amplified single-cell (number 2) gDNA (47,XX,+13)
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Single-cell gDNA following Phi29 whole genome amplification
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy5
!Sample_source_name_ch2 = Non-amplified reference gDNA (46,XY)
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Reference genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy3
!Sample_description = Analysis Phi29 amplified single-cell gDNA versus non-amplified gDNA
!Sample_data_processing = Spot intensities were corrected for local background and only spots with signal intensities at least 1.2-fold above background were included in the analysis and log2 values were calculated. For each array, the normalised ratio was obtained by calculating the median of the log2 signal intensities over all the autosomal fragments with measurements from abnormal chromosomes masked out, and substracting this value from all the signal intensities of the spots on the array
!Sample_platform_id = GPL3091
!Sample_contact_name = Joris,R,Vermeesch
!Sample_contact_email = Joris.Vermeesch@uz.kuleuven.ac.be
!Sample_contact_department = Center for Human Genetics
!Sample_contact_institute = Katholic University Leuven
!Sample_contact_address = Herestraat, 49
!Sample_contact_city = Leuven
!Sample_contact_zip/postal_code = 3000
!Sample_contact_country = Belgium
!Sample_supplementary_file = NONE
!Sample_series_id = GSE3642
!Sample_data_row_count = 8228
#ID_REF = 
#Cy5_signal = Mean of Cy5 foreground intensity
#Cy5_bkg = Median of Cy5 background intensity
#Cy3_signal = Mean of Cy3 foreground intensity
#Cy3_bkg = Median of Cy3 background intensity
#Cy5 = Cy5 signal
#Cy3 = Cy3 signal
#VALUE = Normalised log2 ratio defined as Cy5/Cy3
!sample_table_begin
ID_REF	Cy5_signal	Cy5_bkg	Cy3_signal	Cy3_bkg	Cy5	Cy3	VALUE
1	705	623	346	254		92	
2	775	661	384	309	114	75	0.667542323
3	990	634	729	340	356	389	-0.064421915
4	972	685	708	321	287	387	-0.367811831
5	756	629	876	287		589	
6	770	657	695	281	113	414	-1.809836996
7	1113	615	650	302	498	348	0.580529435
8	1122	628	594	284	494	310	0.735713825
9	857	606	1030	347	251	683	-1.380727215
10	916	643	1032	350	273	682	-1.257399789
11	1225	617	577	297	608	280	1.182115495
12	1260	602	480	233	658	247	1.477047541
13	999	615	1014	261	384	753	-0.908072555
14	1084	635	1038	250	449	788	-0.748009186
15	966	606	1071	229	360	842	-1.162352328
16	981	645	992	271	336	721	-1.038067028
17	1612	596	1586	283	1016	1303	-0.295465683
18	1770	640	1469	324	1130	1145	0.044446173
19	4056	631	1339	273	3425	1066	1.747367549
20	3877	640	1185	270	3237	915	1.886284716
!sample_table_end
