^SAMPLE = GSM115212
!Sample_title = Carcinoma  VUMC_C012_b31_s72
!Sample_geo_accession = GSM115212
!Sample_status = Public on Aug 30 2006
!Sample_submission_date = Jun 20 2006
!Sample_last_update_date = Apr 24 2013
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = colon
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = carcinoma
!Sample_molecule_ch1 = genomic DNA
!Sample_label_ch1 = Cy3
!Sample_source_name_ch2 = reference DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Pooled DNA from the blood of 10 normal individuals
!Sample_molecule_ch2 = genomic DNA
!Sample_label_ch2 = Cy5
!Sample_description = all protocols available via the VUMC MACF website
!Sample_data_processing = Spot analysis and quality control was fully automated using BlueFuse version 3.0 (BlueGnome, Cambridge, UK). Spots were excluded when the Confidence value was less than 0.15. Log2ratioâs of spots that were not excluded after quality flagging and mapping were normalized to their average value.
!Sample_platform_id = GPL2826
!Sample_contact_name = Daoud,,Sie
!Sample_contact_email = d.sie@vumc.nl
!Sample_contact_phone = +31 20 4442428
!Sample_contact_laboratory = Microarray Core Facility
!Sample_contact_department = Pathology
!Sample_contact_institute = Vrije Universiteit Medical Center
!Sample_contact_address = De Boelelaan 1117
!Sample_contact_city = Amsterdam
!Sample_contact_zip/postal_code = 1081 HV
!Sample_contact_country = Netherlands
!Sample_supplementary_file = NONE
!Sample_series_id = GSE5051
!Sample_series_id = GSE23418
!Sample_data_row_count = 30000
#ID_REF = 
#AMPCH1 = Total signal in channel 1 (Cy3)
#AMPCH2 = Total signal in channel 2 (Cy5)
#LOG2RATIO CH1/CH2 = Log, base 2, of the ratio of total signal in channel 1 divided by total signal in channel 2
#CONFIDENCE = The Confidence Estimate in the calculated ratio, between 0 and 1, calculated by BlueFuse
#VALUE = Average normalized value of the log2ratio, replicates are fused by BlueFuse, features with confidence < 0.15 are excluded
!sample_table_begin
ID_REF	AMPCH1	AMPCH2	LOG2RATIO CH1/CH2	CONFIDENCE	VALUE
1	446.009	491.312	-0.14	0.98	-0.277870311
2	221.078	156.584	0.498	0.96	0.360129689
3	232.257	174.312	0.414	0.98	0.276129689
4	745.029	693.147	0.104	0.97	-0.033870311
5	1000.265	810.724	0.303	0.98	0.165129689
6	878.941	789.752	0.154	0.96	0.016129689
7	171.931	207.377	-0.27	0.94	-0.407870311
8	729.892	863.266	-0.242	0.96	-0.379870311
9	91.33	155.627	-0.769	0.93	-0.906870311
10	366.263	401.621	-0.133	0.97	-0.270870311
11	223.206	213.181	0.066	0.97	-0.071870311
12	569.044	457.851	0.314	0.97	0.176129689
13	216.98	202.936	0.097	0.95	-0.040870311
14	562.789	469.466	0.262	0.94	0.124129689
15	265.794	266.741	-0.005	0.97	-0.142870311
16	242.718	317.539	-0.388	0.96	-0.525870311
17	573.922	404.627	0.504	0.96	0.366129689
18	185.932	191.507	-0.043	0.98	-0.180870311
19	259.955	296.065	-0.188	0.98	-0.325870311
20	275.408	236.864	0.218	0.98	0.080129689
!sample_table_end
