^SAMPLE = GSM817
!Sample_title = CGH_Albertson_SW837
!Sample_geo_accession = GSM817
!Sample_status = Public on Feb 12 2002
!Sample_submission_date = Jan 17 2002
!Sample_last_update_date = May 27 2005
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Cell line SW837
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_molecule_ch1 = genomic DNA
!Sample_source_name_ch2 = normal male reference genomic DNA
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_molecule_ch2 = genomic DNA
!Sample_description = ATCC cell line <a href="http://www.atcc.org/SearchCatalogs/longview.cfm?view=ce,413536,CCL-235&text=SW837">CCL-235</a>.
!Sample_description = Adenocarcinoma of the rectum, grade IV, in a 53 year old.
!Sample_description = The cells are negative for expression of CSAp (CSAp-) and colon antigen 3, negative. There is a C -> T mutation in codon 248 of the p53 gene resulting in an Arg -> Trp substitution.  The cells are positive for keratin by immunoperoxidase staining.
!Sample_platform_id = GPL28
!Sample_contact_name = Donna,G,Albertson
!Sample_contact_email = albertson@cc.ucsf.edu
!Sample_contact_phone = 415 502-8463
!Sample_contact_department = Comprehensive Cancer Center
!Sample_contact_institute = University of California San Francisco
!Sample_contact_address =  
!Sample_contact_city = San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94143
!Sample_contact_country = USA
!Sample_supplementary_file = NONE
!Sample_series_id = GSE16
!Sample_data_row_count = 2463
#ID_REF = Unique row identifier, genome position order
#VALUE = aka LOG2RATIO, mean of log base 2 of LINEAR_RATIO
#LINEAR_RATIO = Mean of replicate Cy3/Cy5 ratios
#LOG2STDDEV = Standard deviation of VALUE
#NO_REPLICATES = Number of replicate spot measurements
!sample_table_begin
ID_REF	VALUE	LINEAR_RATIO	LOG2STDDEV	NO_REPLICATES
1	-0.114321	0.923817	0.014381	3
2				0
3	-0.153247	0.899225	0.00149	3
4	-0.126188	0.916249	0.010102	3
5	0.026325	1.018414	0.009168	3
6		1.139264	0	1
7	-0.001906	0.99868	0.0127	3
8	0.006051	1.004203	0.012	3
9	-0.01253	0.991353	0.010464	3
10	-0.047807	0.967406	0.014517	3
11	0.057964	1.040996	0.009486	3
12				0
13	0.035833	1.025149	0.016312	3
14	0.09022	1.064533	0.027633	3
15	0.056542	1.03997	0.006559	3
16	0.07447	1.052974	0.016809	3
17	0.115687	1.083491	0.013396	3
18	0.175038	1.128994	0.006978	2
19	0.057185	1.040433	0.012689	3
20	-0.012626	0.991287	0.035961	3
!sample_table_end
