^SAMPLE = GSM489367
!Sample_title = SF7063 p53 WT pten WT Map250kNsp
!Sample_geo_accession = GSM489367
!Sample_status = Public on Apr 22 2010
!Sample_submission_date = Dec 23 2009
!Sample_last_update_date = Apr 22 2010
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = SRCID:SRC107466,PRBID:PRB16759,SRCNAME:7063,RAWFILE:16759_7063_GBMTumors_SPR460_Map250kNsp.CEL
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample id: SF7063
!Sample_characteristics_ch1 = source: UCSF
!Sample_characteristics_ch1 = genome/variation: p53 exon 4-8 mutation status: wt
!Sample_characteristics_ch1 = genome/variation: pten exon 5-6 mutation status: wt
!Sample_treatment_protocol_ch1 = None
!Sample_growth_protocol_ch1 = None
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Qiagen's  AllPrep DNA/RNA extraction kit (Catalog #80204) was used to extract DNA and RNA according to manufacturer's protocol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Affymetrix 500K Human Mapping 500K array manual
!Sample_hyb_protocol = According to manufacturer's protocol (Affymetrix)
!Sample_scan_protocol = According to manufacturer's protocol (Affymetrix)
!Sample_description = SRCID:SRC107466,PRBID:PRB16759,SRCNAME:7063,RAWFILE:16759_7063_GBMTumors_SPR460_Map250kNsp.CEL
!Sample_data_processing = The genotyping copy number data were generated with Affymetrix's CNAT algorithm, version 4.  Nsp and Sty copy number data were also estimated using the dChip algorithm (2006 version, build Dec 22, 2005), normalized against normal hapmap samples (downloaded from affymetrix). Segmentation of copy number data was performed with GLAD, version: 1.16.0.
!Sample_platform_id = GPL3718
!Sample_contact_name = Anthony,Steve,Guerrero
!Sample_contact_department = Bioinformatics
!Sample_contact_institute = Genentech
!Sample_contact_address = 1 DNA Way
!Sample_contact_city = South San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94080
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM489nnn/GSM489367/suppl/GSM489367.CEL.gz
!Sample_series_id = GSE19612
!Sample_data_row_count = 262338
#ID_REF = Probe
#CNAT4 = Affy CNAT4 normalized copy number
#CNAT4_GLAD = Affy CNAT4 normalized copy number following GLAD segmentation
#dCHIP = dChip normalized copy number
#VALUE = dChip normalized copy number following GLAD segmentation
!sample_table_begin
ID_REF	CNAT4	CNAT4_GLAD	dCHIP	VALUE
SNP_A-1780619	1.96490418910980	2.17856621742249	1.57012164592743	2.27438902854919
SNP_A-1780618	2.21513700485229	1.96841990947723	2.89932513237000	1.93701100349426
SNP_A-1780617	2.72841286659241	2.17907357215881	2.89344215393066	2.25989055633545
SNP_A-1780778	1.53020823001862	2.0215585231781	1.50989961624146	2.02642393112183
SNP_A-1780616	1.81293725967407	1.90527999401093	1.79685509204865	1.87890160083771
SNP_A-1780613	1.85906732082367	1.90359950065613	1.52251410484314	1.87862241268158
SNP_A-1780419	1.47539675235748	2.17856621742249	1.62918961048126	2.27438902854919
SNP_A-1780612	1.74426710605621	2.17856621742249	2.07690525054932	2.27438902854919
SNP_A-1780418	2.21041011810303	2.00678491592407	2.09958481788635	2.03316950798035
SNP_A-1780611	2.3498375415802	1.95970499515533	2.17525053024292	1.93701100349426
SNP_A-1780610	2.30988812446594	2.20053601264954	2.08838176727295	2.26503348350525
SNP_A-1780415	2.93501734733582	2.00678491592407	3.83539652824402	2.03316950798035
SNP_A-1780576	2.28735613822937	2.17856621742249	2.30986404418945	2.27438902854919
SNP_A-1780413	1.62854325771332	1.79197180271149	1.16205811500549	1.71995723247528
SNP_A-1780412	1.88726758956909	2.00678491592407	1.60492253303528	2.02832984924316
SNP_A-1780574	3.21145915985107	2.17242741584778	2.53185081481934	2.24333810806274
SNP_A-1780379	1.71451199054718	1.68976831436157	1.46785676479340	1.56946730613708
SNP_A-1780572	1.91105198860168	1.78598868846893	1.692342877388	1.70839917659760
SNP_A-1780378	1.93648993968964	1.78598868846893	1.65977668762207	1.70839917659760
SNP_A-1780377	1.54050886631012	1.94223594665527	1.48720431327820	1.96147382259369
!sample_table_end
