^SAMPLE = GSM489365
!Sample_title = SF7054 p53 WT pten WT Map250kNsp
!Sample_geo_accession = GSM489365
!Sample_status = Public on Apr 22 2010
!Sample_submission_date = Dec 23 2009
!Sample_last_update_date = Apr 22 2010
!Sample_type = genomic
!Sample_channel_count = 1
!Sample_source_name_ch1 = SRCID:SRC107464,PRBID:PRB16755,SRCNAME:7054,RAWFILE:16755_7054_GBMTumors_SPR460_Map250kNsp.CEL
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = sample id: SF7054
!Sample_characteristics_ch1 = source: UCSF
!Sample_characteristics_ch1 = genome/variation: p53 exon 4-8 mutation status: wt
!Sample_characteristics_ch1 = genome/variation: pten exon 5-6 mutation status: wt
!Sample_treatment_protocol_ch1 = None
!Sample_growth_protocol_ch1 = None
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = Qiagen's  AllPrep DNA/RNA extraction kit (Catalog #80204) was used to extract DNA and RNA according to manufacturer's protocol
!Sample_label_ch1 = biotin
!Sample_label_protocol_ch1 = Affymetrix 500K Human Mapping 500K array manual
!Sample_hyb_protocol = According to manufacturer's protocol (Affymetrix)
!Sample_scan_protocol = According to manufacturer's protocol (Affymetrix)
!Sample_description = SRCID:SRC107464,PRBID:PRB16755,SRCNAME:7054,RAWFILE:16755_7054_GBMTumors_SPR460_Map250kNsp.CEL
!Sample_data_processing = The genotyping copy number data were generated with Affymetrix's CNAT algorithm, version 4.  Nsp and Sty copy number data were also estimated using the dChip algorithm (2006 version, build Dec 22, 2005), normalized against normal hapmap samples (downloaded from affymetrix). Segmentation of copy number data was performed with GLAD, version: 1.16.0.
!Sample_platform_id = GPL3718
!Sample_contact_name = Anthony,Steve,Guerrero
!Sample_contact_department = Bioinformatics
!Sample_contact_institute = Genentech
!Sample_contact_address = 1 DNA Way
!Sample_contact_city = South San Francisco
!Sample_contact_state = CA
!Sample_contact_zip/postal_code = 94080
!Sample_contact_country = USA
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM489nnn/GSM489365/suppl/GSM489365.CEL.gz
!Sample_series_id = GSE19612
!Sample_data_row_count = 262338
#ID_REF = Probe
#CNAT4 = Affy CNAT4 normalized copy number
#CNAT4_GLAD = Affy CNAT4 normalized copy number following GLAD segmentation
#dCHIP = dChip normalized copy number
#VALUE = dChip normalized copy number following GLAD segmentation
!sample_table_begin
ID_REF	CNAT4	CNAT4_GLAD	dCHIP	VALUE
SNP_A-1780619	3.11291456222534	1.99150276184082	2.26273870468140	2.02412295341492
SNP_A-1780618	1.77167379856110	2.00258159637451	1.65176618099213	1.98581612110138
SNP_A-1780617	3.21841645240784	2.00588154792786	3.38703942298889	2.00705742835999
SNP_A-1780778	1.87138962745667	1.99835371971130	1.66643702983856	1.99857449531555
SNP_A-1780616	1.67479789257050	1.99371743202209	1.33519744873047	2.01204657554626
SNP_A-1780613	1.81373286247253	1.99371743202209	1.82815003395081	1.99741852283478
SNP_A-1780419	1.96975338459015	1.99150276184082	2.06855010986328	2.00811076164246
SNP_A-1780612	1.92360687255859	1.98906445503235	2.29089975357056	1.99572288990021
SNP_A-1780418	2.09620523452759	1.99835371971130	2.07246208190918	1.99857449531555
SNP_A-1780611	2.75310182571411	2.00258159637451	2.58249545097351	1.98581612110138
SNP_A-1780610	1.73774695396423	1.54634153842926	1.21115052700043	1.35413765907288
SNP_A-1780415	2.77832818031311	1.99835371971130	3.74874377250671	1.99857449531555
SNP_A-1780576	1.63931834697723	1.98906445503235	1.49694693088531	1.99572288990021
SNP_A-1780413	2.00599765777588	2.00665140151978	1.80898797512054	2.0151743888855
SNP_A-1780412	1.75748455524445	1.99835371971130	1.38338148593903	1.99857449531555
SNP_A-1780574	2.88465547561646	1.99923491477966	2.45680832862854	2.00443983078003
SNP_A-1780379	1.19213700294495	2.00045895576477	0.96632033586502	1.99263298511505
SNP_A-1780572	3.09644317626953	1.99999988079071	2.36846542358398	2.00783729553223
SNP_A-1780378	1.7182035446167	1.99999988079071	1.36386024951935	2.00783729553223
SNP_A-1780377	1.72068142890930	2.00665140151978	1.18563878536224	2.04475259780884
!sample_table_end
