^SAMPLE = GSM284808
!Sample_title = Oral109
!Sample_geo_accession = GSM284808
!Sample_status = Public on Jul 01 2009
!Sample_submission_date = Apr 26 2008
!Sample_last_update_date = Feb 20 2009
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Oral_Specimen_109
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Formalin-fixed paraffin-embedded oral specimen
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = All lesions were microdissected, and the dissected tissues were places in sodium dodecyl sulfate/proteinase K at 55Â°C and spiked twice a day for 72 hours with fresh proteinase K. Genomic DNA was extracted with phenol/chloroform and  with ethanol.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = Random prime probe labeling was performed to label sample and reference genomic DNA (250ng each).  Each reaction was labeled with either 2 nmol of cyanine-3 or cyanine-5 dCTP.
!Sample_source_name_ch2 = Normal male
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Novagen pooled normal male genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = Purchased genomic DNA.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = Random prime probe labeling was performed to label sample and reference genomic DNA (250ng each). Each reaction was labeled with either 2 nmol of cyanine-3 or cyanine-5 dCTP.
!Sample_hyb_protocol = Probes were combined, denatured and annealed in a solution containing 100 ug human Cot-1 DNA (Invitrogen) and 48 ul DIG Easy hybridization solution (Roche) containing sheared herring sperm DNA (Sigma-Aldrich) and yeast tRNA (Calbiochem). Probe was denautred at 85Â°C for 5 minutes, and repetitive sequences were blocked at 45Â°C for 1 hour prior to hybridization. The probe mixture was applied to the slide surface and hybridized for 36 hrs at 45Â°C. The arrays were washed 5 times in 0.1X SSC, 0.1% SDS at room temperature with agitation. Each array was then rinsed repeatedly in 0.1X SSC and dried by centrifugation.
!Sample_scan_protocol = A charge-coupled device (CCD) scanner system (ARrayworx eAuto, API, Issaquah, WA) was used to determine the signal intensities of the Cyanine 5/Cyanine3 channels. Arrays were scanned at a 9.75um resolution; exposure times for each image wavelength were usually between 0.2 to 2 sec. Images were analyzed by SoftWoRx Tracker analysis software (Applied Precision, Issaquah, WA, USA).
!Sample_description = N/A
!Sample_data_processing = A three-step normalization procedure [Khojasteh et al. BMC Bioinformatics 6:274, 2005] was performed to each raw data.
!Sample_platform_id = GPL2616
!Sample_contact_name = T,,Buys
!Sample_contact_laboratory = Wan Lam Lab
!Sample_contact_department = Cancer Genetics and Developmental Biology
!Sample_contact_institute = British Columbia Cancer Research Centre
!Sample_contact_address = 675 W.10th Avenue
!Sample_contact_city = Vancouver
!Sample_contact_state = BC
!Sample_contact_zip/postal_code = V5Z 1L3
!Sample_contact_country = Canada
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM284nnn/GSM284808/suppl/GSM284808.txt.gz
!Sample_series_id = GSE11275
!Sample_data_row_count = 53856
#ID_REF = 
#Spot Mean Intensity (w595) = Mean intensity of spot for Cy3 channel
#Spot Mean Intensity (w685) = Mean intensity of spot for Cy5 channel
#Background Median Intensity (w595) = Median signal intensity from area around spot for Cy3 channel
#Background Median Intensity (w685) = Median signal intensity from area around spot for Cy5 channel
#Spot Normalized Intensity (w595) = Locally normalized value for mean intensity of spot for Cy3 channel
#Spot Normalized Intensity (w685) = Locally normalized value for mean intensity of spot for Cy5 channel
#Spot SNR (w595) = Column "Spot Mean Intensity (w595)" divided by column "Background Median Intensity (w595)"
#Spot SNR (w685) = Column "Spot Mean Intensity (w685)" divided by column "Background Median Intensity (w685)"
#Spot Ratio (w595) = Column "Spot Normalized Intensity (w595)" divided by column "Spot Normalized Intensity (w685)"
#Spot Ratio (w685) = Column "Spot Normalized Intensity (w685)" divided by column "Spot Normalized Intensity (w595)"
#Spot Log2 Ratio (w595) = log2 for column labeled "Spot Ratio (595)"
#VALUE = log 2 ratio test/reference (Spot log2 ratio (w595) column following spatial bias normalization)
!sample_table_begin
ID_REF	Spot Mean Intensity (w595)	Spot Mean Intensity (w685)	Background Median Intensity (w595)	Background Median Intensity (w685)	Spot Normalized Intensity (w595)	Spot Normalized Intensity (w685)	Spot SNR (w595)	Spot SNR (w685)	Spot Ratio (w595)	Spot Ratio (w685)	Spot Log2 Ratio (w595)	VALUE
1	11356.63	5276.31	385	328	10971.63	4948.31	398.739	302.9666	1.009998	0.9900736	0.01435277	-0.110641
2	7616.11	3390.08	422.5	342.5	7193.61	3047.579	373.142	206.0523	1.075223	0.9300143	0.1046358	0.009393
3	5167.43	2012.187	409	338	4758.43	1674.187	247.9321	120.7449	1.294691	0.772364	0.3726076	0.256658
4	3978.22	1990.933	394	335	3584.22	1655.933	27.50436	31.9705	0.985958	1.014214	-0.02040186	-0.138777
5	4961.48	2130.371	364	326.5	4597.48	1803.871	298.8648	167.1109	1.160968	0.8613266	0.2153282	0.097858
6	3617.46	1822.063	364	324	3253.46	1498.063	150.7314	120.575	0.9892855	1.010803	-0.01554122	-0.135601
7	3957.38	2045.061	363	323	3594.38	1722.061	180.5329	132.1899	0.950785	1.051734	-0.07280888	-0.187734
8	2387.545	1177.557	363.5	326.5	2024.045	851.057	114.1059	71.6538	1.083348	0.923039	0.115497	-0.024726
9	6341.9	2952.966	370	331	5971.9	2621.966	263.1621	230.3184	1.037508	0.9638212	0.05312297	-0.046732
10	5407.79	2599.155	390	332.5	5017.79	2266.655	262.0461	168.9411	1.0084	0.9916423	0.01206872	-0.032869
11	8286.14	4112.67	397.5	340	7888.64	3772.67	441.616	262.1422	0.9524891	1.049852	-0.0702255	-0.098663
12	7185.8	2772.096	390	344	6795.8	2428.096	371.442	153.9625	1.274914	0.784345	0.3504002	0.307225
13	14041.19	6943.92	398.5	344	13642.69	6599.92	515.62	490.297	0.941602	1.061991	-0.08681073	-0.119481
14	8572.4	3356.06	398	339.5	8174.4	3016.558	309.6614	202.1905	1.234384	0.8100985	0.3037913	0.266326
15	10725.38	4869.14	392	342	10333.38	4527.14	448.943	308.0269	1.039741	0.9617519	0.05622384	0.027936
16	8955.83	4386.46	388	338	8567.83	4048.46	385.045	275.8125	0.9640225	1.037292	-0.05286124	-0.079706
17	12489.63	5659.04	390	340	12099.63	5319.04	498.785	380.816	1.036203	0.9650357	0.05130622	0.026642
18	10064.04	4443.28	382	342	9682.04	4101.28	402.3	308.9392	1.07536	0.9298958	0.1048195	0.017489
19	10121.55	4677.63	387	336	9734.55	4341.63	380.525	328.187	1.021337	0.9790817	0.03045926	-0.044135
20	11416.18	5330.89	392	335	11024.18	4995.89	547.546	346.19	1.00517	0.9948295	0.00743935	-0.070432
!sample_table_end
