^SAMPLE = GSM284823
!Sample_title = Oral101
!Sample_geo_accession = GSM284823
!Sample_status = Public on Jul 01 2009
!Sample_submission_date = Apr 26 2008
!Sample_last_update_date = Feb 20 2009
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Oral_Specimen_101
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Formalin-fixed paraffin-embedded oral specimen.
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = All lesions were microdissected, and the dissected tissues were places in sodium dodecyl sulfate/proteinase K at 55Â°C and spiked twice a day for 72 hours with fresh proteinase K. Genomic DNA was extracted with phenol/chloroform and  with ethanol.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = Random prime probe labeling was performed to label sample and reference genomic DNA (250ng each).  Each reaction was labeled with either 2 nmol of cyanine-3 or cyanine-5 dCTP.
!Sample_source_name_ch2 = normal male
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Novagen pooled normal male genomic DNA.
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = Purchased genomic DNA.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = Random prime probe labeling was performed to label sample and reference genomic DNA (250ng each). Each reaction was labeled with either 2 nmol of cyanine-3 or cyanine-5 dCTP.
!Sample_hyb_protocol = Probes were combined, denatured and annealed in a solution containing 100 ug human Cot-1 DNA (Invitrogen) and 48 ul DIG Easy hybridization solution (Roche) containing sheared herring sperm DNA (Sigma-Aldrich) and yeast tRNA (Calbiochem). Probe was denautred at 85Â°C for 5 minutes, and repetitive sequences were blocked at 45Â°C for 1 hour prior to hybridization. The probe mixture was applied to the slide surface and hybridized for 36 hrs at 45Â°C. The arrays were washed 5 times in 0.1X SSC, 0.1% SDS at room temperature with agitation. Each array was then rinsed repeatedly in 0.1X SSC and dried by centrifugation.
!Sample_scan_protocol = A charge-coupled device (CCD) scanner system (ARrayworx eAuto, API, Issaquah, WA) was used to determine the signal intensities of the Cyanine 5/Cyanine3 channels. Arrays were scanned at a 9.75um resolution; exposure times for each image wavelength were usually between 0.2 to 2 sec. Images were analyzed by SoftWoRx Tracker analysis software (Applied Precision, Issaquah, WA, USA).
!Sample_description = N/A
!Sample_data_processing = A three-step normalization procedure [Khojasteh et al. BMC Bioinformatics 6:274, 2005] was performed to each raw data.
!Sample_platform_id = GPL2616
!Sample_contact_name = T,,Buys
!Sample_contact_laboratory = Wan Lam Lab
!Sample_contact_department = Cancer Genetics and Developmental Biology
!Sample_contact_institute = British Columbia Cancer Research Centre
!Sample_contact_address = 675 W.10th Avenue
!Sample_contact_city = Vancouver
!Sample_contact_state = BC
!Sample_contact_zip/postal_code = V5Z 1L3
!Sample_contact_country = Canada
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM284nnn/GSM284823/suppl/GSM284823.txt.gz
!Sample_series_id = GSE11275
!Sample_data_row_count = 53856
#ID_REF = 
#Spot Mean Intensity (w595) = Mean intensity of spot for Cy3 channel
#Spot Mean Intensity (w685) = Mean intensity of spot for Cy5 channel
#Background Median Intensity (w595) = Median signal intensity from area around spot for Cy3 channel
#Background Median Intensity (w685) = Median signal intensity from area around spot for Cy5 channel
#Spot Normalized Intensity (w595) = Locally normalized value for mean intensity of spot for Cy3 channel
#Spot Normalized Intensity (w685) = Locally normalized value for mean intensity of spot for Cy5 channel
#Spot SNR (w595) = Column "Spot Mean Intensity (w595)" divided by column "Background Median Intensity (w595)"
#Spot SNR (w685) = Column "Spot Mean Intensity (w685)" divided by column "Background Median Intensity (w685)"
#Spot Ratio (w595) = Column "Spot Normalized Intensity (w595)" divided by column "Spot Normalized Intensity (w685)"
#Spot Ratio (w685) = Column "Spot Normalized Intensity (w685)" divided by column "Spot Normalized Intensity (w595)"
#Spot Log2 Ratio (w595) = log2 for column labeled "Spot Ratio (595)"
#VALUE = log 2 ratio test/reference (Spot log2 ratio (w595) column following spatial bias normalization)
!sample_table_begin
ID_REF	Spot Mean Intensity (w595)	Spot Mean Intensity (w685)	Background Median Intensity (w595)	Background Median Intensity (w685)	Spot Normalized Intensity (w595)	Spot Normalized Intensity (w685)	Spot SNR (w595)	Spot SNR (w685)	Spot Ratio (w595)	Spot Ratio (w685)	Spot Log2 Ratio (w595)	VALUE
1	1001.145	896.873	251	290	750.145	606.873	53.1568	44.1219	0.8940545	1.118464	-0.1615653	-0.027627
2	1696.455	1449.832	255.5	290.5	1440.955	1159.332	103.252	39.4018	0.8989986	1.112313	-0.1536092	0.02304
3	1368.388	1200.071	246.5	286.5	1121.888	913.571	73.5358	46.2118	0.8882263	1.125803	-0.1710008	-0.005895
4	1347.778	1191.151	246	287	1101.778	904.151	74.6607	72.0711	0.8813917	1.134533	-0.1821447	-0.02294
5	1921.395	1561.633	249	286	1672.395	1275.633	117.1821	89.0833	0.9482636	1.054525	-0.07663981	0.097175
6	2101.594	1760.063	247	284	1854.594	1476.063	151.039	118.1671	0.908783	1.100337	-0.1379922	0.041174
7	1404.081	1245.515	249	287	1155.081	958.515	73.0524	72.8907	0.8716247	1.147246	-0.198221	-0.033608
8	1248.66	1123.628	252	289	996.66	834.628	59.2875	49.9135	0.8637145	1.157753	-0.2113736	-0.056039
9	2011.066	1670.407	256.5	289	1754.566	1381.407	121.2378	90.3689	0.9186801	1.088483	-0.1223655	0.055804
10	1237.161	1109.419	250.5	292	986.661	817.419	62.6443	56.7715	0.8730505	1.145372	-0.1958631	-0.021741
11	1863.907	1560.747	245	287	1618.907	1273.747	101.2428	90.2075	0.919295	1.087755	-0.1214003	0.070864
12	1344.194	1181.472	242	286	1102.194	895.472	84.458	64.0853	0.8902711	1.123217	-0.1676834	0.006165
13	2274.396	1882.776	244	288	2030.396	1594.776	148.9677	73.1111	0.9208679	1.085897	-0.1189339	0.072983
14	1810.42	1516.667	243.5	288	1566.92	1228.667	115.9725	27.69061	0.9224206	1.084069	-0.1165034	0.068675
15	1919.878	1639.027	245	287	1674.878	1352.027	135.2901	33.1757	0.8960125	1.11602	-0.1584092	0.026076
16	1204.182	1079.121	245.5	283	958.682	796.121	78.1541	69.8676	0.8709865	1.148086	-0.1992778	-0.038238
17	1672.606	1437.268	239.5	282.5	1433.106	1154.768	102.6746	84.6279	0.897635	1.114003	-0.1557992	0.021421
18	952.247	868.082	242	279	710.247	589.082	47.9974	40.1257	0.872066	1.146665	-0.1974906	-0.028741
19	959.263	847.197	244	280	715.263	567.197	42.9028	37.735	0.9121112	1.096322	-0.1327183	-0.022064
20	972.659	855.318	240	280	732.659	575.318	41.4376	42.1902	0.9211074	1.085615	-0.1185588	-0.005794
!sample_table_end
