^SAMPLE = GSM284825
!Sample_title = Oral110
!Sample_geo_accession = GSM284825
!Sample_status = Public on Jul 01 2009
!Sample_submission_date = Apr 26 2008
!Sample_last_update_date = Feb 20 2009
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = Oral_Specimen_110
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = Formalin-fixed paraffin-embedded oral specimen.
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = All lesions were microdissected, and the dissected tissues were places in sodium dodecyl sulfate/proteinase K at 55Â°C and spiked twice a day for 72 hours with fresh proteinase K. Genomic DNA was extracted with phenol/chloroform and  with ethanol.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = Random prime probe labeling was performed to label sample and reference genomic DNA (250ng each).  Each reaction was labeled with either 2 nmol of cyanine-3 or cyanine-5 dCTP.
!Sample_source_name_ch2 = Normal male
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = Novagen pooled normal male genomic DNA
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = Purchased genomic DNA.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = Random prime probe labeling was performed to label sample and reference genomic DNA (250ng each). Each reaction was labeled with either 2 nmol of cyanine-3 or cyanine-5 dCTP.
!Sample_hyb_protocol = Probes were combined, denatured and annealed in a solution containing 100 ug human Cot-1 DNA (Invitrogen) and 48 ul DIG Easy hybridization solution (Roche) containing sheared herring sperm DNA (Sigma-Aldrich) and yeast tRNA (Calbiochem). Probe was denautred at 85Â°C for 5 minutes, and repetitive sequences were blocked at 45Â°C for 1 hour prior to hybridization. The probe mixture was applied to the slide surface and hybridized for 36 hrs at 45Â°C. The arrays were washed 5 times in 0.1X SSC, 0.1% SDS at room temperature with agitation. Each array was then rinsed repeatedly in 0.1X SSC and dried by centrifugation.
!Sample_scan_protocol = A charge-coupled device (CCD) scanner system (ARrayworx eAuto, API, Issaquah, WA) was used to determine the signal intensities of the Cyanine 5/Cyanine3 channels. Arrays were scanned at a 9.75um resolution; exposure times for each image wavelength were usually between 0.2 to 2 sec. Images were analyzed by SoftWoRx Tracker analysis software (Applied Precision, Issaquah, WA, USA).
!Sample_description = N/A
!Sample_data_processing = A three-step normalization procedure [Khojasteh et al. BMC Bioinformatics 6:274, 2005] was performed to each raw data.
!Sample_platform_id = GPL2043
!Sample_contact_name = T,,Buys
!Sample_contact_laboratory = Wan Lam Lab
!Sample_contact_department = Cancer Genetics and Developmental Biology
!Sample_contact_institute = British Columbia Cancer Research Centre
!Sample_contact_address = 675 W.10th Avenue
!Sample_contact_city = Vancouver
!Sample_contact_state = BC
!Sample_contact_zip/postal_code = V5Z 1L3
!Sample_contact_country = Canada
!Sample_supplementary_file = ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM284nnn/GSM284825/suppl/GSM284825.txt.gz
!Sample_series_id = GSE11275
!Sample_data_row_count = 104544
#ID_REF = 
#Spot Mean Intensity (w595) = Mean intensity of spot for Cy3 channel
#Spot Mean Intensity (w685) = Mean intensity of spot for Cy5 channel
#Background Median Intensity (w595) = Median signal intensity from area around spot for Cy3 channel
#Background Median Intensity (w685) = Median signal intensity from area around spot for Cy5 channel
#Spot Normalized Intensity (w595) = Locally normalized value for mean intensity of spot for Cy3 channel
#Spot Normalized Intensity (w685) = Locally normalized value for mean intensity of spot for Cy5 channel
#Spot SNR (w595) = Column "Spot Mean Intensity (w595)" divided by column "Background Median Intensity (w595)"
#Spot SNR (w685) = Column "Spot Mean Intensity (w685)" divided by column "Background Median Intensity (w685)"
#Spot Ratio (w595) = Column "Spot Normalized Intensity (w595)" divided by column "Spot Normalized Intensity (w685)"
#Spot Ratio (w685) = Column "Spot Normalized Intensity (w685)" divided by column "Spot Normalized Intensity (w595)"
#Spot Log2 Ratio (w595) = log2 for column labeled "Spot Ratio (595)"
#VALUE = log 2 ratio test/reference (Spot log2 ratio (w595) column following spatial bias normalization)
!sample_table_begin
ID_REF	Spot Mean Intensity (w595)	Spot Mean Intensity (w685)	Background Median Intensity (w595)	Background Median Intensity (w685)	Spot Normalized Intensity (w595)	Spot Normalized Intensity (w685)	Spot SNR (w595)	Spot SNR (w685)	Spot Ratio (w595)	Spot Ratio (w685)	Spot Log2 Ratio (w595)	VALUE
1	3536.31	5226.16	807	2390	2729.313	2836.157	20.74913	23.68977	0.8619821	1.160113	-0.2142702	-0.148384
2	2478.049	4216.96	800	2375	1678.049	1841.963	44.6907	19.36633	0.8160161	1.225462	-0.2933306	-0.230617
3	3939.55	5307.95	812	2382	3127.549	2925.951	9.77363	29.93427	0.9574412	1.044447	-0.06274417	-0.014207
4	5310.43	4247.65	3517.5	2612	1792.927	1635.646	2.127482	10.03555	0.9818569	1.018475	-0.0264153	0.061564
5	5576.13	4672.77	3611	2649	1965.134	2023.768	10.38558	31.734	0.8697743	1.14972	-0.201287	-0.113493
6	6317.11	5529.99	3399.5	2612.5	2917.61	2917.488	19.90689	62.6659	0.8957633	1.116363	-0.1588105	-0.0837
7	6456.06	5835.14	3203	2612	3253.06	3223.14	22.34403	58.5732	0.9040395	1.106143	-0.1455423	-0.075697
8	4152.82	4233.6	1827	2528	2325.819	1705.603	2.085117	3.056137	1.221443	0.8187011	0.2885867	0.365091
9	3106.759	4281.55	944	2387.5	2162.759	1894.052	20.8262	19.41506	1.022801	0.9777038	0.03252596	0.088306
10	4117.73	5220.01	939	2391	3178.73	2829.012	91.4796	66.3489	1.006456	0.9935827	0.0092834	0.040989
11	3651.93	4736.61	959	2424	2692.927	2312.61	8.67977	11.56467	1.043031	0.9587411	0.0607822	0.061241
12	3487.67	4979.05	1089.5	2504	2398.175	2475.048	5.83096	8.74745	0.8679051	1.152196	-0.2043908	-0.227779
13	4522.01	5828.65	1113	2515.5	3409.01	3313.15	15.72019	21.7967	0.9216412	1.085017	-0.1177229	-0.172488
14	2962.814	4342.88	885	2370	2077.814	1972.884	13.4834	17.86922	0.9433661	1.06003	-0.08411037	-0.129493
15	4400.69	5202.58	1040	2438	3360.69	2764.578	29.56846	41.8666	1.088866	0.9183841	0.1228258	0.045169
16	2775.531	3790.22	840	2342	1935.531	1448.222	14.60276	16.58632	1.197126	0.835331	0.2595754	0.178604
17	3049.193	4107.01	806	2295	2243.193	1812.012	85.7519	48.1558	1.10887	0.9018161	0.1490901	0.057778
18	4650.59	5228.65	821	2287	3829.59	2941.646	142.3535	89.3714	1.166102	0.8575554	0.2216935	0.113542
19	2691.333	4049.63	826.5	2298.5	1864.833	1751.13	67.4715	38.2437	0.9538867	1.048339	-0.06811014	-0.167294
20	3217.95	4156.6	839.5	2332	2378.451	1824.598	65.7779	33.216	1.167622	0.8564388	0.2235731	0.152749
!sample_table_end
