^SAMPLE = GSM503042
!Sample_title = ADDP cisplatin resistant
!Sample_geo_accession = GSM503042
!Sample_status = Public on Mar 01 2014
!Sample_submission_date = Feb 01 2010
!Sample_last_update_date = Mar 01 2014
!Sample_type = genomic
!Sample_channel_count = 2
!Sample_source_name_ch1 = ADDP
!Sample_organism_ch1 = Homo sapiens
!Sample_taxid_ch1 = 9606
!Sample_characteristics_ch1 = cell line: ADDP
!Sample_biomaterial_provider_ch1 = Kevin J Scanlon
!Sample_treatment_protocol_ch1 = Induced resistance to cisplatin. Weekly exposure of 1hrs at 50 ÂµM for 6 months
!Sample_growth_protocol_ch1 = ADDP cells were maintained in RPMI supplemented with 10% FCS
!Sample_molecule_ch1 = genomic DNA
!Sample_extract_protocol_ch1 = DNA was isolated using the Wizard Genomic DNA Purification kit (Promega Benelux, Leiden, The Netherlands) according the manufacturerâs protocol.
!Sample_label_ch1 = Cy3
!Sample_label_protocol_ch1 = DNA labeling protocol according to Enzo Life Sciences
!Sample_source_name_ch2 = A2780
!Sample_organism_ch2 = Homo sapiens
!Sample_taxid_ch2 = 9606
!Sample_characteristics_ch2 = cell line: A2780 (parental)
!Sample_growth_protocol_ch2 = A2780 cells were maintained in RPMI supplemented with 10% FCS
!Sample_molecule_ch2 = genomic DNA
!Sample_extract_protocol_ch2 = DNA was isolated using the Wizard Genomic DNA Purification kit (Promega Benelux, Leiden, The Netherlands) according the manufacturerâs protocol.
!Sample_label_ch2 = Cy5
!Sample_label_protocol_ch2 = DNA labeling protocol according to Enzo Life Sciences
!Sample_hyb_protocol = Hybridization protocol available via www.agilent.com
!Sample_scan_protocol = Slides were scanned using the Agilent microarray scanner, protocol according to Agilent.
!Sample_description = protocols according to manufacturer (Enzo Life Sciences www.agilent.com)
!Sample_data_processing = Images were auto gridded, analyzed and data extracted using Agilent Feature Extraction software (version 9.5.1.1). Raw expression data generated by the Feature Extraction software was normalised and smoothend using the R-script "NOWAVE" as described in: Smoothing waves in array CGH tumor profiles, Bioinformatics. 2009 May 1;25(9):1099-104.
!Sample_platform_id = GPL5477
!Sample_contact_name = Daoud,,Sie
!Sample_contact_email = d.sie@vumc.nl
!Sample_contact_phone = +31 20 4442428
!Sample_contact_laboratory = Microarray Core Facility
!Sample_contact_department = Pathology
!Sample_contact_institute = Vrije Universiteit Medical Center
!Sample_contact_address = De Boelelaan 1117
!Sample_contact_city = Amsterdam
!Sample_contact_zip/postal_code = 1081 HV
!Sample_contact_country = Netherlands
!Sample_supplementary_file = NONE
!Sample_series_id = GSE20144
!Sample_data_row_count = 45214
#ID_REF = 
#VALUE = norm log2 ratio (resistant/parental)
#MAL_251495011798_S01_CGH-v4_95_Feb07_1_1_gBGSubSignal = ADDP
#MAL_251495011798_S01_CGH-v4_95_Feb07_1_4_rBGSubSignal = A2780
!sample_table_begin
ID_REF	VALUE	MAL_251495011798_S01_CGH-v4_95_Feb07_1_1_gBGSubSignal	MAL_251495011798_S01_CGH-v4_95_Feb07_1_4_rBGSubSignal
1		6827.25	13533.2
2	-0.03938	-0.723199	-13.9631
3	-0.23068	-6.70665	-13.8616
4	0.44432	-4.10843	-9.89616
5	-0.23968	-5.23937	-13.9193
6	-0.06138	-1.46604	-18.5144
7	-0.00226	-4.40911	-15.2251
8	0.36232	-3.26802	-13.2066
9	-0.13168	-4.13019	-17.3249
10	-0.15868	-3.36505	-14.1815
11	-0.05498	-2.584	-17.1696
12	0.01222	1113.27	2223.19
13		1201.4	2705.52
14	0.21932	6753.76	12631
15	-0.04788	625.835	1250.46
16	-0.05128	1426.78	2816.43
17	0.32432	2168.96	4014.21
18	0.22232	606.481	1124.41
19	0.10832	526.978	729.493
20	-0.06388	556.2	981.928
!sample_table_end
