progenetix	NCIT:C102872	Pharyngeal Squamous Cell Carcinoma	pgx:icdom-80703	Squamous cell carcinoma, NOS	pgx:icdot-C11.9	Nasopharynx, NOS	C13;Carcinoma
progenetix	NCIT:C105555	High grade ovarian serous adenocarcinoma	pgx:icdom-84413	Serous cystadenocarcinoma, NOS	pgx:icdot-C56.9	Ovary	Adenocarcinoma;C56
progenetix	NCIT:C105555	High Grade Ovarian Serous Adenocarcinoma	pgx:icdom-84613	Serous surface papillary carcinoma	pgx:icdot-C56.9	Ovary	High-Grade Serous Ovarian Cancer
progenetix	NCIT:C105556	Low Grade Ovarian Serous Adenocarcinoma	pgx:icdom-81403	Adenocarcinoma, NOS	pgx:icdot-C56.9	Ovary	Low-Grade Serous Ovarian Cancer
progenetix	NCIT:C114656	Endometrial adenosquamous carcinoma	pgx:icdom-85603	Adenosquamous carcinoma	pgx:icdot-C54.1	Endometrium	C55;Carcinoma
progenetix	NCIT:C114828	Mucosal melanoma	pgx:icdom-87463	Mucosal lentiginous melanoma	pgx:icdot-C21.8	Overlapping lesion of rectum, anus and anal canal	Anorectal Mucosal Melanoma
progenetix	NCIT:C121619	Nongerminomatous Germ Cell Tumor	pgx:icdom-90653	Germ cell tumor, nonseminomatous	pgx:icdot-C63.9	Male genital organs, NOS	Primary Nonseminoma Testicular Germ Cell Tumour
progenetix	NCIT:C121792	Malignant PEComa	pgx:icdom-88003	Sarcoma, NOS	pgx:icdot-C49.9	Connective, subcutaneous and other soft tissues, NOS	Perivascular Epithelioid Cell Tumor
progenetix	NCIT:C121932	Giant Cell Tumor of Bone	pgx:icdom-92501	Giant cell tumor of bone, NOS	pgx:icdot-C41.9	Bone, NOS	Giant cell tumor of bone
progenetix	NCIT:C121955	Clear Cell Papillary Renal Neoplasm	pgx:icdom-83233	Mixed cell adenocarcinoma	pgx:icdot-C64.9	Kidney, NOS	Clear Cell Papillary Renal Cell Carcinoma
progenetix	NCIT:C126594	Follicular Variant Thyroid Gland Papillary Carcinoma	pgx:icdom-83403	Papillary carcinoma, follicular variant	pgx:icdot-C73.9	Thyroid gland	Papillary carcinoma of thyroid, foll [stage PT4N1bM0, grade High]
progenetix	NCIT:C126769	Endometrial Dedifferentiated Carcinoma	pgx:icdom-80203	Carcinoma, undifferentiated, NOS	pgx:icdot-C54.1	Endometrium	Uterine Dedifferentiated Carcinoma
